prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
0,0.05,0.031,1.0,0.136,26,824,0
0,0.07,0.039,1.0,0.169,26,638,0
0,0.09,0.046,1.0,0.195,26,537,0
0,0.11,0.053,1.0,0.22,26,461,0
0,0.13,0.062,1.0,0.248,26,395,0
0,0.15,0.07,1.0,0.273,26,347,0
0,0.17,0.074,1.0,0.286,26,325,0
0,0.19,0.08,1.0,0.302,26,300,0
0,0.21,0.085,1.0,0.318,26,279,0
0,0.23,0.09,1.0,0.332,26,262,0
0,0.25,0.094,1.0,0.342,26,250,0
0,0.27,0.101,1.0,0.359,26,232,0
0,0.29,0.106,1.0,0.371,26,220,0
0,0.31,0.11,1.0,0.381,26,211,0
0,0.33,0.113,1.0,0.388,26,205,0
0,0.35,0.117,1.0,0.399,26,196,0
0,0.37,0.124,1.0,0.414,26,184,0
0,0.39,0.129,1.0,0.425,26,176,0
0,0.41,0.135,1.0,0.438,26,167,0
0,0.43,0.139,1.0,0.447,26,161,0
0,0.45,0.142,1.0,0.453,26,157,0
0,0.47,0.148,1.0,0.464,26,150,0
0,0.49,0.151,1.0,0.471,26,146,0
0,0.51,0.154,1.0,0.476,26,143,0
0,0.53,0.16,1.0,0.489,26,136,0
0,0.55,0.165,1.0,0.496,26,132,0
0,0.57,0.176,1.0,0.516,26,122,0
0,0.59,0.181,1.0,0.524,26,118,0
0,0.61,0.19,1.0,0.539,26,111,0
0,0.63,0.191,1.0,0.542,26,110,0
0,0.65,0.194,1.0,0.546,26,108,0
0,0.67,0.195,1.0,0.549,26,107,0
0,0.69,0.205,1.0,0.563,26,101,0
0,0.71,0.213,1.0,0.575,26,96,0
0,0.73,0.22,1.0,0.586,26,92,0
0,0.75,0.232,1.0,0.602,26,86,0
0,0.77,0.245,1.0,0.619,26,80,0
0,0.79,0.25,1.0,0.625,26,78,0
0,0.81,0.255,1.0,0.631,26,76,0
0,0.83,0.268,1.0,0.647,26,71,0
0,0.85,0.286,1.0,0.667,26,65,0
0,0.87,0.31,1.0,0.691,26,58,0
0,0.89,0.325,1.0,0.707,26,54,0
0,0.91,0.338,0.962,0.702,25,49,1
0,0.93,0.353,0.923,0.698,24,44,2
1,0.05,0.082,0.846,0.296,22,245,4
1,0.07,0.102,0.846,0.345,22,193,4
1,0.09,0.118,0.846,0.379,22,164,4
1,0.11,0.133,0.846,0.407,22,144,4
1,0.13,0.144,0.846,0.428,22,131,4
1,0.15,0.162,0.846,0.458,22,114,4
1,0.17,0.175,0.846,0.478,22,104,4
1,0.19,0.182,0.846,0.489,22,99,4
1,0.21,0.191,0.846,0.502,22,93,4
1,0.23,0.204,0.846,0.519,22,86,4
1,0.25,0.21,0.846,0.526,22,83,4
1,0.27,0.227,0.846,0.547,22,75,4
1,0.29,0.244,0.846,0.567,22,68,4
1,0.31,0.253,0.846,0.576,22,65,4
1,0.33,0.253,0.808,0.561,21,62,5
1,0.35,0.269,0.808,0.577,21,57,5
1,0.37,0.292,0.808,0.597,21,51,5
1,0.39,0.304,0.808,0.607,21,48,5
1,0.41,0.333,0.808,0.629,21,42,5
1,0.43,0.339,0.808,0.633,21,41,5
1,0.45,0.35,0.808,0.64,21,39,5
1,0.47,0.368,0.808,0.652,21,36,5
1,0.49,0.375,0.808,0.656,21,35,5
1,0.51,0.375,0.808,0.656,21,35,5
1,0.53,0.412,0.808,0.677,21,30,5
1,0.55,0.42,0.808,0.682,21,29,5
1,0.57,0.457,0.808,0.7,21,25,5
1,0.59,0.467,0.808,0.705,21,24,5
1,0.61,0.5,0.808,0.719,21,21,5
1,0.63,0.5,0.808,0.719,21,21,5
1,0.65,0.5,0.808,0.719,21,21,5
1,0.67,0.5,0.808,0.719,21,21,5
1,0.69,0.538,0.808,0.734,21,18,5
1,0.71,0.583,0.808,0.75,21,15,5
1,0.73,0.6,0.808,0.755,21,14,5
1,0.75,0.6,0.808,0.755,21,14,5
1,0.77,0.636,0.808,0.766,21,12,5
1,0.79,0.656,0.808,0.772,21,11,5
1,0.81,0.656,0.808,0.772,21,11,5
1,0.83,0.677,0.808,0.778,21,10,5
1,0.85,0.724,0.808,0.789,21,8,5
1,0.87,0.808,0.808,0.808,21,5,5
1,0.89,0.84,0.808,0.814,21,4,5
1,0.91,0.875,0.808,0.82,21,3,5
1,0.93,0.913,0.808,0.827,21,2,5
2,0.05,0.085,0.846,0.302,22,238,4
2,0.07,0.104,0.846,0.349,22,189,4
2,0.09,0.12,0.846,0.383,22,161,4
2,0.11,0.134,0.846,0.41,22,142,4
2,0.13,0.144,0.846,0.428,22,131,4
2,0.15,0.162,0.846,0.458,22,114,4
2,0.17,0.175,0.846,0.478,22,104,4
2,0.19,0.182,0.846,0.489,22,99,4
2,0.21,0.191,0.846,0.502,22,93,4
2,0.23,0.204,0.846,0.519,22,86,4
2,0.25,0.21,0.846,0.526,22,83,4
2,0.27,0.227,0.846,0.547,22,75,4
2,0.29,0.244,0.846,0.567,22,68,4
2,0.31,0.253,0.846,0.576,22,65,4
2,0.33,0.253,0.808,0.561,21,62,5
2,0.35,0.269,0.808,0.577,21,57,5
2,0.37,0.292,0.808,0.597,21,51,5
2,0.39,0.304,0.808,0.607,21,48,5
2,0.41,0.333,0.808,0.629,21,42,5
2,0.43,0.339,0.808,0.633,21,41,5
2,0.45,0.35,0.808,0.64,21,39,5
2,0.47,0.368,0.808,0.652,21,36,5
2,0.49,0.375,0.808,0.656,21,35,5
2,0.51,0.375,0.808,0.656,21,35,5
2,0.53,0.412,0.808,0.677,21,30,5
2,0.55,0.42,0.808,0.682,21,29,5
2,0.57,0.457,0.808,0.7,21,25,5
2,0.59,0.467,0.808,0.705,21,24,5
2,0.61,0.5,0.808,0.719,21,21,5
2,0.63,0.5,0.808,0.719,21,21,5
2,0.65,0.5,0.808,0.719,21,21,5
2,0.67,0.5,0.808,0.719,21,21,5
2,0.69,0.538,0.808,0.734,21,18,5
2,0.71,0.583,0.808,0.75,21,15,5
2,0.73,0.6,0.808,0.755,21,14,5
2,0.75,0.6,0.808,0.755,21,14,5
2,0.77,0.636,0.808,0.766,21,12,5
2,0.79,0.656,0.808,0.772,21,11,5
2,0.81,0.656,0.808,0.772,21,11,5
