prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
0,0.05,0.013,1.0,0.063,26,1941,0
0,0.07,0.022,1.0,0.1,26,1165,0
0,0.09,0.031,1.0,0.138,26,809,0
0,0.11,0.04,1.0,0.171,26,629,0
0,0.13,0.049,1.0,0.203,26,510,0
0,0.15,0.057,1.0,0.233,26,428,0
0,0.17,0.065,1.0,0.258,26,374,0
0,0.19,0.073,1.0,0.282,26,331,0
0,0.21,0.082,1.0,0.307,26,293,0
0,0.23,0.087,1.0,0.322,26,274,0
0,0.25,0.094,1.0,0.342,26,250,0
0,0.27,0.099,1.0,0.355,26,236,0
0,0.29,0.103,1.0,0.365,26,226,0
0,0.31,0.107,1.0,0.376,26,216,0
0,0.33,0.113,1.0,0.388,26,205,0
0,0.35,0.116,1.0,0.396,26,198,0
0,0.37,0.123,1.0,0.411,26,186,0
0,0.39,0.128,1.0,0.423,26,177,0
0,0.41,0.134,1.0,0.436,26,168,0
0,0.43,0.139,1.0,0.447,26,161,0
0,0.45,0.144,1.0,0.456,26,155,0
0,0.47,0.149,1.0,0.466,26,149,0
0,0.49,0.155,1.0,0.478,26,142,0
0,0.51,0.16,1.0,0.487,26,137,0
0,0.53,0.165,1.0,0.496,26,132,0
0,0.55,0.168,1.0,0.502,26,129,0
0,0.57,0.174,1.0,0.514,26,123,0
0,0.59,0.178,1.0,0.52,26,120,0
0,0.61,0.184,1.0,0.531,26,115,0
0,0.63,0.193,1.0,0.544,26,109,0
0,0.65,0.203,1.0,0.56,26,102,0
0,0.67,0.206,1.0,0.565,26,100,0
0,0.69,0.206,1.0,0.565,26,100,0
0,0.71,0.218,1.0,0.583,26,93,0
0,0.73,0.224,1.0,0.591,26,90,0
0,0.75,0.232,1.0,0.602,26,86,0
0,0.77,0.243,1.0,0.616,26,81,0
0,0.79,0.265,1.0,0.644,26,72,0
0,0.81,0.28,1.0,0.66,26,67,0
0,0.83,0.294,0.962,0.661,25,60,1
0,0.85,0.312,0.962,0.679,25,55,1
0,0.87,0.352,0.962,0.714,25,46,1
0,0.89,0.358,0.923,0.702,24,43,2
0,0.91,0.411,0.885,0.719,23,33,3
0,0.93,0.523,0.885,0.777,23,21,3
1,0.05,0.041,0.846,0.172,22,514,4
1,0.07,0.064,0.808,0.242,21,309,5
1,0.09,0.089,0.808,0.31,21,214,5
1,0.11,0.116,0.808,0.368,21,160,5
1,0.13,0.15,0.808,0.43,21,119,5
1,0.15,0.193,0.808,0.493,21,88,5
1,0.17,0.214,0.808,0.52,21,77,5
1,0.19,0.25,0.808,0.559,21,63,5
1,0.21,0.304,0.808,0.607,21,48,5
1,0.23,0.328,0.808,0.625,21,43,5
1,0.25,0.356,0.808,0.644,21,38,5
1,0.27,0.368,0.808,0.652,21,36,5
1,0.29,0.389,0.808,0.665,21,33,5
1,0.31,0.42,0.808,0.682,21,29,5
1,0.33,0.447,0.808,0.695,21,26,5
1,0.35,0.467,0.808,0.705,21,24,5
1,0.37,0.477,0.808,0.709,21,23,5
1,0.39,0.5,0.808,0.719,21,21,5
1,0.41,0.5,0.808,0.719,21,21,5
1,0.43,0.568,0.808,0.745,21,16,5
1,0.45,0.568,0.808,0.745,21,16,5
1,0.47,0.568,0.808,0.745,21,16,5
1,0.49,0.6,0.808,0.755,21,14,5
1,0.51,0.618,0.808,0.761,21,13,5
