prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
0,0.05,0.003,1.0,0.016,19,5902,0
0,0.07,0.005,1.0,0.026,19,3596,0
0,0.09,0.007,1.0,0.036,19,2541,0
0,0.11,0.01,1.0,0.047,19,1935,0
0,0.13,0.011,0.947,0.053,18,1590,1
0,0.15,0.013,0.947,0.063,18,1326,1
0,0.17,0.015,0.895,0.069,17,1133,2
0,0.19,0.016,0.842,0.074,16,984,3
0,0.21,0.018,0.842,0.083,16,877,3
0,0.23,0.02,0.842,0.092,16,782,3
0,0.25,0.022,0.842,0.1,16,705,3
0,0.27,0.025,0.842,0.11,16,635,3
0,0.29,0.027,0.842,0.118,16,586,3
0,0.31,0.029,0.842,0.127,16,539,3
0,0.33,0.032,0.842,0.139,16,483,3
0,0.35,0.035,0.842,0.151,16,438,3
0,0.37,0.039,0.842,0.163,16,399,3
0,0.39,0.044,0.842,0.181,16,351,3
0,0.41,0.048,0.842,0.196,16,316,3
0,0.43,0.049,0.789,0.195,15,294,4
0,0.45,0.053,0.789,0.209,15,268,4
0,0.47,0.057,0.789,0.221,15,248,4
0,0.49,0.062,0.789,0.237,15,225,4
0,0.51,0.068,0.789,0.252,15,207,4
0,0.53,0.077,0.789,0.278,15,179,4
0,0.55,0.084,0.789,0.295,15,163,4
0,0.57,0.089,0.789,0.307,15,153,4
0,0.59,0.098,0.789,0.328,15,138,4
0,0.61,0.097,0.737,0.318,14,130,5
0,0.63,0.105,0.737,0.335,14,119,5
0,0.65,0.116,0.737,0.355,14,107,5
0,0.67,0.122,0.737,0.366,14,101,5
0,0.69,0.131,0.737,0.383,14,93,5
0,0.71,0.14,0.684,0.385,13,80,6
0,0.73,0.146,0.684,0.394,13,76,6
0,0.75,0.153,0.684,0.404,13,72,6
0,0.77,0.159,0.684,0.411,13,69,6
0,0.79,0.173,0.684,0.43,13,62,6
0,0.81,0.2,0.684,0.461,13,52,6
0,0.83,0.222,0.632,0.462,12,42,7
0,0.85,0.245,0.632,0.48,12,37,7
0,0.87,0.273,0.632,0.5,12,32,7
0,0.89,0.293,0.632,0.513,12,29,7
0,0.91,0.344,0.579,0.509,11,21,8
0,0.93,0.455,0.526,0.51,10,12,9
1,0.05,0.013,1.0,0.061,19,1457,0
1,0.07,0.021,1.0,0.096,19,892,0
1,0.09,0.03,1.0,0.134,19,612,0
1,0.11,0.039,1.0,0.169,19,467,0
1,0.13,0.045,0.947,0.189,18,381,1
1,0.15,0.055,0.947,0.223,18,310,1
1,0.17,0.062,0.895,0.244,17,255,2
1,0.19,0.067,0.842,0.255,16,222,3
1,0.21,0.075,0.842,0.277,16,197,3
1,0.23,0.082,0.842,0.296,16,178,3
1,0.25,0.091,0.842,0.317,16,160,3
1,0.27,0.099,0.842,0.338,16,145,3
1,0.29,0.104,0.842,0.348,16,138,3
1,0.31,0.108,0.842,0.357,16,132,3
1,0.33,0.116,0.842,0.374,16,122,3
1,0.35,0.123,0.842,0.388,16,114,3
1,0.37,0.128,0.842,0.398,16,109,3
1,0.39,0.145,0.842,0.43,16,94,3
1,0.41,0.157,0.842,0.449,16,86,3
1,0.43,0.161,0.789,0.444,15,78,4
1,0.45,0.176,0.789,0.466,15,70,4
1,0.47,0.192,0.789,0.487,15,63,4
1,0.49,0.195,0.789,0.49,15,62,4
1,0.51,0.205,0.789,0.503,15,58,4
1,0.53,0.227,0.789,0.528,15,51,4
1,0.55,0.25,0.789,0.551,15,45,4
1,0.57,0.263,0.789,0.564,15,42,4
1,0.59,0.278,0.789,0.577,15,39,4
1,0.61,0.275,0.737,0.551,14,37,5
1,0.63,0.292,0.737,0.565,14,34,5
1,0.65,0.326,0.737,0.588,14,29,5
1,0.67,0.333,0.737,0.593,14,28,5
1,0.69,0.35,0.737,0.603,14,26,5
1,0.71,0.394,0.684,0.596,13,20,6
1,0.73,0.419,0.684,0.607,13,18,6
1,0.75,0.419,0.684,0.607,13,18,6
1,0.77,0.448,0.684,0.619,13,16,6
1,0.79,0.481,0.684,0.631,13,14,6
1,0.81,0.542,0.684,0.65,13,11,6
1,0.83,0.6,0.632,0.625,12,8,7
1,0.85,0.632,0.632,0.632,12,7,7
1,0.87,0.632,0.632,0.632,12,7,7
1,0.89,0.706,0.632,0.645,12,5,7
1,0.91,0.786,0.579,0.611,11,3,8
1,0.93,1.0,0.526,0.581,10,0,9
2,0.05,0.014,1.0,0.066,19,1355,0
2,0.07,0.022,1.0,0.1,19,858,0
2,0.09,0.031,1.0,0.138,19,593,0
2,0.11,0.04,1.0,0.172,19,457,0
2,0.13,0.046,0.947,0.193,18,373,1
2,0.15,0.056,0.947,0.226,18,304,1
2,0.17,0.063,0.895,0.246,17,252,2
2,0.19,0.068,0.842,0.257,16,219,3
2,0.21,0.076,0.842,0.28,16,194,3
2,0.23,0.084,0.842,0.3,16,175,3
2,0.25,0.092,0.842,0.321,16,157,3
2,0.27,0.101,0.842,0.342,16,142,3
2,0.29,0.106,0.842,0.352,16,135,3
2,0.31,0.11,0.842,0.362,16,129,3
2,0.33,0.118,0.842,0.377,16,120,3
2,0.35,0.124,0.842,0.39,16,113,3
2,0.37,0.129,0.842,0.4,16,108,3
2,0.39,0.147,0.842,0.432,16,93,3
2,0.41,0.158,0.842,0.452,16,85,3
2,0.43,0.163,0.789,0.446,15,77,4
2,0.45,0.179,0.789,0.469,15,69,4
2,0.47,0.197,0.789,0.493,15,61,4
2,0.49,0.2,0.789,0.497,15,60,4
2,0.51,0.211,0.789,0.51,15,56,4
2,0.53,0.234,0.789,0.536,15,49,4
2,0.55,0.259,0.789,0.56,15,43,4
2,0.57,0.273,0.789,0.573,15,40,4
2,0.59,0.288,0.789,0.586,15,37,4
2,0.61,0.286,0.737,0.56,14,35,5
2,0.63,0.304,0.737,0.574,14,32,5
2,0.65,0.341,0.737,0.598,14,27,5
2,0.67,0.35,0.737,0.603,14,26,5
2,0.69,0.368,0.737,0.614,14,24,5
2,0.71,0.406,0.684,0.602,13,19,6
2,0.73,0.433,0.684,0.613,13,17,6
2,0.75,0.433,0.684,0.613,13,17,6
2,0.77,0.464,0.684,0.625,13,15,6
2,0.79,0.5,0.684,0.637,13,13,6
2,0.81,0.542,0.684,0.65,13,11,6
2,0.83,0.6,0.632,0.625,12,8,7
2,0.85,0.632,0.632,0.632,12,7,7
2,0.87,0.632,0.632,0.632,12,7,7
2,0.89,0.706,0.632,0.645,12,5,7
2,0.91,0.786,0.579,0.611,11,3,8
2,0.93,1.0,0.526,0.581,10,0,9
3,0.05,0.016,1.0,0.073,19,1205,0
3,0.07,0.023,1.0,0.107,19,790,0
3,0.09,0.033,1.0,0.146,19,557,0
3,0.11,0.042,1.0,0.179,19,437,0
3,0.13,0.048,0.947,0.2,18,356,1
3,0.15,0.055,0.895,0.221,17,291,2
3,0.17,0.066,0.895,0.256,17,239,2
3,0.19,0.071,0.842,0.265,16,210,3
3,0.21,0.079,0.842,0.287,16,187,3
3,0.23,0.086,0.842,0.305,16,170,3
3,0.25,0.095,0.842,0.327,16,153,3
3,0.27,0.104,0.842,0.348,16,138,3
3,0.29,0.109,0.842,0.359,16,131,3
3,0.31,0.113,0.842,0.369,16,125,3
3,0.33,0.12,0.842,0.383,16,117,3
3,0.35,0.128,0.842,0.398,16,109,3
3,0.37,0.132,0.842,0.406,16,105,3
3,0.39,0.148,0.842,0.435,16,92,3
3,0.41,0.16,0.842,0.455,16,84,3
3,0.43,0.165,0.789,0.449,15,76,4
3,0.45,0.183,0.789,0.475,15,67,4
3,0.47,0.2,0.789,0.497,15,60,4
3,0.49,0.203,0.789,0.5,15,59,4
3,0.51,0.214,0.789,0.514,15,55,4
3,0.53,0.238,0.789,0.54,15,48,4
3,0.55,0.263,0.789,0.564,15,42,4
3,0.57,0.278,0.789,0.577,15,39,4
3,0.59,0.294,0.789,0.591,15,36,4
3,0.61,0.292,0.737,0.565,14,34,5
3,0.63,0.304,0.737,0.574,14,32,5
3,0.65,0.341,0.737,0.598,14,27,5
3,0.67,0.35,0.737,0.603,14,26,5
3,0.69,0.368,0.737,0.614,14,24,5
