threshold, precision, recall, f_beta, tp, fp   , fn
     0.25,     0.0  ,   1.0 ,  0.002, 20, 42835,  0
     0.26,     0.001,   1.0 ,  0.003, 20, 38402,  0
     0.27,     0.001,   1.0 ,  0.003, 20, 32273,  0
     0.28,     0.001,   1.0 ,  0.004, 20, 24642,  0
     0.29,     0.001,   1.0 ,  0.006, 20, 17395,  0
     0.3 ,     0.002,   1.0 ,  0.008, 20, 11993,  0
     0.31,     0.002,   1.0 ,  0.011, 20,  8872,  0
     0.32,     0.003,   1.0 ,  0.014, 20,  7191,  0
     0.33,     0.003,   1.0 ,  0.016, 20,  6222,  0
     0.34,     0.004,   1.0 ,  0.018, 20,  5528,  0
     0.35,     0.004,   1.0 ,  0.02 , 20,  4920,  0
     0.36,     0.005,   1.0 ,  0.022, 20,  4360,  0
     0.37,     0.005,   1.0 ,  0.027, 20,  3623,  0
     0.38,     0.007,   1.0 ,  0.034, 20,  2859,  0
     0.39,     0.009,   1.0 ,  0.044, 20,  2149,  0
     0.4 ,     0.014,   1.0 ,  0.066, 20,  1413,  0
     0.41,     0.026,   1.0 ,  0.117, 20,   758,  0
     0.42,     0.042,   1.0 ,  0.181, 20,   451,  0
     0.43,     0.061,   1.0 ,  0.244, 20,   309,  0
     0.44,     0.07 ,   1.0 ,  0.275, 20,   264,  0
     0.45,     0.075,   1.0 ,  0.29 , 20,   245,  0
     0.46,     0.084,   1.0 ,  0.315, 20,   217,  0
     0.47,     0.098,   1.0 ,  0.351, 20,   185,  0
     0.48,     0.105,   1.0 ,  0.37 , 20,   170,  0
     0.49,     0.144,   1.0 ,  0.457, 20,   119,  0
     0.5 ,     0.208,   1.0 ,  0.568, 20,    76,  0
     0.51,     0.263,   1.0 ,  0.641, 20,    56,  0
     0.52,     0.286,   1.0 ,  0.667, 20,    50,  0
     0.53,     0.308,   1.0 ,  0.69 , 20,    45,  0
     0.54,     0.333,   1.0 ,  0.714, 20,    40,  0
     0.55,     0.345,   1.0 ,  0.725, 20,    38,  0
     0.56,     0.377,   1.0 ,  0.752, 20,    33,  0
     0.57,     0.4  ,   1.0 ,  0.769, 20,    30,  0
     0.58,     0.455,   1.0 ,  0.806, 20,    24,  0
     0.59,     0.487,   0.95,  0.798, 19,    20,  1
     0.6 ,     0.576,   0.95,  0.841, 19,    14,  1
     0.61,     0.667,   0.9 ,  0.841, 18,     9,  2
     0.62,     0.824,   0.7 ,  0.722, 14,     3,  6
     0.63,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.64,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.65,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.66,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.67,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.68,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.69,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.7 ,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.71,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.72,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.73,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.74,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.75,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.76,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.77,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.78,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.79,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.8 ,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.81,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.82,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.83,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.84,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.85,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.86,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.87,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.88,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.89,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.9 ,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.91,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.92,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.93,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
     0.94,     0.0  ,   0.0 ,  0.0  ,  0,     0, 20
