threshold, precision, recall, f_beta, tp, fp  , fn
     0.25,     0.0  ,    1.0,  0.001,  1, 9684,  0
     0.26,     0.0  ,    1.0,  0.001,  1, 7969,  0
     0.27,     0.0  ,    1.0,  0.001,  1, 6497,  0
     0.28,     0.0  ,    1.0,  0.001,  1, 5068,  0
     0.29,     0.0  ,    1.0,  0.001,  1, 3857,  0
     0.3 ,     0.0  ,    1.0,  0.002,  1, 2666,  0
     0.31,     0.001,    1.0,  0.003,  1, 1978,  0
     0.32,     0.001,    1.0,  0.003,  1, 1548,  0
     0.33,     0.001,    1.0,  0.004,  1, 1260,  0
     0.34,     0.001,    1.0,  0.005,  1,  974,  0
     0.35,     0.001,    1.0,  0.006,  1,  774,  0
     0.36,     0.002,    1.0,  0.008,  1,  620,  0
     0.37,     0.002,    1.0,  0.011,  1,  470,  0
     0.38,     0.003,    1.0,  0.014,  1,  345,  0
     0.39,     0.004,    1.0,  0.018,  1,  278,  0
     0.4 ,     0.004,    1.0,  0.022,  1,  222,  0
     0.41,     0.006,    1.0,  0.028,  1,  173,  0
     0.42,     0.007,    1.0,  0.034,  1,  140,  0
     0.43,     0.009,    1.0,  0.045,  1,  105,  0
     0.44,     0.011,    1.0,  0.055,  1,   86,  0
     0.45,     0.015,    1.0,  0.071,  1,   65,  0
     0.46,     0.02 ,    1.0,  0.091,  1,   50,  0
     0.47,     0.028,    1.0,  0.125,  1,   35,  0
     0.48,     0.043,    1.0,  0.185,  1,   22,  0
     0.49,     0.091,    1.0,  0.333,  1,   10,  0
     0.5 ,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.51,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.52,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.53,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.54,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.55,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.56,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.57,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.58,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.59,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.6 ,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.61,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.62,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.63,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.64,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.65,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.66,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.67,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.68,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.69,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.7 ,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.71,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.72,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.73,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.74,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.75,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.76,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.77,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.78,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.79,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.8 ,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.81,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.82,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.83,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.84,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.85,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.86,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.87,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.88,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.89,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.9 ,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.91,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.92,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.93,     0.0  ,    0.0,  0.0  ,  0,    0,  1
     0.94,     0.0  ,    0.0,  0.0  ,  0,    0,  1
