threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.015,0.438,0.067,14,903,18
0.46,0.016,0.438,0.071,14,849,18
0.47,0.018,0.438,0.077,14,768,18
0.48,0.014,0.312,0.058,10,718,22
0.49,0.013,0.281,0.056,9,663,23
0.5,0.013,0.25,0.052,8,627,24
0.51,0.014,0.25,0.056,8,580,24
0.52,0.015,0.25,0.06,8,535,24
0.53,0.014,0.219,0.055,7,496,25
0.54,0.015,0.219,0.06,7,452,25
0.55,0.017,0.219,0.064,7,415,25
0.56,0.015,0.188,0.057,6,388,26
0.57,0.017,0.188,0.062,6,353,26
0.58,0.015,0.156,0.054,5,327,27
0.59,0.016,0.156,0.058,5,301,27
0.6,0.018,0.156,0.062,5,269,27
0.61,0.02,0.156,0.065,5,250,27
0.62,0.022,0.156,0.071,5,218,27
0.63,0.026,0.156,0.077,5,191,27
0.64,0.028,0.156,0.082,5,172,27
0.65,0.031,0.156,0.087,5,156,27
0.66,0.035,0.156,0.093,5,136,27
0.67,0.04,0.156,0.098,5,121,27
0.68,0.026,0.094,0.062,3,111,29
0.69,0.032,0.094,0.068,3,91,29
0.7,0.038,0.094,0.072,3,76,29
0.71,0.028,0.062,0.05,2,69,30
0.72,0.032,0.062,0.053,2,60,30
0.73,0.037,0.062,0.055,2,52,30
0.74,0.0,0.0,0.0,0,43,32
0.75,0.0,0.0,0.0,0,35,32
0.76,0.0,0.0,0.0,0,30,32
0.77,0.0,0.0,0.0,0,23,32
0.78,0.0,0.0,0.0,0,17,32
0.79,0.0,0.0,0.0,0,12,32
0.8,0.0,0.0,0.0,0,12,32
0.81,0.0,0.0,0.0,0,8,32
0.82,0.0,0.0,0.0,0,8,32
0.83,0.0,0.0,0.0,0,6,32
0.84,0.0,0.0,0.0,0,6,32
0.85,0.0,0.0,0.0,0,3,32
0.86,0.0,0.0,0.0,0,2,32
0.87,0.0,0.0,0.0,0,1,32
0.88,0.0,0.0,0.0,0,0,32
0.89,0.0,0.0,0.0,0,0,32
0.9,0.0,0.0,0.0,0,0,32
0.91,0.0,0.0,0.0,0,0,32
0.92,0.0,0.0,0.0,0,0,32
0.93,0.0,0.0,0.0,0,0,32
0.94,0.0,0.0,0.0,0,0,32
