threshold,precision,recall,f_beta,tp,fp,fn
0.15,0.084,0.857,0.302,12,131,2
0.16,0.094,0.857,0.326,12,116,2
0.17,0.101,0.857,0.343,12,107,2
0.18,0.112,0.857,0.368,12,95,2
0.19,0.118,0.857,0.38,12,90,2
0.2,0.135,0.857,0.414,12,77,2
0.21,0.158,0.857,0.455,12,64,2
0.22,0.164,0.786,0.447,11,56,3
0.23,0.183,0.786,0.474,11,49,3
0.24,0.193,0.786,0.487,11,46,3
0.25,0.216,0.786,0.514,11,40,3
0.26,0.234,0.786,0.534,11,36,3
0.27,0.25,0.714,0.521,10,30,4
0.28,0.25,0.643,0.489,9,27,5
0.29,0.273,0.643,0.506,9,24,5
0.3,0.31,0.643,0.529,9,20,5
0.31,0.286,0.571,0.476,8,20,6
0.32,0.308,0.571,0.488,8,18,6
0.33,0.308,0.571,0.488,8,18,6
0.34,0.273,0.429,0.385,6,16,8
0.35,0.333,0.429,0.405,6,12,8
0.36,0.267,0.286,0.282,4,11,10
0.37,0.286,0.286,0.286,4,10,10
0.38,0.308,0.286,0.29,4,9,10
0.39,0.364,0.286,0.299,4,7,10
0.4,0.364,0.286,0.299,4,7,10
0.41,0.375,0.214,0.234,3,5,11
0.42,0.429,0.214,0.238,3,4,11
0.43,0.333,0.143,0.161,2,4,12
0.44,0.333,0.071,0.085,1,2,13
0.45,0.0,0.0,0.0,0,2,14
0.46,0.0,0.0,0.0,0,2,14
0.47,0.0,0.0,0.0,0,1,14
0.48,0.0,0.0,0.0,0,0,14
0.49,0.0,0.0,0.0,0,0,14
0.5,0.0,0.0,0.0,0,0,14
0.51,0.0,0.0,0.0,0,0,14
0.52,0.0,0.0,0.0,0,0,14
0.53,0.0,0.0,0.0,0,0,14
0.54,0.0,0.0,0.0,0,0,14
0.55,0.0,0.0,0.0,0,0,14
0.56,0.0,0.0,0.0,0,0,14
0.57,0.0,0.0,0.0,0,0,14
0.58,0.0,0.0,0.0,0,0,14
0.59,0.0,0.0,0.0,0,0,14
0.6,0.0,0.0,0.0,0,0,14
0.61,0.0,0.0,0.0,0,0,14
0.62,0.0,0.0,0.0,0,0,14
0.63,0.0,0.0,0.0,0,0,14
0.64,0.0,0.0,0.0,0,0,14
0.65,0.0,0.0,0.0,0,0,14
0.66,0.0,0.0,0.0,0,0,14
0.67,0.0,0.0,0.0,0,0,14
0.68,0.0,0.0,0.0,0,0,14
0.69,0.0,0.0,0.0,0,0,14
0.7,0.0,0.0,0.0,0,0,14
0.71,0.0,0.0,0.0,0,0,14
0.72,0.0,0.0,0.0,0,0,14
0.73,0.0,0.0,0.0,0,0,14
0.74,0.0,0.0,0.0,0,0,14
0.75,0.0,0.0,0.0,0,0,14
0.76,0.0,0.0,0.0,0,0,14
0.77,0.0,0.0,0.0,0,0,14
0.78,0.0,0.0,0.0,0,0,14
0.79,0.0,0.0,0.0,0,0,14
0.8,0.0,0.0,0.0,0,0,14
0.81,0.0,0.0,0.0,0,0,14
0.82,0.0,0.0,0.0,0,0,14
0.83,0.0,0.0,0.0,0,0,14
0.84,0.0,0.0,0.0,0,0,14
0.85,0.0,0.0,0.0,0,0,14
0.86,0.0,0.0,0.0,0,0,14
0.87,0.0,0.0,0.0,0,0,14
0.88,0.0,0.0,0.0,0,0,14
0.89,0.0,0.0,0.0,0,0,14
0.9,0.0,0.0,0.0,0,0,14
0.91,0.0,0.0,0.0,0,0,14
0.92,0.0,0.0,0.0,0,0,14
0.93,0.0,0.0,0.0,0,0,14
0.94,0.0,0.0,0.0,0,0,14
