threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.08,1.0,0.302,7,81,0
0.46,0.096,1.0,0.347,7,66,0
0.47,0.108,1.0,0.376,7,58,0
0.48,0.121,1.0,0.407,7,51,0
0.49,0.149,1.0,0.467,7,40,0
0.5,0.152,1.0,0.473,7,39,0
0.51,0.171,1.0,0.507,7,34,0
0.52,0.175,1.0,0.515,7,33,0
0.53,0.189,1.0,0.538,7,30,0
0.54,0.2,1.0,0.556,7,28,0
0.55,0.226,1.0,0.593,7,24,0
0.56,0.259,1.0,0.636,7,20,0
0.57,0.292,1.0,0.673,7,17,0
0.58,0.304,1.0,0.686,7,16,0
0.59,0.304,1.0,0.686,7,16,0
0.6,0.333,1.0,0.714,7,14,0
0.61,0.333,1.0,0.714,7,14,0
0.62,0.438,1.0,0.795,7,9,0
0.63,0.438,1.0,0.795,7,9,0
0.64,0.467,1.0,0.814,7,8,0
0.65,0.5,1.0,0.833,7,7,0
0.66,0.538,1.0,0.854,7,6,0
0.67,0.583,1.0,0.875,7,5,0
0.68,0.583,1.0,0.875,7,5,0
0.69,0.583,1.0,0.875,7,5,0
0.7,0.583,1.0,0.875,7,5,0
0.71,0.583,1.0,0.875,7,5,0
0.72,0.7,1.0,0.921,7,3,0
0.73,0.778,1.0,0.946,7,2,0
0.74,0.778,1.0,0.946,7,2,0
0.75,0.875,1.0,0.972,7,1,0
0.76,0.875,1.0,0.972,7,1,0
0.77,0.875,1.0,0.972,7,1,0
0.78,0.875,1.0,0.972,7,1,0
0.79,0.875,1.0,0.972,7,1,0
0.8,0.875,1.0,0.972,7,1,0
0.81,0.875,1.0,0.972,7,1,0
0.82,0.857,0.857,0.857,6,1,1
0.83,0.857,0.857,0.857,6,1,1
0.84,1.0,0.857,0.882,6,0,1
0.85,1.0,0.857,0.882,6,0,1
0.86,1.0,0.857,0.882,6,0,1
0.87,1.0,0.714,0.758,5,0,2
0.88,1.0,0.714,0.758,5,0,2
0.89,1.0,0.714,0.758,5,0,2
0.9,1.0,0.714,0.758,5,0,2
0.91,1.0,0.714,0.758,5,0,2
0.92,1.0,0.571,0.625,4,0,3
0.93,1.0,0.429,0.484,3,0,4
0.94,1.0,0.429,0.484,3,0,4
