threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.168,1.0,0.503,20,99,0
0.46,0.175,1.0,0.515,20,94,0
0.47,0.183,1.0,0.529,20,89,0
0.48,0.189,1.0,0.538,20,86,0
0.49,0.196,1.0,0.549,20,82,0
0.5,0.2,1.0,0.556,20,80,0
0.51,0.211,1.0,0.571,20,75,0
0.52,0.217,1.0,0.581,20,72,0
0.53,0.22,1.0,0.585,20,71,0
0.54,0.222,1.0,0.588,20,70,0
0.55,0.233,1.0,0.602,20,66,0
0.56,0.233,1.0,0.602,20,66,0
0.57,0.238,1.0,0.61,20,64,0
0.58,0.253,1.0,0.629,20,59,0
0.59,0.27,1.0,0.649,20,54,0
0.6,0.278,1.0,0.658,20,52,0
0.61,0.29,1.0,0.671,20,49,0
0.62,0.308,1.0,0.69,20,45,0
0.63,0.328,1.0,0.709,20,41,0
0.64,0.351,1.0,0.73,20,37,0
0.65,0.385,1.0,0.758,20,32,0
0.66,0.444,1.0,0.8,20,25,0
0.67,0.488,1.0,0.826,20,21,0
0.68,0.541,1.0,0.855,20,17,0
0.69,0.571,1.0,0.87,20,15,0
0.7,0.655,0.95,0.872,19,10,1
0.71,0.72,0.9,0.857,18,7,2
0.72,0.708,0.85,0.817,17,7,3
0.73,0.8,0.8,0.8,16,4,4
0.74,0.833,0.75,0.765,15,3,5
0.75,0.867,0.65,0.684,13,2,7
0.76,1.0,0.4,0.455,8,0,12
0.77,1.0,0.1,0.122,2,0,18
0.78,0.0,0.0,0.0,0,0,20
0.79,0.0,0.0,0.0,0,0,20
0.8,0.0,0.0,0.0,0,0,20
0.81,0.0,0.0,0.0,0,0,20
0.82,0.0,0.0,0.0,0,0,20
0.83,0.0,0.0,0.0,0,0,20
0.84,0.0,0.0,0.0,0,0,20
0.85,0.0,0.0,0.0,0,0,20
0.86,0.0,0.0,0.0,0,0,20
0.87,0.0,0.0,0.0,0,0,20
0.88,0.0,0.0,0.0,0,0,20
0.89,0.0,0.0,0.0,0,0,20
0.9,0.0,0.0,0.0,0,0,20
0.91,0.0,0.0,0.0,0,0,20
0.92,0.0,0.0,0.0,0,0,20
0.93,0.0,0.0,0.0,0,0,20
0.94,0.0,0.0,0.0,0,0,20
