threshold,precision,recall,f_beta,tp,fp,fn
0.45,0,0.0,0.0,0,0,20
0.46,0,0.0,0.0,0,0,20
0.47,0,0.0,0.0,0,0,20
0.48,0,0.0,0.0,0,0,20
0.49,0,0.0,0.0,0,0,20
0.5,0,0.0,0.0,0,0,20
0.51,0,0.0,0.0,0,0,20
0.52,0,0.0,0.0,0,0,20
0.53,0,0.0,0.0,0,0,20
0.54,0,0.0,0.0,0,0,20
0.55,0,0.0,0.0,0,0,20
0.56,0,0.0,0.0,0,0,20
0.57,0,0.0,0.0,0,0,20
0.58,0,0.0,0.0,0,0,20
0.59,0,0.0,0.0,0,0,20
0.6,0,0.0,0.0,0,0,20
0.61,0,0.0,0.0,0,0,20
0.62,0,0.0,0.0,0,0,20
0.63,0,0.0,0.0,0,0,20
0.64,0,0.0,0.0,0,0,20
0.65,0,0.0,0.0,0,0,20
0.66,0,0.0,0.0,0,0,20
0.67,0,0.0,0.0,0,0,20
0.68,0,0.0,0.0,0,0,20
0.69,0,0.0,0.0,0,0,20
0.7,0,0.0,0.0,0,0,20
0.71,0,0.0,0.0,0,0,20
0.72,0,0.0,0.0,0,0,20
0.73,0,0.0,0.0,0,0,20
0.74,0,0.0,0.0,0,0,20
0.75,0,0.0,0.0,0,0,20
0.76,0,0.0,0.0,0,0,20
0.77,0,0.0,0.0,0,0,20
0.78,0,0.0,0.0,0,0,20
0.79,0,0.0,0.0,0,0,20
0.8,0,0.0,0.0,0,0,20
0.81,0,0.0,0.0,0,0,20
0.82,0,0.0,0.0,0,0,20
0.83,0,0.0,0.0,0,0,20
0.84,0,0.0,0.0,0,0,20
0.85,0,0.0,0.0,0,0,20
0.86,0,0.0,0.0,0,0,20
0.87,0,0.0,0.0,0,0,20
0.88,0,0.0,0.0,0,0,20
0.89,0,0.0,0.0,0,0,20
0.9,0,0.0,0.0,0,0,20
0.91,0,0.0,0.0,0,0,20
0.92,0,0.0,0.0,0,0,20
0.93,0,0.0,0.0,0,0,20
0.94,0,0.0,0.0,0,0,20
