threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.163,1.0,0.493,7,36,0
0.46,0.194,1.0,0.547,7,29,0
0.47,0.206,1.0,0.565,7,27,0
0.48,0.206,1.0,0.565,7,27,0
0.49,0.206,1.0,0.565,7,27,0
0.5,0.212,1.0,0.574,7,26,0
0.51,0.219,1.0,0.583,7,25,0
0.52,0.233,1.0,0.603,7,23,0
0.53,0.25,1.0,0.625,7,21,0
0.54,0.25,1.0,0.625,7,21,0
0.55,0.269,1.0,0.648,7,19,0
0.56,0.292,1.0,0.673,7,17,0
0.57,0.292,1.0,0.673,7,17,0
0.58,0.35,1.0,0.729,7,13,0
0.59,0.368,1.0,0.745,7,12,0
0.6,0.412,1.0,0.778,7,10,0
0.61,0.438,1.0,0.795,7,9,0
0.62,0.438,1.0,0.795,7,9,0
0.63,0.5,1.0,0.833,7,7,0
0.64,0.538,1.0,0.854,7,6,0
0.65,0.7,1.0,0.921,7,3,0
0.66,0.7,1.0,0.921,7,3,0
0.67,0.667,0.857,0.811,6,3,1
0.68,0.667,0.857,0.811,6,3,1
0.69,0.667,0.857,0.811,6,3,1
0.7,0.667,0.857,0.811,6,3,1
0.71,0.75,0.857,0.833,6,2,1
0.72,1.0,0.857,0.882,6,0,1
0.73,1.0,0.714,0.758,5,0,2
0.74,1.0,0.714,0.758,5,0,2
0.75,1.0,0.714,0.758,5,0,2
0.76,1.0,0.714,0.758,5,0,2
0.77,1.0,0.714,0.758,5,0,2
0.78,1.0,0.714,0.758,5,0,2
0.79,1.0,0.714,0.758,5,0,2
0.8,1.0,0.714,0.758,5,0,2
0.81,1.0,0.714,0.758,5,0,2
0.82,1.0,0.714,0.758,5,0,2
0.83,1.0,0.714,0.758,5,0,2
0.84,1.0,0.714,0.758,5,0,2
0.85,1.0,0.714,0.758,5,0,2
0.86,1.0,0.714,0.758,5,0,2
0.87,1.0,0.714,0.758,5,0,2
0.88,1.0,0.714,0.758,5,0,2
0.89,1.0,0.714,0.758,5,0,2
0.9,1.0,0.714,0.758,5,0,2
0.91,1.0,0.714,0.758,5,0,2
0.92,1.0,0.571,0.625,4,0,3
0.93,1.0,0.429,0.484,3,0,4
0.94,1.0,0.143,0.172,1,0,6
