threshold,precision,recall,f_beta,tp,fp,fn
0.25,0.005,1.0,0.022,20,4380,0
0.26,0.005,1.0,0.027,20,3641,0
0.27,0.007,1.0,0.033,20,2886,0
0.28,0.009,1.0,0.043,20,2201,0
0.29,0.012,1.0,0.058,20,1637,0
0.3,0.016,1.0,0.076,20,1218,0
0.31,0.022,1.0,0.101,20,887,0
0.32,0.029,1.0,0.129,20,675,0
0.33,0.037,1.0,0.163,20,514,0
0.34,0.047,1.0,0.199,20,402,0
0.35,0.054,1.0,0.222,20,351,0
0.36,0.059,1.0,0.238,20,321,0
0.37,0.063,1.0,0.252,20,297,0
0.38,0.068,1.0,0.269,20,272,0
0.39,0.076,1.0,0.292,20,242,0
0.4,0.094,1.0,0.342,20,192,0
0.41,0.115,1.0,0.394,20,154,0
0.42,0.132,1.0,0.433,20,131,0
0.43,0.149,1.0,0.467,20,114,0
0.44,0.157,1.0,0.483,20,107,0
0.45,0.163,1.0,0.493,20,103,0
0.46,0.171,1.0,0.508,20,97,0
0.47,0.179,1.0,0.521,20,92,0
0.48,0.183,1.0,0.529,20,89,0
0.49,0.194,1.0,0.546,20,83,0
0.5,0.2,1.0,0.556,20,80,0
0.51,0.206,1.0,0.565,20,77,0
0.52,0.217,1.0,0.581,20,72,0
0.53,0.235,1.0,0.606,20,65,0
0.54,0.244,1.0,0.617,20,62,0
0.55,0.256,1.0,0.633,20,58,0
0.56,0.263,1.0,0.641,20,56,0
0.57,0.267,1.0,0.645,20,55,0
0.58,0.303,1.0,0.685,20,46,0
0.59,0.328,1.0,0.709,20,41,0
0.6,0.351,1.0,0.73,20,37,0
0.61,0.357,1.0,0.735,20,36,0
0.62,0.385,1.0,0.758,20,32,0
0.63,0.408,1.0,0.775,20,29,0
0.64,0.426,1.0,0.787,20,27,0
0.65,0.444,1.0,0.8,20,25,0
0.66,0.476,1.0,0.82,20,22,0
0.67,0.514,0.95,0.812,19,18,1
0.68,0.514,0.95,0.812,19,18,1
0.69,0.543,0.95,0.826,19,16,1
0.7,0.559,0.95,0.833,19,15,1
0.71,0.594,0.95,0.848,19,13,1
0.72,0.655,0.95,0.872,19,10,1
0.73,0.655,0.95,0.872,19,10,1
0.74,0.704,0.95,0.888,19,8,1
0.75,0.68,0.85,0.81,17,8,3
0.76,0.68,0.85,0.81,17,8,3
0.77,0.68,0.85,0.81,17,8,3
0.78,0.68,0.85,0.81,17,8,3
0.79,0.708,0.85,0.817,17,7,3
0.8,0.708,0.85,0.817,17,7,3
0.81,0.708,0.85,0.817,17,7,3
0.82,0.696,0.8,0.777,16,7,4
0.83,0.727,0.8,0.784,16,6,4
0.84,0.762,0.8,0.792,16,5,4
0.85,0.842,0.8,0.808,16,3,4
0.86,0.842,0.8,0.808,16,3,4
0.87,0.889,0.8,0.816,16,2,4
0.88,0.889,0.8,0.816,16,2,4
0.89,0.941,0.8,0.825,16,1,4
0.9,0.933,0.7,0.737,14,1,6
0.91,0.923,0.6,0.645,12,1,8
0.92,0.923,0.6,0.645,12,1,8
0.93,1.0,0.5,0.556,10,0,10
0.94,1.0,0.45,0.506,9,0,11
