prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
0,0.05,0.156,0.962,0.473,25,135,1
0,0.07,0.167,0.962,0.492,25,125,1
0,0.09,0.175,0.923,0.498,24,113,2
0,0.11,0.183,0.923,0.511,24,107,2
0,0.13,0.195,0.923,0.529,24,99,2
0,0.15,0.205,0.923,0.543,24,93,2
0,0.17,0.212,0.923,0.553,24,89,2
0,0.19,0.229,0.923,0.574,24,81,2
0,0.21,0.233,0.923,0.58,24,79,2
0,0.23,0.24,0.923,0.588,24,76,2
0,0.25,0.242,0.923,0.591,24,75,2
0,0.27,0.25,0.923,0.6,24,72,2
0,0.29,0.253,0.923,0.603,24,71,2
0,0.31,0.255,0.923,0.606,24,70,2
0,0.33,0.264,0.923,0.615,24,67,2
0,0.35,0.27,0.923,0.622,24,65,2
0,0.37,0.273,0.923,0.625,24,64,2
0,0.39,0.273,0.923,0.625,24,64,2
0,0.41,0.264,0.885,0.602,23,64,3
0,0.43,0.264,0.885,0.602,23,64,3
0,0.45,0.271,0.885,0.608,23,62,3
0,0.47,0.274,0.885,0.612,23,61,3
0,0.49,0.28,0.885,0.618,23,59,3
0,0.51,0.28,0.885,0.618,23,59,3
0,0.53,0.28,0.885,0.618,23,59,3
0,0.55,0.291,0.885,0.628,23,56,3
0,0.57,0.295,0.885,0.632,23,55,3
0,0.59,0.295,0.885,0.632,23,55,3
0,0.61,0.295,0.885,0.632,23,55,3
0,0.63,0.295,0.885,0.632,23,55,3
0,0.65,0.295,0.885,0.632,23,55,3
0,0.67,0.293,0.846,0.615,22,53,4
0,0.69,0.297,0.846,0.618,22,52,4
0,0.71,0.301,0.846,0.621,22,51,4
0,0.73,0.301,0.846,0.621,22,51,4
0,0.75,0.31,0.846,0.629,22,49,4
0,0.77,0.31,0.846,0.629,22,49,4
0,0.79,0.31,0.846,0.629,22,49,4
0,0.81,0.31,0.846,0.629,22,49,4
0,0.83,0.31,0.846,0.629,22,49,4
0,0.85,0.314,0.846,0.632,22,48,4
0,0.87,0.324,0.846,0.64,22,46,4
0,0.89,0.324,0.846,0.64,22,46,4
0,0.91,0.313,0.808,0.614,21,46,5
0,0.93,0.306,0.731,0.572,19,43,7
1,0.05,0.875,0.808,0.82,21,3,5
