threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.006,0.943,0.028,33,5698,2
0.46,0.006,0.943,0.03,33,5369,2
0.47,0.006,0.943,0.032,33,5064,2
0.48,0.007,0.943,0.033,33,4795,2
0.49,0.007,0.943,0.035,33,4531,2
0.5,0.008,0.943,0.037,33,4240,2
0.51,0.008,0.943,0.04,33,3987,2
0.52,0.009,0.943,0.042,33,3714,2
0.53,0.009,0.943,0.045,33,3500,2
0.54,0.01,0.943,0.048,33,3268,2
0.55,0.011,0.943,0.052,33,3024,2
0.56,0.012,0.943,0.055,33,2803,2
0.57,0.012,0.914,0.058,32,2581,3
0.58,0.013,0.886,0.061,31,2386,4
0.59,0.013,0.857,0.063,30,2204,5
0.6,0.015,0.857,0.069,30,2018,5
0.61,0.016,0.857,0.074,30,1853,5
0.62,0.017,0.857,0.08,30,1694,5
0.63,0.019,0.857,0.087,30,1545,5
0.64,0.021,0.857,0.096,30,1391,5
0.65,0.024,0.857,0.106,30,1243,5
0.66,0.025,0.829,0.113,29,1109,6
0.67,0.028,0.829,0.125,29,989,6
0.68,0.03,0.771,0.129,27,877,8
0.69,0.031,0.714,0.133,25,778,10
0.7,0.034,0.686,0.141,24,688,11
0.71,0.038,0.657,0.153,23,587,12
0.72,0.039,0.571,0.152,20,499,15
0.73,0.044,0.543,0.166,19,415,16
0.74,0.043,0.457,0.157,16,355,19
0.75,0.048,0.429,0.167,15,295,20
0.76,0.052,0.4,0.172,14,253,21
0.77,0.047,0.286,0.141,10,204,25
0.78,0.057,0.257,0.151,9,149,26
0.79,0.048,0.171,0.113,6,120,29
0.8,0.049,0.143,0.103,5,98,30
0.81,0.026,0.057,0.046,2,74,33
0.82,0.019,0.029,0.026,1,52,34
0.83,0.0,0.0,0.0,0,41,35
0.84,0.0,0.0,0.0,0,28,35
0.85,0.0,0.0,0.0,0,17,35
0.86,0.0,0.0,0.0,0,10,35
0.87,0.0,0.0,0.0,0,2,35
0.88,0.0,0.0,0.0,0,1,35
0.89,0.0,0.0,0.0,0,0,35
0.9,0.0,0.0,0.0,0,0,35
0.91,0.0,0.0,0.0,0,0,35
0.92,0.0,0.0,0.0,0,0,35
0.93,0.0,0.0,0.0,0,0,35
0.94,0.0,0.0,0.0,0,0,35
