threshold,precision,recall,f_beta,tp,fp,fn
0.2,0.044,0.632,0.171,12,262,7
0.21,0.053,0.632,0.199,12,214,7
0.22,0.065,0.632,0.231,12,172,7
0.23,0.069,0.526,0.226,10,135,9
0.24,0.079,0.474,0.237,9,105,10
0.25,0.085,0.368,0.222,7,75,12
0.26,0.105,0.316,0.226,6,51,13
0.27,0.143,0.316,0.254,6,36,13
0.28,0.188,0.316,0.278,6,26,13
0.29,0.222,0.316,0.291,6,21,13
0.3,0.375,0.316,0.326,6,10,13
0.31,0.4,0.211,0.233,4,6,15
0.32,0.8,0.211,0.247,4,1,15
0.33,0.5,0.053,0.064,1,1,18
0.34,0.0,0.0,0.0,0,0,19
0.35,0.0,0.0,0.0,0,0,19
0.36,0.0,0.0,0.0,0,0,19
0.37,0.0,0.0,0.0,0,0,19
0.38,0.0,0.0,0.0,0,0,19
0.39,0.0,0.0,0.0,0,0,19
0.4,0.0,0.0,0.0,0,0,19
0.41,0.0,0.0,0.0,0,0,19
0.42,0.0,0.0,0.0,0,0,19
0.43,0.0,0.0,0.0,0,0,19
0.44,0.0,0.0,0.0,0,0,19
0.45,0.0,0.0,0.0,0,0,19
0.46,0.0,0.0,0.0,0,0,19
0.47,0.0,0.0,0.0,0,0,19
0.48,0.0,0.0,0.0,0,0,19
0.49,0.0,0.0,0.0,0,0,19
0.5,0.0,0.0,0.0,0,0,19
0.51,0.0,0.0,0.0,0,0,19
0.52,0.0,0.0,0.0,0,0,19
0.53,0.0,0.0,0.0,0,0,19
0.54,0.0,0.0,0.0,0,0,19
0.55,0.0,0.0,0.0,0,0,19
0.56,0.0,0.0,0.0,0,0,19
0.57,0.0,0.0,0.0,0,0,19
0.58,0.0,0.0,0.0,0,0,19
0.59,0.0,0.0,0.0,0,0,19
0.6,0.0,0.0,0.0,0,0,19
0.61,0.0,0.0,0.0,0,0,19
0.62,0.0,0.0,0.0,0,0,19
0.63,0.0,0.0,0.0,0,0,19
0.64,0.0,0.0,0.0,0,0,19
0.65,0.0,0.0,0.0,0,0,19
0.66,0.0,0.0,0.0,0,0,19
0.67,0.0,0.0,0.0,0,0,19
0.68,0.0,0.0,0.0,0,0,19
0.69,0.0,0.0,0.0,0,0,19
0.7,0.0,0.0,0.0,0,0,19
0.71,0.0,0.0,0.0,0,0,19
0.72,0.0,0.0,0.0,0,0,19
0.73,0.0,0.0,0.0,0,0,19
0.74,0.0,0.0,0.0,0,0,19
0.75,0.0,0.0,0.0,0,0,19
0.76,0.0,0.0,0.0,0,0,19
0.77,0.0,0.0,0.0,0,0,19
0.78,0.0,0.0,0.0,0,0,19
0.79,0.0,0.0,0.0,0,0,19
0.8,0.0,0.0,0.0,0,0,19
0.81,0.0,0.0,0.0,0,0,19
0.82,0.0,0.0,0.0,0,0,19
0.83,0.0,0.0,0.0,0,0,19
0.84,0.0,0.0,0.0,0,0,19
0.85,0.0,0.0,0.0,0,0,19
0.86,0.0,0.0,0.0,0,0,19
0.87,0.0,0.0,0.0,0,0,19
0.88,0.0,0.0,0.0,0,0,19
0.89,0.0,0.0,0.0,0,0,19
0.9,0.0,0.0,0.0,0,0,19
0.91,0.0,0.0,0.0,0,0,19
0.92,0.0,0.0,0.0,0,0,19
0.93,0.0,0.0,0.0,0,0,19
0.94,0.0,0.0,0.0,0,0,19
