threshold,precision,recall,f_beta,tp,fp,fn
0.05,0.193,0.808,0.493,21,88,5
0.07,0.221,0.808,0.528,21,74,5
0.09,0.236,0.808,0.544,21,68,5
0.11,0.256,0.808,0.565,21,61,5
0.13,0.256,0.808,0.565,21,61,5
0.15,0.263,0.808,0.571,21,59,5
0.17,0.269,0.808,0.577,21,57,5
0.19,0.28,0.808,0.587,21,54,5
0.21,0.296,0.808,0.6,21,50,5
0.23,0.304,0.808,0.607,21,48,5
0.25,0.309,0.808,0.61,21,47,5
0.27,0.309,0.808,0.61,21,47,5
0.29,0.313,0.808,0.614,21,46,5
0.31,0.323,0.808,0.621,21,44,5
0.33,0.323,0.808,0.621,21,44,5
0.35,0.328,0.808,0.625,21,43,5
0.37,0.339,0.808,0.633,21,41,5
0.39,0.339,0.808,0.633,21,41,5
0.41,0.339,0.808,0.633,21,41,5
0.43,0.344,0.808,0.636,21,40,5
0.45,0.344,0.808,0.636,21,40,5
0.47,0.35,0.808,0.64,21,39,5
0.49,0.35,0.808,0.64,21,39,5
0.51,0.375,0.808,0.656,21,35,5
0.53,0.375,0.808,0.656,21,35,5
0.55,0.382,0.808,0.66,21,34,5
0.57,0.389,0.808,0.665,21,33,5
0.59,0.396,0.808,0.669,21,32,5
0.61,0.404,0.808,0.673,21,31,5
0.63,0.42,0.808,0.682,21,29,5
0.65,0.429,0.808,0.686,21,28,5
0.67,0.438,0.808,0.691,21,27,5
0.69,0.447,0.808,0.695,21,26,5
0.71,0.457,0.808,0.7,21,25,5
0.73,0.5,0.808,0.719,21,21,5
0.75,0.538,0.808,0.734,21,18,5
0.77,0.553,0.808,0.739,21,17,5
0.79,0.583,0.808,0.75,21,15,5
0.81,0.618,0.808,0.761,21,13,5
0.83,0.656,0.808,0.772,21,11,5
0.85,0.679,0.731,0.72,19,9,7
0.87,0.72,0.692,0.698,18,7,8
0.89,0.737,0.538,0.569,14,5,12
0.91,0.733,0.423,0.462,11,4,15
0.93,0.778,0.269,0.31,7,2,19
