threshold,precision,recall,f_beta,tp,fp,fn
0.05,0.189,0.769,0.476,20,86,6
0.07,0.204,0.769,0.495,20,78,6
0.09,0.211,0.769,0.503,20,75,6
0.11,0.22,0.769,0.513,20,71,6
0.13,0.22,0.769,0.513,20,71,6
0.15,0.227,0.769,0.521,20,68,6
0.17,0.238,0.769,0.532,20,64,6
0.19,0.241,0.769,0.535,20,63,6
0.21,0.244,0.769,0.538,20,62,6
0.23,0.25,0.769,0.543,20,60,6
0.25,0.253,0.769,0.546,20,59,6
0.27,0.26,0.769,0.552,20,57,6
0.29,0.263,0.769,0.556,20,56,6
0.31,0.27,0.769,0.562,20,54,6
0.33,0.274,0.769,0.565,20,53,6
0.35,0.274,0.769,0.565,20,53,6
0.37,0.274,0.769,0.565,20,53,6
0.39,0.274,0.769,0.565,20,53,6
0.41,0.278,0.769,0.568,20,52,6
0.43,0.282,0.769,0.571,20,51,6
0.45,0.299,0.769,0.585,20,47,6
0.47,0.303,0.769,0.588,20,46,6
0.49,0.308,0.769,0.592,20,45,6
0.51,0.308,0.769,0.592,20,45,6
0.53,0.308,0.769,0.592,20,45,6
0.55,0.312,0.769,0.595,20,44,6
0.57,0.317,0.769,0.599,20,43,6
0.59,0.328,0.769,0.606,20,41,6
0.61,0.333,0.769,0.61,20,40,6
0.63,0.351,0.769,0.621,20,37,6
0.65,0.351,0.769,0.621,20,37,6
0.67,0.364,0.769,0.629,20,35,6
0.69,0.37,0.769,0.633,20,34,6
0.71,0.385,0.769,0.641,20,32,6
0.73,0.4,0.769,0.649,20,30,6
0.75,0.435,0.769,0.667,20,26,6
0.77,0.444,0.769,0.671,20,25,6
0.79,0.488,0.769,0.69,20,21,6
0.81,0.528,0.731,0.679,19,17,7
0.83,0.529,0.692,0.652,18,16,8
0.85,0.63,0.654,0.649,17,10,9
0.87,0.696,0.615,0.63,16,7,10
0.89,0.778,0.538,0.574,14,4,12
0.91,0.909,0.385,0.435,10,1,16
0.93,1.0,0.231,0.273,6,0,20
