epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.014409,0.011753,0.602705,0.505289,0.0,0.0,0.0,0.0,0.081115,0.152091,0.330798,0.0,0.0,0.0
1,0.001601,0.013248,0.648566,0.505338,0.0,0.0,0.0,0.0,0.110266,0.223067,0.48289,0.0,0.0,0.0
2,0.001107,0.016539,0.711045,0.509124,0.0,0.0,0.0,0.0,0.12294,0.287706,0.596958,0.0,0.0,0.0
3,0.000987,0.019389,0.749925,0.514108,0.0,0.0,0.0,0.0,0.150824,0.375158,0.698352,0.0,0.0,0.0
4,0.001042,0.022048,0.745759,0.520166,0.0,0.0,0.0,0.0,0.157161,0.392902,0.695817,0.0,0.0,0.0
5,0.000978,0.025932,0.751787,0.52604,0.0,0.0,0.0,0.0,0.235741,0.42839,0.695817,0.0,0.0,0.0
6,0.000943,0.029944,0.76814,0.538586,0.0,0.0,0.0,0.0,0.253485,0.455006,0.73384,0.0,0.0,0.0
7,0.000875,0.030347,0.768769,0.546412,0.0,0.0,0.0,0.0,0.316857,0.500634,0.713561,0.0,0.0,0.0
8,0.000827,0.034154,0.777577,0.563628,0.0,0.0,0.0,0.0,0.371356,0.536122,0.719899,0.0,0.0,0.0
9,0.000712,0.03991,0.800835,0.581601,0.0,0.0,0.0,0.0,0.452471,0.588086,0.727503,0.0,0.0,0.0
10,0.000593,0.047131,0.821328,0.624311,0.0,0.0,0.0,0.0,0.550063,0.665399,0.768061,0.0,0.0,0.0
11,0.00046,0.067635,0.832443,0.673142,0.0,0.0,0.0,0.0,0.627376,0.688213,0.789607,0.0,0.0,0.0
12,inf,0.050029,0.796348,0.598492,0.0,0.0,0.0,0.0,0.508238,0.636248,0.740177,0.0,0.0,0.0
13,0.000234,0.100204,0.841934,0.67556,0.0,0.0,0.0,0.0,0.700887,0.779468,0.918885,0.0,0.0,0.0
14,6.3e-05,0.148416,0.865778,0.746953,0.0,0.0,0.0,0.0,0.790875,0.922687,0.984791,0.0,0.0,0.0
15,2.6e-05,0.169404,0.875196,0.789274,0.0,0.0,0.0,0.0,0.865653,0.972117,0.991128,0.0,0.0,0.0
16,1.3e-05,0.178309,0.867153,0.830518,0.0,0.0,0.0,0.0,0.869455,0.963245,0.987326,0.0,0.0,0.0
17,6e-06,0.18234,0.857412,0.845316,0.0,0.0,0.0,0.0,0.86692,0.967047,0.986058,0.0,0.0,0.0
18,3e-06,0.178116,0.851106,0.858879,0.0,0.0,0.0,0.0,0.883397,0.977186,0.984791,0.0,0.0,0.0
19,2e-06,0.170169,0.859018,0.864969,0.0,0.0,0.0,0.0,0.893536,0.973384,0.980989,0.0,0.0,0.0
20,2e-06,0.17758,0.869604,0.870847,0.0,0.0,0.0,0.0,0.939163,0.983523,0.986058,0.0,0.0,0.0
21,7e-06,0.179855,0.869824,0.869461,0.0,0.0,0.0,0.0,0.922687,0.980989,0.991128,0.0,0.0,0.0
22,5e-06,0.180897,0.871854,0.867285,0.0,0.0,0.0,0.0,0.918885,0.967047,0.987326,0.0,0.0,0.0
23,6e-06,0.193098,0.858547,0.871455,0.0,0.0,0.0,0.0,0.95564,0.980989,0.992395,0.0,0.0,0.0
24,6e-06,0.189791,0.849543,0.881215,0.0,0.0,0.0,0.0,0.863118,0.964512,0.988593,0.0,0.0,0.0
25,1e-06,0.180617,0.847424,0.883863,0.0,0.0,0.0,0.0,0.922687,0.970849,0.987326,0.0,0.0,0.0
26,1e-06,0.171781,0.854226,0.882161,0.0,0.0,0.0,0.0,0.934094,0.974651,0.987326,0.0,0.0,0.0
27,1e-06,0.163636,0.851561,0.882443,0.0,0.0,0.0,0.0,0.941698,0.968314,0.980989,0.0,0.0,0.0
28,1e-06,0.165722,0.846486,0.885271,0.0,0.0,0.0,0.0,0.931559,0.973384,0.983523,0.0,0.0,0.0
29,1e-06,0.163787,0.84239,0.88145,0.0,0.0,0.0,0.0,0.894804,0.958175,0.978454,0.0,0.0,0.0
30,2e-06,0.168417,0.848887,0.883204,0.0,0.0,0.0,0.0,0.932826,0.965779,0.983523,0.0,0.0,0.0
31,1e-06,0.167158,0.848065,0.885717,0.0,0.0,0.0,0.0,0.931559,0.972117,0.987326,0.0,0.0,0.0
32,1e-06,0.154375,0.845313,0.879921,0.0,0.0,0.0,0.0,0.844106,0.929024,0.972117,0.0,0.0,0.0
33,2e-06,0.163732,0.845035,0.885281,0.0,0.0,0.0,0.0,0.897338,0.956907,0.980989,0.0,0.0,0.0
