epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.045578,0.013199,0.645247,0.506212,0.0,0.0,0.0,0.0,0.043093,0.116603,0.333333,0.0,0.0,0.0
1,0.019106,0.017663,0.705004,0.508275,0.0,0.0,0.0,0.0,0.058302,0.206591,0.555133,0.0,0.0,0.0
2,0.016193,0.024002,0.746228,0.513677,0.0,0.0,0.0,0.0,0.120406,0.291508,0.656527,0.0,0.0,0.0
3,0.015347,0.030588,0.760295,0.519193,0.0,0.0,0.0,0.0,0.136882,0.365019,0.670469,0.0,0.0,0.0
4,0.015344,0.033888,0.737782,0.523241,0.0,0.0,0.0,0.0,0.155894,0.375158,0.688213,0.0,0.0,0.0
5,0.016198,0.034825,0.737726,0.526479,0.0,0.0,0.0,0.0,0.115336,0.328264,0.664132,0.0,0.0,0.0
6,0.014843,0.040786,0.750725,0.530913,0.0,0.0,0.0,0.0,0.147022,0.377693,0.684411,0.0,0.0,0.0
7,0.013748,0.050819,0.763287,0.538444,0.0,0.0,0.0,0.0,0.179975,0.451204,0.747782,0.0,0.0,0.0
8,0.015138,0.050237,0.758134,0.539257,0.0,0.0,0.0,0.0,0.160963,0.410646,0.716096,0.0,0.0,0.0
9,0.013624,0.054882,0.761435,0.540508,0.0,0.0,0.0,0.0,0.204056,0.461343,0.732573,0.0,0.0,0.0
10,0.01458,0.056939,0.766995,0.55052,0.0,0.0,0.0,0.0,0.217997,0.468948,0.762991,0.0,0.0,0.0
11,0.01407,0.058207,0.770169,0.54741,0.0,0.0,0.0,0.0,0.217997,0.498099,0.78327,0.0,0.0,0.0
12,0.012653,0.074507,0.781686,0.562296,0.0,0.0,0.0,0.0,0.292776,0.537389,0.78327,0.0,0.0,0.0
13,0.012367,0.082654,0.785573,0.572721,0.0,0.0,0.0,0.0,0.328264,0.56147,0.803549,0.0,0.0,0.0
14,0.012819,0.08934,0.78463,0.586678,0.0,0.0,0.0,0.0,0.334601,0.551331,0.761724,0.0,0.0,0.0
15,0.011314,0.110406,0.799926,0.603392,0.0,0.0,0.0,0.0,0.437262,0.633714,0.8327,0.0,0.0,0.0
16,0.010198,0.13063,0.806813,0.624985,0.0,0.0,0.0,0.0,0.524715,0.680608,0.86185,0.0,0.0,0.0
17,0.008284,0.155948,0.82463,0.640907,0.0,0.0,0.0,0.0,0.583016,0.714829,0.846641,0.0,0.0,0.0
18,0.006762,0.186232,0.834028,0.66008,0.0,0.0,0.0,0.0,0.648923,0.768061,0.907478,0.0,0.0,0.0
19,0.005566,0.208809,0.838761,0.674165,0.0,0.0,0.0,0.0,0.675539,0.779468,0.931559,0.0,0.0,0.0
20,0.005572,0.233596,0.847752,0.695989,0.0,0.0,0.0,0.0,0.713561,0.802281,0.96071,0.0,0.0,0.0
21,0.004954,0.248842,0.849675,0.713709,0.0,0.0,0.0,0.0,0.740177,0.818758,0.965779,0.0,0.0,0.0
22,0.004248,0.257058,0.858192,0.709096,0.0,0.0,0.0,0.0,0.762991,0.845374,0.96071,0.0,0.0,0.0
23,0.003663,0.269376,0.856212,0.724927,0.0,0.0,0.0,0.0,0.793409,0.878327,0.980989,0.0,0.0,0.0
24,0.003285,0.277328,0.865953,0.728605,0.0,0.0,0.0,0.0,0.775665,0.855513,0.968314,0.0,0.0,0.0
25,0.00297,0.28291,0.864926,0.731004,0.0,0.0,0.0,0.0,0.826362,0.888466,0.987326,0.0,0.0,0.0
26,0.002707,0.283053,0.866999,0.720843,0.0,0.0,0.0,0.0,0.785805,0.841572,0.959442,0.0,0.0,0.0
27,0.002298,0.285814,0.85766,0.724991,0.0,0.0,0.0,0.0,0.821293,0.884664,0.974651,0.0,0.0,0.0
