epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.00293,0.015434,0.657736,0.507002,0.0,0.0,0.0,0.0,0.020279,0.072243,0.296578,0.0,0.0,0.0
1,0.002368,0.022422,0.700623,0.510022,0.0,0.0,0.0,0.0,0.062104,0.200253,0.550063,0.0,0.0,0.0
2,0.002254,0.027143,0.749633,0.512759,0.0,0.0,0.0,0.0,0.125475,0.319392,0.656527,0.0,0.0,0.0
3,0.002441,0.032852,0.759243,0.516801,0.0,0.0,0.0,0.0,0.163498,0.396705,0.697085,0.0,0.0,0.0
4,0.002357,0.038829,0.751429,0.520083,0.0,0.0,0.0,0.0,0.188847,0.462611,0.717364,0.0,0.0,0.0
5,0.00297,0.03695,0.731568,0.522381,0.0,0.0,0.0,0.0,0.164766,0.385298,0.642586,0.0,0.0,0.0
6,0.002591,0.043774,0.759222,0.525818,0.0,0.0,0.0,0.0,0.188847,0.413181,0.700887,0.0,0.0,0.0
7,0.002311,0.05282,0.776973,0.533893,0.0,0.0,0.0,0.0,0.309252,0.518378,0.735108,0.0,0.0,0.0 
8,0.002142,0.064675,0.787505,0.541308,0.0,0.0,0.0,0.0,0.39924,0.583016,0.762991,0.0,0.0,0.0
9,0.001783,0.078884,0.817282,0.551648,0.0,0.0,0.0,0.0,0.546261,0.642586,0.756654,0.0,0.0,0.0
10,0.001723,0.106271,0.837923,0.572168,0.0,0.0,0.0,0.0,0.614702,0.692015,0.851711,0.0,0.0,0.0
11,0.001628,0.11711,0.838751,0.580529,0.0,0.0,0.0,0.0,0.65526,0.757921,0.894804,0.0,0.0,0.0
12,0.001112,0.145517,0.853589,0.598781,0.0,0.0,0.0,0.0,0.714829,0.792142,0.979721,0.0,0.0,0.0
13,0.001052,0.160959,0.857616,0.609675,0.0,0.0,0.0,0.0,0.731305,0.789607,0.963245,0.0,0.0,0.0
14,0.000797,0.165935,0.864522,0.608718,0.0,0.0,0.0,0.0,0.731305,0.765526,0.897338,0.0,0.0,0.0
15,0.000675,0.171363,0.863975,0.611308,0.0,0.0,0.0,0.0,0.754119,0.790875,0.899873,0.0,0.0,0.0
16,0.000704,0.172413,0.861119,0.610997,0.0,0.0,0.0,0.0,0.746515,0.78834,0.926489,0.0,0.0,0.0
17,0.00053,0.182252,0.86531,0.616067,0.0,0.0,0.0,0.0,0.764259,0.804816,0.936629,0.0,0.0,0.0
18,0.000541,0.187734,0.871596,0.621297,0.0,0.0,0.0,0.0,0.754119,0.789607,0.91635,0.0,0.0,0.0
19,0.000364,0.202791,0.873475,0.632641,0.0,0.0,0.0,0.0,0.770596,0.803549,0.918885,0.0,0.0,0.0
20,0.000394,0.208419,0.867439,0.633855,0.0,0.0,0.0,0.0,0.7782,0.807351,0.917617,0.0,0.0,0.0
21,0.000338,0.216027,0.861973,0.642087,0.0,0.0,0.0,0.0,0.794677,0.860583,0.977186,0.0,0.0,0.0
22,0.000307,0.214785,0.869166,0.640695,0.0,0.0,0.0,0.0,0.782003,0.8327,0.940431,0.0,0.0,0.0
23,0.000304,0.226558,0.871762,0.651224,0.0,0.0,0.0,0.0,0.792142,0.842839,0.961977,0.0,0.0,0.0
24,0.000296,0.226616,0.876833,0.651825,0.0,0.0,0.0,0.0,0.802281,0.836502,0.958175,0.0,0.0,0.0
25,0.000265,0.231576,0.87411,0.655148,0.0,0.0,0.0,0.0,0.808619,0.873257,0.987326,0.0,0.0,0.0
26,0.000266,0.233098,0.873968,0.655301,0.0,0.0,0.0,0.0,0.794677,0.854246,0.95564,0.0,0.0,0.0
27,0.000251,0.239556,0.869162,0.660441,0.0,0.0,0.0,0.0,0.820025,0.880862,0.993663,0.0,0.0,0.0
28,0.000194,0.24697,0.872841,0.667203,0.0,0.0,0.0,0.0,0.818758,0.907478,0.99493,0.0,0.0,0.0
29,0.000231,0.251169,0.875914,0.670659,0.0,0.0,0.0,0.0,0.839037,0.917617,0.996198,0.0,0.0,0.0
30,0.000205,0.242075,0.875625,0.662485,0.0,0.0,0.0,0.0,0.802281,0.883397,0.980989,0.0,0.0,0.0
31,0.000173,0.249683,0.876978,0.667363,0.0,0.0,0.0,0.0,0.809886,0.883397,0.989861,0.0,0.0,0.0
32,0.000156,0.252365,0.877917,0.672766,0.0,0.0,0.0,0.0,0.802281,0.846641,0.977186,0.0,0.0,0.0
33,0.00016,0.25572,0.874438,0.673531,0.0,0.0,0.0,0.0,0.828897,0.912548,0.99493,0.0,0.0,0.0
34,0.000161,0.25598,0.882723,0.676278,0.0,0.0,0.0,0.0,0.802281,0.878327,0.983523,0.0,0.0,0.0
35,0.000134,0.263864,0.877401,0.684268,0.0,0.0,0.0,0.0,0.803549,0.880862,0.989861,0.0,0.0,0.0
36,0.000119,0.26884,0.879516,0.686229,0.0,0.0,0.0,0.0,0.81749,0.922687,1.0,0.0,0.0,0.0
37,0.000113,0.270745,0.879058,0.689699,0.0,0.0,0.0,0.0,0.831432,0.927757,0.998733,0.0,0.0,0.0
38,0.0001,0.277163,0.877341,0.690404,0.0,0.0,0.0,0.0,0.885932,0.968314,1.0,0.0,0.0,0.0
39,9.7e-05,0.279023,0.879982,0.694113,0.0,0.0,0.0,0.0,0.841572,0.940431,1.0,0.0,0.0,0.0
40,9.9e-05,0.279813,0.876307,0.695685,0.0,0.0,0.0,0.0,0.847909,0.949303,1.0,0.0,0.0,0.0
41,8.6e-05,0.283651,0.873514,0.6974,0.0,0.0,0.0,0.0,0.846641,0.963245,1.0,0.0,0.0,0.0
42,8.3e-05,0.285878,0.875862,0.701316,0.0,0.0,0.0,0.0,0.825095,0.946768,1.0,0.0,0.0,0.0
43,7.4e-05,0.286984,0.874479,0.701109,0.0,0.0,0.0,0.0,0.828897,0.944233,1.0,0.0,0.0,0.0
44,8.8e-05,0.286524,0.876571,0.70264,0.0,0.0,0.0,0.0,0.818758,0.92142,0.996198,0.0,0.0,0.0
45,6.9e-05,0.289841,0.872195,0.704493,0.0,0.0,0.0,0.0,0.823828,0.920152,1.0,0.0,0.0,0.0
46,6.5e-05,0.292286,0.875963,0.704089,0.0,0.0,0.0,0.0,0.846641,0.95057,1.0,0.0,0.0,0.0
47,6.1e-05,0.293518,0.876229,0.706063,0.0,0.0,0.0,0.0,0.839037,0.958175,1.0,0.0,0.0,0.0
48,6.3e-05,0.294034,0.877728,0.707047,0.0,0.0,0.0,0.0,0.8327,0.969582,1.0,0.0,0.0,0.0
49,5.6e-05,0.29505,0.876343,0.707969,0.0,0.0,0.0,0.0,0.825095,0.946768,1.0,0.0,0.0,0.0
