epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        1.803359,   0.009087,   0.039222,           0.0,      0.0,      0.0,        0.01,        0.04,         0.15,       0.0,       0.0,        0.0
    1,        1.497121,   0.015945,   0.144878,           0.0,      0.0,      0.0,        0.12,        0.3 ,         0.63,       0.0,       0.0,        0.0
    2,        1.435271,   0.02658 ,   0.278073,           0.0,      0.0,      0.0,        0.4 ,        0.71,         0.83,       0.0,       0.0,        0.0
    3,        1.266452,   0.037716,   0.425333,           0.0,      0.0,      0.0,        0.67,        0.8 ,         0.83,       0.0,       0.0,        0.0
    4,        1.167342,   0.052199,   0.570829,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.81,       0.0,       0.0,        0.0
    5,        1.149091,   0.065999,   0.634461,           0.0,      0.0,      0.0,        0.81,        0.82,         0.83,       0.0,       0.0,        0.0
    6,        1.140978,   0.086612,   0.700254,           0.0,      0.0,      0.0,        0.84,        0.84,         0.85,       0.0,       0.0,        0.0
    7,        1.116677,   0.101858,   0.740675,           0.0,      0.0,      0.0,        0.84,        0.84,         0.84,       0.0,       0.0,        0.0
    8,        1.087518,   0.116032,   0.767412,           0.0,      0.0,      0.0,        0.83,        0.83,         0.84,       0.0,       0.0,        0.0
    9,        1.066516,   0.128253,   0.767145,           0.0,      0.0,      0.0,        0.82,        0.82,         0.82,       0.0,       0.0,        0.0
   10,        1.047549,   0.141331,   0.766357,           0.0,      0.0,      0.0,        0.81,        0.81,         0.81,       0.0,       0.0,        0.0
   11,        1.015493,   0.148467,   0.779966,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.81,       0.0,       0.0,        0.0
   12,        1.036666,   0.163704,   0.795987,           0.0,      0.0,      0.0,        0.82,        0.82,         0.83,       0.0,       0.0,        0.0
   13,        1.042984,   0.171918,   0.802856,           0.0,      0.0,      0.0,        0.83,        0.83,         0.85,       0.0,       0.0,        0.0
   14,        1.015806,   0.176536,   0.79084 ,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.8 ,       0.0,       0.0,        0.0
   15,        1.006228,   0.182628,   0.799108,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.8 ,       0.0,       0.0,        0.0
   16,        1.074606,   0.203278,   0.838695,           0.0,      0.0,      0.0,        0.85,        0.85,         0.85,       0.0,       0.0,        0.0
   17,        1.032542,   0.20339 ,   0.816337,           0.0,      0.0,      0.0,        0.83,        0.83,         0.83,       0.0,       0.0,        0.0
   18,        1.053533,   0.21035 ,   0.836849,           0.0,      0.0,      0.0,        0.84,        0.84,         0.84,       0.0,       0.0,        0.0
   19,        1.027106,   0.207804,   0.815863,           0.0,      0.0,      0.0,        0.82,        0.82,         0.82,       0.0,       0.0,        0.0
   20,        1.013318,   0.208033,   0.819334,           0.0,      0.0,      0.0,        0.81,        0.81,         0.81,       0.0,       0.0,        0.0
   21,        1.02602 ,   0.215123,   0.82579 ,           0.0,      0.0,      0.0,        0.83,        0.83,         0.83,       0.0,       0.0,        0.0
   22,        1.056778,   0.220046,   0.831723,           0.0,      0.0,      0.0,        0.84,        0.84,         0.84,       0.0,       0.0,        0.0
   23,        1.024662,   0.217163,   0.837975,           0.0,      0.0,      0.0,        0.83,        0.83,         0.83,       0.0,       0.0,        0.0
   24,        1.011399,   0.213226,   0.828286,           0.0,      0.0,      0.0,        0.82,        0.82,         0.82,       0.0,       0.0,        0.0
