epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.198135,0.011432,0.534264,0.505645,0.0,0.0,0.0,0.0,0.107731,0.17744,0.332066,0.0,0.0,0.0
1,0.106926,0.012604,0.619451,0.504773,0.0,0.0,0.0,0.0,0.079848,0.187579,0.491762,0.0,0.0,0.0
2,0.064409,0.013564,0.675299,0.506684,0.0,0.0,0.0,0.0,0.08365,0.187579,0.480355,0.0,0.0,0.0
3,0.039642,0.017336,0.710331,0.518357,0.0,0.0,0.0,0.0,0.067174,0.207858,0.52218,0.0,0.0,0.0
4,0.032486,0.025847,0.736869,0.538587,0.0,0.0,0.0,0.0,0.108999,0.278834,0.613435,0.0,0.0,0.0
5,0.031539,0.027183,0.737135,0.553167,0.0,0.0,0.0,0.0,0.092522,0.264892,0.577947,0.0,0.0,0.0
6,0.030558,0.032292,0.744656,0.578248,0.0,0.0,0.0,0.0,0.107731,0.31052,0.621039,0.0,0.0,0.0
7,0.029445,0.039364,0.757036,0.584353,0.0,0.0,0.0,0.0,0.119138,0.337136,0.661597,0.0,0.0,0.0
8,0.030066,0.042157,0.757033,0.598768,0.0,0.0,0.0,0.0,0.115336,0.340938,0.643853,0.0,0.0,0.0
9,0.029887,0.043228,0.756234,0.603271,0.0,0.0,0.0,0.0,0.126743,0.370089,0.65526,0.0,0.0,0.0
10,0.031131,0.042659,0.758802,0.618519,0.0,0.0,0.0,0.0,0.124208,0.358682,0.678074,0.0,0.0,0.0
11,0.029946,0.043871,0.763521,0.618418,0.0,0.0,0.0,0.0,0.162231,0.435995,0.698352,0.0,0.0,0.0
12,0.02842,0.054464,0.768894,0.624582,0.0,0.0,0.0,0.0,0.17237,0.43346,0.698352,0.0,0.0,0.0
13,0.027708,0.062143,0.773148,0.645503,0.0,0.0,0.0,0.0,0.202788,0.484157,0.742712,0.0,0.0,0.0
14,0.028597,0.062165,0.768714,0.654254,0.0,0.0,0.0,0.0,0.204056,0.47275,0.69455,0.0,0.0,0.0
15,0.027693,0.068048,0.772678,0.644266,0.0,0.0,0.0,0.0,0.214195,0.47275,0.731305,0.0,0.0,0.0
16,0.028167,0.072068,0.780645,0.666722,0.0,0.0,0.0,0.0,0.210393,0.471483,0.736375,0.0,0.0,0.0
17,0.02669,0.077258,0.782108,0.680546,0.0,0.0,0.0,0.0,0.297845,0.544994,0.751584,0.0,0.0,0.0
18,0.025651,0.093134,0.790724,0.691107,0.0,0.0,0.0,0.0,0.30545,0.547529,0.773131,0.0,0.0,0.0
