epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,2.348841,0.019565,0.114147,0.0,0.0,0.0,0.021484,0.109375,0.373047,0.0,0.0,0.0
1,2.391731,0.038548,0.233008,0.0,0.0,0.0,0.050781,0.201172,0.576172,0.0,0.0,0.0
2,2.676182,0.05426,0.309679,0.0,0.0,0.0,0.089844,0.267578,0.644531,0.0,0.0,0.0
3,2.680592,0.063858,0.332456,0.0,0.0,0.0,0.103516,0.302734,0.6875,0.0,0.0,0.0
4,2.476982,0.069587,0.344874,0.0,0.0,0.0,0.130859,0.378906,0.722656,0.0,0.0,0.0
5,2.581915,0.081998,0.370256,0.0,0.0,0.0,0.171875,0.400391,0.746094,0.0,0.0,0.0
6,2.478337,0.091893,0.3907,0.0,0.0,0.0,0.232422,0.494141,0.791016,0.0,0.0,0.0
7,2.287797,0.10428,0.42443,0.0,0.0,0.0,0.328125,0.558594,0.806641,0.0,0.0,0.0
8,2.361852,0.102752,0.421914,0.0,0.0,0.0,0.324219,0.582031,0.792969,0.0,0.0,0.0
9,2.227741,0.10363,0.419886,0.0,0.0,0.0,0.332031,0.568359,0.796875,0.0,0.0,0.0
