epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.118656,0.012892,0.633093,0.507299,0.0,0.0,0.0,0.0,0.007605,0.026616,0.12801,0.0,0.0,0.0
1,0.040531,0.01273,0.544834,0.505305,0.0,0.0,0.0,0.0,0.030418,0.077313,0.188847,0.0,0.0,0.0
2,0.029108,0.012483,0.506264,0.504396,0.0,0.0,0.0,0.0,0.035488,0.101394,0.240811,0.0,0.0,0.0
3,0.021627,0.012403,0.480499,0.504554,0.0,0.0,0.0,0.0,0.030418,0.074778,0.196451,0.0,0.0,0.0
4,0.014832,0.012339,0.511909,0.504541,0.0,0.0,0.0,0.0,0.016477,0.059569,0.176172,0.0,0.0,0.0
5,0.008832,0.012328,0.527559,0.504569,0.0,0.0,0.0,0.0,0.038023,0.086185,0.214195,0.0,0.0,0.0
6,0.004729,0.012334,0.555128,0.504798,0.0,0.0,0.0,0.0,0.034221,0.086185,0.25602,0.0,0.0,0.0
7,0.002449,0.012856,0.609411,0.505187,0.0,0.0,0.0,0.0,0.060837,0.190114,0.42839,0.0,0.0,0.0
8,0.001476,0.015273,0.713365,0.507596,0.0,0.0,0.0,0.0,0.131812,0.319392,0.607098,0.0,0.0,0.0
9,0.001107,0.018797,0.764421,0.512143,0.0,0.0,0.0,0.0,0.191381,0.429658,0.673004,0.0,0.0,0.0
10,0.000934,0.022568,0.776268,0.517635,0.0,0.0,0.0,0.0,0.264892,0.501901,0.73384,0.0,0.0,0.0
11,0.000751,0.025085,0.782436,0.522935,0.0,0.0,0.0,0.0,0.328264,0.541191,0.708492,0.0,0.0,0.0
12,0.000608,0.028814,0.796475,0.529195,0.0,0.0,0.0,0.0,0.39417,0.581749,0.727503,0.0,0.0,0.0
13,0.000509,0.031098,0.799814,0.53288,0.0,0.0,0.0,0.0,0.453739,0.626109,0.752852,0.0,0.0,0.0
14,0.000433,0.037913,0.810728,0.541932,0.0,0.0,0.0,0.0,0.510773,0.638783,0.761724,0.0,0.0,0.0
15,0.000412,0.0387,0.813182,0.543826,0.0,0.0,0.0,0.0,0.531052,0.65526,0.7782,0.0,0.0,0.0
16,0.000329,0.042245,0.824381,0.551023,0.0,0.0,0.0,0.0,0.580482,0.688213,0.797212,0.0,0.0,0.0
17,0.000301,0.047005,0.828871,0.55827,0.0,0.0,0.0,0.0,0.609632,0.688213,0.804816,0.0,0.0,0.0
18,0.000174,0.053394,0.844635,0.573224,0.0,0.0,0.0,0.0,0.648923,0.717364,0.779468,0.0,0.0,0.0
19,0.000121,0.058911,0.846373,0.584428,0.0,0.0,0.0,0.0,0.698352,0.73891,0.821293,0.0,0.0,0.0
20,6.7e-05,0.064859,0.853507,0.595834,0.0,0.0,0.0,0.0,0.708492,0.741445,0.830165,0.0,0.0,0.0
21,4.4e-05,0.067437,0.85694,0.607876,0.0,0.0,0.0,0.0,0.730038,0.751584,0.82256,0.0,0.0,0.0
22,2.1e-05,0.070189,0.857796,0.621646,0.0,0.0,0.0,0.0,0.731305,0.759189,0.836502,0.0,0.0,0.0
23,1.1e-05,0.072547,0.851143,0.628818,0.0,0.0,0.0,0.0,0.74398,0.761724,0.806084,0.0,0.0,0.0
24,1e-05,0.073092,0.848866,0.641194,0.0,0.0,0.0,0.0,0.732573,0.760456,0.831432,0.0,0.0,0.0
25,6e-06,0.072703,0.848574,0.64647,0.0,0.0,0.0,0.0,0.742712,0.754119,0.797212,0.0,0.0,0.0
26,4e-06,0.071006,0.852073,0.653863,0.0,0.0,0.0,0.0,0.737643,0.742712,0.764259,0.0,0.0,0.0
27,2e-06,0.070167,0.852804,0.660294,0.0,0.0,0.0,0.0,0.731305,0.74398,0.760456,0.0,0.0,0.0
28,2e-06,0.070519,0.85038,0.664216,0.0,0.0,0.0,0.0,0.731305,0.741445,0.749049,0.0,0.0,0.0
29,2e-06,0.06883,0.848254,0.669681,0.0,0.0,0.0,0.0,0.728771,0.736375,0.751584,0.0,0.0,0.0
30,1e-06,0.069949,0.828075,0.673459,0.0,0.0,0.0,0.0,0.724968,0.731305,0.742712,0.0,0.0,0.0
31,2e-06,0.072019,0.848983,0.67791,0.0,0.0,0.0,0.0,0.718631,0.722433,0.736375,0.0,0.0,0.0
32,1e-06,0.071459,0.835613,0.681539,0.0,0.0,0.0,0.0,0.714829,0.727503,0.765526,0.0,0.0,0.0
33,2e-06,0.071749,0.835402,0.685523,0.0,0.0,0.0,0.0,0.713561,0.73891,0.787072,0.0,0.0,0.0
34,1e-06,0.071873,0.856801,0.686408,0.0,0.0,0.0,0.0,0.711027,0.722433,0.751584,0.0,0.0,0.0
35,1e-06,0.073595,0.85662,0.697187,0.0,0.0,0.0,0.0,0.724968,0.736375,0.749049,0.0,0.0,0.0
36,1e-06,0.07291,0.866246,0.696404,0.0,0.0,0.0,0.0,0.716096,0.727503,0.752852,0.0,0.0,0.0
37,1e-06,0.072109,0.851163,0.695761,0.0,0.0,0.0,0.0,0.708492,0.722433,0.746515,0.0,0.0,0.0
38,1e-06,0.070845,0.849717,0.702942,0.0,0.0,0.0,0.0,0.718631,0.728771,0.737643,0.0,0.0,0.0
