epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.06932,0.012192,0.649154,0.507626,0.0,0.0,0.0,0.0,0.006337,0.025349,0.12801,0.0,0.0,0.0
1,0.005645,0.013167,0.710377,0.505157,0.0,0.0,0.0,0.0,0.019011,0.073511,0.283904,0.0,0.0,0.0
2,0.003599,0.013007,0.721183,0.504663,0.0,0.0,0.0,0.0,0.034221,0.119138,0.356147,0.0,0.0,0.0
3,0.002188,0.013527,0.727057,0.505228,0.0,0.0,0.0,0.0,0.060837,0.160963,0.397972,0.0,0.0,0.0
4,0.001399,0.0147,0.738808,0.506611,0.0,0.0,0.0,0.0,0.108999,0.249683,0.491762,0.0,0.0,0.0
5,0.001077,0.016366,0.743421,0.509397,0.0,0.0,0.0,0.0,0.145754,0.324461,0.546261,0.0,0.0,0.0
6,0.000905,0.019298,0.765048,0.51497,0.0,0.0,0.0,0.0,0.244613,0.446134,0.653992,0.0,0.0,0.0
7,0.000818,0.021841,0.778747,0.521992,0.0,0.0,0.0,0.0,0.343473,0.505703,0.675539,0.0,0.0,0.0
8,0.000623,0.026483,0.803895,0.537013,0.0,0.0,0.0,0.0,0.480355,0.595691,0.709759,0.0,0.0,0.0
9,0.000384,0.038638,0.838869,0.566185,0.0,0.0,0.0,0.0,0.622307,0.686946,0.754119,0.0,0.0,0.0
10,0.00019,0.056067,0.847748,0.602112,0.0,0.0,0.0,0.0,0.69962,0.732573,0.761724,0.0,0.0,0.0
11,7.3e-05,0.071014,0.864545,0.643144,0.0,0.0,0.0,0.0,0.726236,0.741445,0.752852,0.0,0.0,0.0
12,3e-05,0.079556,0.869048,0.675325,0.0,0.0,0.0,0.0,0.741445,0.752852,0.760456,0.0,0.0,0.0
13,6e-06,0.080622,0.868562,0.688746,0.0,0.0,0.0,0.0,0.74398,0.754119,0.759189,0.0,0.0,0.0
14,1e-06,0.079993,0.866105,0.702049,0.0,0.0,0.0,0.0,0.736375,0.746515,0.752852,0.0,0.0,0.0
15,1e-06,0.077775,0.869896,0.71832,0.0,0.0,0.0,0.0,0.73384,0.741445,0.751584,0.0,0.0,0.0
16,1e-06,0.077908,0.866986,0.727156,0.0,0.0,0.0,0.0,0.737643,0.745247,0.751584,0.0,0.0,0.0
17,0.0,0.077053,0.868275,0.735408,0.0,0.0,0.0,0.0,0.737643,0.745247,0.754119,0.0,0.0,0.0
18,0.0,0.075878,0.867126,0.739422,0.0,0.0,0.0,0.0,0.721166,0.73384,0.742712,0.0,0.0,0.0
19,0.0,0.079911,0.860383,0.746287,0.0,0.0,0.0,0.0,0.719899,0.732573,0.754119,0.0,0.0,0.0
20,0.0,0.079731,0.859637,0.750129,0.0,0.0,0.0,0.0,0.719899,0.723701,0.735108,0.0,0.0,0.0
21,0.0,0.081042,0.856676,0.75583,0.0,0.0,0.0,0.0,0.721166,0.737643,0.749049,0.0,0.0,0.0
22,0.0,0.080401,0.852739,0.756633,0.0,0.0,0.0,0.0,0.721166,0.730038,0.750317,0.0,0.0,0.0
23,0.0,0.080533,0.846643,0.75916,0.0,0.0,0.0,0.0,0.717364,0.724968,0.746515,0.0,0.0,0.0
24,0.0,0.082036,0.8507,0.766026,0.0,0.0,0.0,0.0,0.712294,0.717364,0.736375,0.0,0.0,0.0
25,1e-06,0.083475,0.849261,0.764554,0.0,0.0,0.0,0.0,0.708492,0.727503,0.749049,0.0,0.0,0.0
26,0.0,0.079409,0.849195,0.767641,0.0,0.0,0.0,0.0,0.705957,0.723701,0.754119,0.0,0.0,0.0
27,0.0,0.080485,0.851148,0.768885,0.0,0.0,0.0,0.0,0.716096,0.732573,0.7782,0.0,0.0,0.0
