epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.070258,0.012419,0.654695,0.507673,0.0,0.0,0.0,0.0,0.006337,0.025349,0.152091,0.0,0.0,0.0
1,0.007132,0.013844,0.703883,0.50564,0.0,0.0,0.0,0.0,0.022814,0.102662,0.34981,0.0,0.0,0.0
2,0.00531,0.014186,0.70848,0.505552,0.0,0.0,0.0,0.0,0.053232,0.171103,0.439797,0.0,0.0,0.0
3,0.004111,0.016293,0.729389,0.5073,0.0,0.0,0.0,0.0,0.077313,0.252218,0.538657,0.0,0.0,0.0
4,0.003426,0.019453,0.746154,0.510269,0.0,0.0,0.0,0.0,0.150824,0.348542,0.617237,0.0,0.0,0.0
5,0.0031,0.02233,0.751051,0.513634,0.0,0.0,0.0,0.0,0.162231,0.409379,0.66033,0.0,0.0,0.0
6,0.002697,0.027283,0.77414,0.517252,0.0,0.0,0.0,0.0,0.235741,0.480355,0.722433,0.0,0.0,0.0
7,0.002483,0.033127,0.793757,0.521192,0.0,0.0,0.0,0.0,0.343473,0.552598,0.730038,0.0,0.0,0.0
8,0.002203,0.038472,0.80151,0.525402,0.0,0.0,0.0,0.0,0.410646,0.598226,0.746515,0.0,0.0,0.0
9,0.001728,0.055336,0.821221,0.534983,0.0,0.0,0.0,0.0,0.52218,0.666667,0.757921,0.0,0.0,0.0
10,0.00153,0.06676,0.836275,0.544724,0.0,0.0,0.0,0.0,0.560203,0.700887,0.765526,0.0,0.0,0.0
11,0.001206,0.078688,0.847949,0.549857,0.0,0.0,0.0,0.0,0.637516,0.735108,0.765526,0.0,0.0,0.0
