epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.047929,0.011737,0.538961,0.505391,0.0,0.0,0.0,0.0,0.084918,0.143219,0.239544,0.0,0.0,0.0
1,0.006306,0.012348,0.47843,0.50449,0.0,0.0,0.0,0.0,0.162231,0.25602,0.467681,0.0,0.0,0.0
2,0.004049,0.012404,0.539503,0.504382,0.0,0.0,0.0,0.0,0.108999,0.225602,0.484157,0.0,0.0,0.0
3,0.002308,0.012712,0.644858,0.504604,0.0,0.0,0.0,0.0,0.105196,0.226869,0.52218,0.0,0.0,0.0
4,0.001375,0.014267,0.698482,0.506286,0.0,0.0,0.0,0.0,0.095057,0.235741,0.520913,0.0,0.0,0.0
5,0.000949,0.019002,0.75747,0.513179,0.0,0.0,0.0,0.0,0.204056,0.416984,0.656527,0.0,0.0,0.0
6,0.000653,0.022307,0.785078,0.525703,0.0,0.0,0.0,0.0,0.435995,0.574144,0.723701,0.0,0.0,0.0
7,inf,0.033626,0.830933,0.551184,0.0,0.0,0.0,0.0,0.619772,0.674271,0.761724,0.0,0.0,0.0
8,inf,0.043921,0.835177,0.561891,0.0,0.0,0.0,0.0,0.638783,0.703422,0.849176,0.0,0.0,0.0
9,6.7e-05,0.073685,0.851425,0.597027,0.0,0.0,0.0,0.0,0.765526,0.86185,0.949303,0.0,0.0,0.0
10,5.9e-05,0.077478,0.854688,0.611948,0.0,0.0,0.0,0.0,0.789607,0.86692,0.940431,0.0,0.0,0.0
11,2.4e-05,0.091678,0.848299,0.630546,0.0,0.0,0.0,0.0,0.803549,0.912548,0.967047,0.0,0.0,0.0
12,1.2e-05,0.090046,0.85698,0.633093,0.0,0.0,0.0,0.0,0.833967,0.92142,0.961977,0.0,0.0,0.0
13,9e-06,0.090473,0.876678,0.641782,0.0,0.0,0.0,0.0,0.849176,0.932826,0.972117,0.0,0.0,0.0
14,5e-06,0.08769,0.881059,0.653467,0.0,0.0,0.0,0.0,0.940431,0.961977,0.975919,0.0,0.0,0.0
15,5e-06,0.085538,0.855062,0.664421,0.0,0.0,0.0,0.0,0.878327,0.937896,0.969582,0.0,0.0,0.0
16,inf,0.101776,0.824636,0.698603,0.0,0.0,0.0,0.0,0.913815,0.956907,0.968314,0.0,0.0,0.0
17,8e-06,0.118202,0.807853,0.720076,0.0,0.0,0.0,0.0,0.961977,0.975919,0.977186,0.0,0.0,0.0
18,9e-06,0.126851,0.818844,0.726495,0.0,0.0,0.0,0.0,0.961977,0.974651,0.980989,0.0,0.0,0.0
19,1.2e-05,0.129268,0.821836,0.734527,0.0,0.0,0.0,0.0,0.95564,0.974651,0.980989,0.0,0.0,0.0
20,1.4e-05,0.126928,0.82076,0.747788,0.0,0.0,0.0,0.0,0.948035,0.977186,0.984791,0.0,0.0,0.0
21,1e-05,0.142334,0.826226,0.777989,0.0,0.0,0.0,0.0,0.963245,0.977186,0.984791,0.0,0.0,0.0
22,1.1e-05,0.140551,0.832312,0.787619,0.0,0.0,0.0,0.0,0.945501,0.977186,0.986058,0.0,0.0,0.0
23,inf,0.214408,0.855798,0.811804,0.0,0.0,0.0,0.0,0.794677,0.86185,0.983523,0.0,0.0,0.0
