epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.047929,0.011737,0.539199,0.505391,0.0,0.0,0.0,0.0,0.08365,0.143219,0.240811,0.0,0.0,0.0
1,0.006306,0.012348,0.478052,0.50449,0.0,0.0,0.0,0.0,0.158428,0.254753,0.468948,0.0,0.0,0.0
2,0.004049,0.012404,0.539725,0.504382,0.0,0.0,0.0,0.0,0.107731,0.224335,0.485425,0.0,0.0,0.0
3,0.002308,0.012712,0.644076,0.504604,0.0,0.0,0.0,0.0,0.102662,0.226869,0.524715,0.0,0.0,0.0
4,0.001375,0.014266,0.699431,0.506282,0.0,0.0,0.0,0.0,0.095057,0.239544,0.520913,0.0,0.0,0.0
5,0.000949,0.019084,0.756879,0.513486,0.0,0.0,0.0,0.0,0.206591,0.416984,0.661597,0.0,0.0,0.0
6,0.000645,0.022772,0.792898,0.526005,0.0,0.0,0.0,0.0,0.460076,0.585551,0.723701,0.0,0.0,0.0
7,0.000441,0.030784,0.819991,0.546893,0.0,0.0,0.0,0.0,0.583016,0.66033,0.73891,0.0,0.0,0.0
8,0.000166,0.055892,0.843707,0.580811,0.0,0.0,0.0,0.0,0.695817,0.730038,0.847909,0.0,0.0,0.0
9,4.6e-05,0.075058,0.860164,0.614253,0.0,0.0,0.0,0.0,0.74398,0.774398,0.849176,0.0,0.0,0.0
10,1.8e-05,0.081654,0.847088,0.633684,0.0,0.0,0.0,0.0,0.745247,0.807351,0.899873,0.0,0.0,0.0
11,8e-06,0.08735,0.819088,0.648345,0.0,0.0,0.0,0.0,0.752852,0.852978,0.931559,0.0,0.0,0.0
12,4e-06,0.088025,0.817153,0.664392,0.0,0.0,0.0,0.0,0.74398,0.8327,0.908745,0.0,0.0,0.0
13,7e-06,0.087514,0.825725,0.672848,0.0,0.0,0.0,0.0,0.787072,0.87199,0.918885,0.0,0.0,0.0
14,4e-05,0.092136,0.850902,0.660221,0.0,0.0,0.0,0.0,0.727503,0.808619,0.904943,0.0,0.0,0.0
15,1.3e-05,0.101421,0.838762,0.671861,0.0,0.0,0.0,0.0,0.73384,0.795944,0.889734,0.0,0.0,0.0
16,3e-06,0.100529,0.851345,0.690091,0.0,0.0,0.0,0.0,0.740177,0.761724,0.836502,0.0,0.0,0.0
17,3e-06,0.09396,0.847524,0.692324,0.0,0.0,0.0,0.0,0.750317,0.808619,0.892269,0.0,0.0,0.0
18,2e-06,0.090123,0.812613,0.699106,0.0,0.0,0.0,0.0,0.823828,0.930292,0.967047,0.0,0.0,0.0
19,1e-06,0.093442,0.803069,0.713843,0.0,0.0,0.0,0.0,0.882129,0.95057,0.967047,0.0,0.0,0.0
20,1e-06,0.094868,0.805946,0.723876,0.0,0.0,0.0,0.0,0.910013,0.945501,0.956907,0.0,0.0,0.0
21,1e-06,0.095561,0.800855,0.730075,0.0,0.0,0.0,0.0,0.91635,0.944233,0.95057,0.0,0.0,0.0
22,1e-06,0.095265,0.796544,0.73497,0.0,0.0,0.0,0.0,0.908745,0.937896,0.948035,0.0,0.0,0.0
23,1e-06,0.0949,0.790078,0.73663,0.0,0.0,0.0,0.0,0.885932,0.927757,0.944233,0.0,0.0,0.0
24,1e-06,0.096578,0.805607,0.743149,0.0,0.0,0.0,0.0,0.885932,0.929024,0.941698,0.0,0.0,0.0
25,1e-06,0.095569,0.797889,0.747334,0.0,0.0,0.0,0.0,0.837769,0.908745,0.936629,0.0,0.0,0.0
26,1e-06,0.095523,0.809721,0.750968,0.0,0.0,0.0,0.0,0.784537,0.86185,0.92142,0.0,0.0,0.0
27,3e-06,0.094263,0.806759,0.740489,0.0,0.0,0.0,0.0,0.803549,0.887199,0.934094,0.0,0.0,0.0
28,inf,0.162649,0.855023,0.777212,0.0,0.0,0.0,0.0,0.826362,0.95564,0.969582,0.0,0.0,0.0
