epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.019114,0.013527,0.636097,0.504231,0.0,0.0,0.0,0.0,0.003802,0.027883,0.139417,0.0,0.0,0.0
1,0.00364,0.013591,0.661057,0.503906,0.0,0.0,0.0,0.0,0.021546,0.074778,0.30545,0.0,0.0,0.0
2,0.003571,0.013601,0.671735,0.503899,0.0,0.0,0.0,0.0,0.024081,0.101394,0.391635,0.0,0.0,0.0
3,0.003496,0.013614,0.688756,0.50386,0.0,0.0,0.0,0.0,0.036755,0.157161,0.432193,0.0,0.0,0.0
4,0.003476,0.013617,0.697611,0.503844,0.0,0.0,0.0,0.0,0.050697,0.17237,0.458809,0.0,0.0,0.0
5,0.00348,0.013669,0.709825,0.503888,0.0,0.0,0.0,0.0,0.064639,0.186312,0.486692,0.0,0.0,0.0
6,0.003422,0.0137,0.729758,0.503877,0.0,0.0,0.0,0.0,0.074778,0.21673,0.52725,0.0,0.0,0.0
7,0.003333,0.013779,0.744153,0.503899,0.0,0.0,0.0,0.0,0.097592,0.311787,0.599493,0.0,0.0,0.0
8,0.00332,0.013747,0.74774,0.503856,0.0,0.0,0.0,0.0,0.103929,0.307985,0.589354,0.0,0.0,0.0
9,0.003267,0.013819,0.754594,0.503914,0.0,0.0,0.0,0.0,0.139417,0.326996,0.622307,0.0,0.0,0.0
10,0.003215,0.013882,0.7603,0.503915,0.0,0.0,0.0,0.0,0.181242,0.381496,0.634981,0.0,0.0,0.0
11,0.003135,0.013972,0.769647,0.503971,0.0,0.0,0.0,0.0,0.220532,0.416984,0.671736,0.0,0.0,0.0
12,0.003015,0.014064,0.777263,0.50401,0.0,0.0,0.0,0.0,0.237009,0.47782,0.702155,0.0,0.0,0.0
13,0.002783,0.014356,0.794956,0.504136,0.0,0.0,0.0,0.0,0.342205,0.543726,0.723701,0.0,0.0,0.0
14,0.002574,0.01459,0.811702,0.504271,0.0,0.0,0.0,0.0,0.396705,0.579214,0.735108,0.0,0.0,0.0
15,0.002371,0.014802,0.810931,0.504367,0.0,0.0,0.0,0.0,0.427123,0.607098,0.73891,0.0,0.0,0.0
16,0.00209,0.014998,0.820444,0.50445,0.0,0.0,0.0,0.0,0.489227,0.636248,0.736375,0.0,0.0,0.0
