epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.350029,0.012444,0.53424,0.505828,0.0,0.0,0.0,0.0,0.100127,0.157161,0.217997,0.0,0.0,0.0
1,0.202574,0.01358,0.487811,0.504771,0.0,0.0,0.0,0.0,0.162231,0.250951,0.466413,0.0,0.0,0.0
2,0.171803,0.013701,0.546961,0.504546,0.0,0.0,0.0,0.0,0.097592,0.209125,0.506971,0.0,0.0,0.0
3,0.135426,0.0138,0.611486,0.504647,0.0,0.0,0.0,0.0,0.079848,0.201521,0.52218,0.0,0.0,0.0
4,0.098431,0.01382,0.652866,0.504935,0.0,0.0,0.0,0.0,0.07858,0.193916,0.491762,0.0,0.0,0.0
5,0.067597,0.015232,0.691029,0.507253,0.0,0.0,0.0,0.0,0.068441,0.197719,0.542459,0.0,0.0,0.0
6,0.047439,0.019452,0.729657,0.514208,0.0,0.0,0.0,0.0,0.07858,0.237009,0.607098,0.0,0.0,0.0
7,0.038046,0.027523,0.743151,0.528951,0.0,0.0,0.0,0.0,0.08365,0.275032,0.603295,0.0,0.0,0.0
8,0.034442,0.031564,0.751721,0.540865,0.0,0.0,0.0,0.0,0.115336,0.332066,0.662864,0.0,0.0,0.0
9,0.032211,0.040354,0.766878,0.553908,0.0,0.0,0.0,0.0,0.150824,0.424588,0.702155,0.0,0.0,0.0
10,0.030795,0.052516,0.771068,0.575687,0.0,0.0,0.0,0.0,0.171103,0.432193,0.745247,0.0,0.0,0.0
11,0.030053,0.053757,0.776387,0.582534,0.0,0.0,0.0,0.0,0.176172,0.449937,0.712294,0.0,0.0,0.0
12,0.028515,0.066901,0.778892,0.600747,0.0,0.0,0.0,0.0,0.212928,0.487959,0.747782,0.0,0.0,0.0
13,0.027023,0.076341,0.783983,0.605734,0.0,0.0,0.0,0.0,0.237009,0.514575,0.759189,0.0,0.0,0.0
14,0.0266,0.08206,0.793861,0.616481,0.0,0.0,0.0,0.0,0.290241,0.556401,0.794677,0.0,0.0,0.0
15,0.026059,0.088109,0.792437,0.62473,0.0,0.0,0.0,0.0,0.299113,0.558935,0.787072,0.0,0.0,0.0
16,0.025259,0.102113,0.798402,0.639024,0.0,0.0,0.0,0.0,0.316857,0.564005,0.803549,0.0,0.0,0.0
17,0.024907,0.107657,0.79843,0.64697,0.0,0.0,0.0,0.0,0.343473,0.60076,0.835234,0.0,0.0,0.0
18,0.024875,0.114323,0.800204,0.659247,0.0,0.0,0.0,0.0,0.370089,0.595691,0.814956,0.0,0.0,0.0
19,0.023466,0.138615,0.811474,0.679617,0.0,0.0,0.0,0.0,0.386565,0.624842,0.842839,0.0,0.0,0.0
20,0.023285,0.14739,0.816921,0.697183,0.0,0.0,0.0,0.0,0.408112,0.634981,0.81749,0.0,0.0,0.0
21,0.022372,0.166693,0.820389,0.699235,0.0,0.0,0.0,0.0,0.466413,0.670469,0.81749,0.0,0.0,0.0
22,0.021766,0.181608,0.830517,0.716477,0.0,0.0,0.0,0.0,0.501901,0.669202,0.828897,0.0,0.0,0.0
23,0.021543,0.195739,0.824055,0.724114,0.0,0.0,0.0,0.0,0.551331,0.703422,0.814956,0.0,0.0,0.0
24,0.019713,0.218252,0.838173,0.725588,0.0,0.0,0.0,0.0,0.588086,0.708492,0.826362,0.0,0.0,0.0
25,0.018466,0.243349,0.840464,0.721232,0.0,0.0,0.0,0.0,0.618504,0.747782,0.883397,0.0,0.0,0.0
26,0.016933,0.266631,0.852603,0.720084,0.0,0.0,0.0,0.0,0.652725,0.740177,0.845374,0.0,0.0,0.0
27,0.016839,0.273865,0.84844,0.720055,0.0,0.0,0.0,0.0,0.666667,0.766793,0.880862,0.0,0.0,0.0
28,0.015924,0.289332,0.85101,0.724266,0.0,0.0,0.0,0.0,0.692015,0.768061,0.859316,0.0,0.0,0.0
29,0.01583,0.29088,0.853402,0.725781,0.0,0.0,0.0,0.0,0.700887,0.789607,0.879594,0.0,0.0,0.0
30,0.014833,0.304893,0.850004,0.729898,0.0,0.0,0.0,0.0,0.732573,0.797212,0.884664,0.0,0.0,0.0
31,0.015187,0.302728,0.849617,0.732637,0.0,0.0,0.0,0.0,0.750317,0.801014,0.864385,0.0,0.0,0.0
32,0.014857,0.308894,0.845476,0.732604,0.0,0.0,0.0,0.0,0.762991,0.845374,0.917617,0.0,0.0,0.0
33,0.015277,0.309866,0.852245,0.719917,0.0,0.0,0.0,0.0,0.761724,0.842839,0.951838,0.0,0.0,0.0
34,0.014667,0.317481,0.854743,0.736407,0.0,0.0,0.0,0.0,0.731305,0.78834,0.887199,0.0,0.0,0.0
35,0.014027,0.325248,0.861008,0.732322,0.0,0.0,0.0,0.0,0.74398,0.794677,0.860583,0.0,0.0,0.0
36,0.013218,0.336057,0.857013,0.735316,0.0,0.0,0.0,0.0,0.766793,0.826362,0.897338,0.0,0.0,0.0
37,0.013287,0.334949,0.865539,0.735779,0.0,0.0,0.0,0.0,0.756654,0.795944,0.858048,0.0,0.0,0.0
38,0.012782,0.34331,0.867351,0.730093,0.0,0.0,0.0,0.0,0.770596,0.821293,0.912548,0.0,0.0,0.0
39,0.012577,0.347568,0.862597,0.729443,0.0,0.0,0.0,0.0,0.769328,0.816223,0.891001,0.0,0.0,0.0
