prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.118,0.923,0.391,24,179,2
0,0.07,0.147,0.885,0.442,23,133,3
0,0.09,0.172,0.846,0.474,22,106,4
0,0.11,0.174,0.808,0.467,21,100,5
0,0.13,0.191,0.808,0.491,21,89,5
0,0.15,0.2,0.808,0.502,21,84,5
0,0.17,0.206,0.808,0.51,21,81,5
0,0.19,0.206,0.769,0.498,20,77,6
0,0.21,0.213,0.769,0.505,20,74,6
0,0.23,0.217,0.769,0.51,20,72,6
0,0.25,0.225,0.769,0.518,20,69,6
0,0.27,0.23,0.769,0.524,20,67,6
0,0.29,0.233,0.769,0.526,20,66,6
0,0.31,0.235,0.769,0.529,20,65,6
0,0.33,0.238,0.769,0.532,20,64,6
0,0.35,0.244,0.769,0.538,20,62,6
0,0.37,0.247,0.769,0.541,20,61,6
0,0.39,0.253,0.769,0.546,20,59,6
0,0.41,0.263,0.769,0.556,20,56,6
0,0.43,0.263,0.769,0.556,20,56,6
0,0.45,0.27,0.769,0.562,20,54,6
0,0.47,0.27,0.769,0.562,20,54,6
0,0.49,0.27,0.769,0.562,20,54,6
0,0.51,0.274,0.769,0.565,20,53,6
0,0.53,0.274,0.769,0.565,20,53,6
0,0.55,0.278,0.769,0.568,20,52,6
0,0.57,0.278,0.769,0.568,20,52,6
0,0.59,0.278,0.769,0.568,20,52,6
0,0.61,0.286,0.769,0.575,20,50,6
0,0.63,0.286,0.769,0.575,20,50,6
0,0.65,0.286,0.769,0.575,20,50,6
0,0.67,0.29,0.769,0.578,20,49,6
0,0.69,0.29,0.769,0.578,20,49,6
0,0.71,0.294,0.769,0.581,20,48,6
0,0.73,0.294,0.769,0.581,20,48,6
0,0.75,0.288,0.731,0.559,19,47,7
0,0.77,0.288,0.731,0.559,19,47,7
0,0.79,0.297,0.731,0.565,19,45,7
0,0.81,0.297,0.731,0.565,19,45,7
0,0.83,0.297,0.731,0.565,19,45,7
0,0.85,0.297,0.731,0.565,19,45,7
0,0.87,0.297,0.731,0.565,19,45,7
0,0.89,0.302,0.731,0.569,19,44,7
0,0.91,0.311,0.731,0.576,19,42,7
0,0.93,0.333,0.731,0.59,19,38,7
1,0.05,0.294,0.769,0.581,20,48,6
1,0.07,0.345,0.731,0.597,19,36,7
1,0.09,0.413,0.731,0.633,19,27,7
1,0.11,0.4,0.692,0.604,18,27,8
1,0.13,0.462,0.692,0.629,18,21,8
1,0.15,0.486,0.692,0.638,18,19,8
1,0.17,0.529,0.692,0.652,18,16,8
1,0.19,0.531,0.654,0.625,17,15,9
1,0.21,0.567,0.654,0.634,17,13,9
1,0.23,0.607,0.654,0.644,17,11,9
1,0.25,0.63,0.654,0.649,17,10,9
1,0.27,0.63,0.654,0.649,17,10,9
1,0.29,0.63,0.654,0.649,17,10,9
1,0.31,0.654,0.654,0.654,17,9,9
1,0.33,0.654,0.654,0.654,17,9,9
1,0.35,0.708,0.654,0.664,17,7,9
1,0.37,0.708,0.654,0.664,17,7,9
1,0.39,0.708,0.654,0.664,17,7,9
1,0.41,0.739,0.654,0.669,17,6,9
1,0.43,0.739,0.654,0.669,17,6,9
1,0.45,0.773,0.654,0.675,17,5,9
1,0.47,0.773,0.654,0.675,17,5,9
1,0.49,0.773,0.654,0.675,17,5,9
1,0.51,0.81,0.654,0.68,17,4,9
1,0.53,0.81,0.654,0.68,17,4,9
1,0.55,0.81,0.654,0.68,17,4,9
1,0.57,0.81,0.654,0.68,17,4,9
1,0.59,0.81,0.654,0.68,17,4,9
1,0.61,0.81,0.654,0.68,17,4,9
1,0.63,0.81,0.654,0.68,17,4,9
1,0.65,0.81,0.654,0.68,17,4,9
1,0.67,0.85,0.654,0.685,17,3,9
1,0.69,0.85,0.654,0.685,17,3,9
1,0.71,0.85,0.654,0.685,17,3,9
1,0.73,0.85,0.654,0.685,17,3,9
1,0.75,0.842,0.615,0.65,16,3,10
1,0.77,0.842,0.615,0.65,16,3,10
1,0.79,0.842,0.615,0.65,16,3,10
1,0.81,0.842,0.615,0.65,16,3,10
1,0.83,0.842,0.615,0.65,16,3,10
1,0.85,0.842,0.615,0.65,16,3,10
1,0.87,0.842,0.615,0.65,16,3,10
1,0.89,0.842,0.615,0.65,16,3,10
1,0.91,0.889,0.615,0.656,16,2,10
1,0.93,1.0,0.615,0.667,16,0,10
2,0.05,0.299,0.769,0.585,20,47,6
2,0.07,0.345,0.731,0.597,19,36,7
2,0.09,0.413,0.731,0.633,19,27,7
2,0.11,0.4,0.692,0.604,18,27,8
2,0.13,0.474,0.692,0.634,18,20,8
2,0.15,0.5,0.692,0.643,18,18,8
2,0.17,0.545,0.692,0.657,18,15,8
