epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.045522,0.012205,0.526618,0.505804,0.0,0.0,0.0,0.0,0.119138,0.169835,0.238276,0.0,0.0,0.0
1,0.006746,0.01363,0.510544,0.504763,0.0,0.0,0.0,0.0,0.190114,0.263625,0.506971,0.0,0.0,0.0
2,0.004792,0.014178,0.628909,0.504785,0.0,0.0,0.0,0.0,0.135615,0.269962,0.588086,0.0,0.0,0.0
3,0.003337,0.015549,0.672676,0.505973,0.0,0.0,0.0,0.0,0.077313,0.26616,0.581749,0.0,0.0,0.0
4,0.002502,0.018729,0.72931,0.509013,0.0,0.0,0.0,0.0,0.164766,0.366286,0.675539,0.0,0.0,0.0
5,0.00193,0.023246,0.76464,0.514532,0.0,0.0,0.0,0.0,0.299113,0.509506,0.727503,0.0,0.0,0.0
6,0.001572,0.028788,0.790914,0.52219,0.0,0.0,0.0,0.0,0.430925,0.599493,0.765526,0.0,0.0,0.0
7,0.001144,0.038911,0.824419,0.538645,0.0,0.0,0.0,0.0,0.570342,0.684411,0.78834,0.0,0.0,0.0
8,0.000716,0.057012,0.845944,0.558517,0.0,0.0,0.0,0.0,0.675539,0.749049,0.813688,0.0,0.0,0.0
9,0.000354,0.083612,0.862189,0.588589,0.0,0.0,0.0,0.0,0.754119,0.799747,0.899873,0.0,0.0,0.0
10,0.000153,0.113146,0.868641,0.624901,0.0,0.0,0.0,0.0,0.773131,0.821293,0.912548,0.0,0.0,0.0
11,6.5e-05,0.131989,0.870363,0.660036,0.0,0.0,0.0,0.0,0.780735,0.835234,0.910013,0.0,0.0,0.0
12,2.7e-05,0.147227,0.857149,0.685781,0.0,0.0,0.0,0.0,0.809886,0.888466,0.956907,0.0,0.0,0.0
13,8e-06,0.149855,0.857974,0.709092,0.0,0.0,0.0,0.0,0.789607,0.826362,0.935361,0.0,0.0,0.0
14,2e-06,0.151832,0.857204,0.727688,0.0,0.0,0.0,0.0,0.803549,0.87199,0.956907,0.0,0.0,0.0
15,1e-06,0.151516,0.82983,0.743494,0.0,0.0,0.0,0.0,0.82256,0.901141,0.969582,0.0,0.0,0.0
16,1e-06,0.151833,0.828489,0.757379,0.0,0.0,0.0,0.0,0.831432,0.920152,0.961977,0.0,0.0,0.0
17,0.0,0.150954,0.826176,0.768953,0.0,0.0,0.0,0.0,0.807351,0.897338,0.965779,0.0,0.0,0.0
18,0.0,0.15319,0.812038,0.778625,0.0,0.0,0.0,0.0,0.851711,0.942966,0.987326,0.0,0.0,0.0
19,0.0,0.154104,0.807714,0.787127,0.0,0.0,0.0,0.0,0.896071,0.968314,0.99493,0.0,0.0,0.0
20,0.0,0.154203,0.808447,0.795064,0.0,0.0,0.0,0.0,0.908745,0.972117,0.992395,0.0,0.0,0.0
21,0.0,0.153727,0.81226,0.802049,0.0,0.0,0.0,0.0,0.903676,0.968314,0.993663,0.0,0.0,0.0
22,0.0,0.154366,0.812399,0.808422,0.0,0.0,0.0,0.0,0.917617,0.974651,0.99493,0.0,0.0,0.0
23,0.0,0.154877,0.815411,0.81413,0.0,0.0,0.0,0.0,0.925222,0.970849,0.99493,0.0,0.0,0.0
24,0.0,0.155402,0.818703,0.818999,0.0,0.0,0.0,0.0,0.923954,0.973384,0.992395,0.0,0.0,0.0
