epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.018413,0.013452,0.621116,0.504253,0.0,0.0,0.0,0.0,0.002535,0.030418,0.134347,0.0,0.0,0.0
1,0.002584,0.013514,0.617633,0.503815,0.0,0.0,0.0,0.0,0.020279,0.060837,0.212928,0.0,0.0,0.0
2,0.001757,0.013514,0.605222,0.503477,0.0,0.0,0.0,0.0,0.08365,0.154626,0.264892,0.0,0.0,0.0
3,0.001883,0.013516,0.601156,0.503433,0.0,0.0,0.0,0.0,0.110266,0.1673,0.273764,0.0,0.0,0.0
4,0.001645,0.013513,0.616765,0.503421,0.0,0.0,0.0,0.0,0.13815,0.176172,0.257288,0.0,0.0,0.0
5,0.001532,0.013512,0.606368,0.503418,0.0,0.0,0.0,0.0,0.111534,0.158428,0.239544,0.0,0.0,0.0
6,0.001506,0.013514,0.623676,0.503424,0.0,0.0,0.0,0.0,0.106464,0.149556,0.223067,0.0,0.0,0.0
7,0.001686,0.013514,0.612819,0.503418,0.0,0.0,0.0,0.0,0.101394,0.139417,0.209125,0.0,0.0,0.0
8,0.001462,0.013514,0.643957,0.503418,0.0,0.0,0.0,0.0,0.102662,0.140684,0.244613,0.0,0.0,0.0
9,0.001347,0.013512,0.606785,0.503418,0.0,0.0,0.0,0.0,0.112801,0.144487,0.214195,0.0,0.0,0.0
10,0.001043,0.013515,0.6319,0.503418,0.0,0.0,0.0,0.0,0.143219,0.160963,0.272497,0.0,0.0,0.0
11,0.001041,0.013515,0.628574,0.503418,0.0,0.0,0.0,0.0,0.12801,0.148289,0.272497,0.0,0.0,0.0
12,0.001068,0.013513,0.616502,0.503418,0.0,0.0,0.0,0.0,0.12294,0.155894,0.225602,0.0,0.0,0.0
13,0.001012,0.013513,0.620346,0.503418,0.0,0.0,0.0,0.0,0.125475,0.162231,0.217997,0.0,0.0,0.0
14,0.001,0.013514,0.632973,0.503418,0.0,0.0,0.0,0.0,0.136882,0.176172,0.264892,0.0,0.0,0.0
15,0.000986,0.013514,0.632532,0.503418,0.0,0.0,0.0,0.0,0.130545,0.17237,0.253485,0.0,0.0,0.0
16,0.000988,0.013513,0.630061,0.503418,0.0,0.0,0.0,0.0,0.144487,0.185044,0.263625,0.0,0.0,0.0
17,0.000997,0.013514,0.640646,0.503418,0.0,0.0,0.0,0.0,0.131812,0.168568,0.268695,0.0,0.0,0.0
