epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.018413,0.013453,0.622655,0.504253,0.0,0.0,0.0,0.0,0.002535,0.029151,0.134347,0.0,0.0,0.0
1,0.002678,0.013517,0.622716,0.503831,0.0,0.0,0.0,0.0,0.017744,0.065906,0.210393,0.0,0.0,0.0
2,0.001813,0.013515,0.608463,0.503484,0.0,0.0,0.0,0.0,0.058302,0.139417,0.278834,0.0,0.0,0.0
3,0.001615,0.013514,0.606493,0.50342,0.0,0.0,0.0,0.0,0.110266,0.164766,0.267427,0.0,0.0,0.0
4,0.001898,0.013515,0.623765,0.503419,0.0,0.0,0.0,0.0,0.120406,0.158428,0.254753,0.0,0.0,0.0
5,0.001597,0.013517,0.632882,0.503418,0.0,0.0,0.0,0.0,0.116603,0.1673,0.258555,0.0,0.0,0.0
6,0.001556,0.013515,0.632645,0.503418,0.0,0.0,0.0,0.0,0.12294,0.150824,0.242079,0.0,0.0,0.0
7,0.001764,0.013513,0.613255,0.503433,0.0,0.0,0.0,0.0,0.050697,0.072243,0.154626,0.0,0.0,0.0
8,0.001572,0.013512,0.619227,0.503418,0.0,0.0,0.0,0.0,0.070976,0.110266,0.187579,0.0,0.0,0.0
9,0.001558,0.013514,0.621021,0.503418,0.0,0.0,0.0,0.0,0.076046,0.106464,0.173638,0.0,0.0,0.0
10,0.001572,0.013513,0.624617,0.503429,0.0,0.0,0.0,0.0,0.057034,0.081115,0.134347,0.0,0.0,0.0
11,0.001508,0.013516,0.64601,0.503418,0.0,0.0,0.0,0.0,0.106464,0.130545,0.224335,0.0,0.0,0.0
12,0.001328,0.013515,0.646882,0.503418,0.0,0.0,0.0,0.0,0.153359,0.176172,0.277567,0.0,0.0,0.0
13,0.000914,0.013512,0.609023,0.503418,0.0,0.0,0.0,0.0,0.187579,0.210393,0.248416,0.0,0.0,0.0
14,0.000918,0.013514,0.628844,0.503418,0.0,0.0,0.0,0.0,0.191381,0.217997,0.304183,0.0,0.0,0.0
15,0.000937,0.013514,0.627116,0.503418,0.0,0.0,0.0,0.0,0.160963,0.200253,0.292776,0.0,0.0,0.0
16,0.000983,0.013513,0.620344,0.503418,0.0,0.0,0.0,0.0,0.101394,0.124208,0.200253,0.0,0.0,0.0
17,0.001,0.013512,0.608715,0.503418,0.0,0.0,0.0,0.0,0.098859,0.143219,0.188847,0.0,0.0,0.0
18,0.000949,0.013514,0.641829,0.503418,0.0,0.0,0.0,0.0,0.130545,0.159696,0.25602,0.0,0.0,0.0
19,0.000959,0.013513,0.607263,0.503418,0.0,0.0,0.0,0.0,0.114068,0.148289,0.224335,0.0,0.0,0.0
20,0.000951,0.013513,0.624783,0.503418,0.0,0.0,0.0,0.0,0.13815,0.163498,0.263625,0.0,0.0,0.0
21,0.000976,0.013514,0.619497,0.503418,0.0,0.0,0.0,0.0,0.141952,0.176172,0.254753,0.0,0.0,0.0
22,0.001004,0.013512,0.620073,0.503418,0.0,0.0,0.0,0.0,0.08872,0.110266,0.164766,0.0,0.0,0.0
23,0.000959,0.013513,0.628657,0.503418,0.0,0.0,0.0,0.0,0.12294,0.141952,0.2218,0.0,0.0,0.0
24,0.001107,0.013512,0.595044,0.503418,0.0,0.0,0.0,0.0,0.030418,0.059569,0.13815,0.0,0.0,0.0
