epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.097355,0.013213,0.61486,0.506977,0.0,0.0,0.0,0.0,0.011407,0.043093,0.157161,0.0,0.0,0.0
1,0.026469,0.014392,0.713019,0.504878,0.0,0.0,0.0,0.0,0.016477,0.081115,0.281369,0.0,0.0,0.0
2,0.020573,0.014317,0.716045,0.504449,0.0,0.0,0.0,0.0,0.040558,0.117871,0.340938,0.0,0.0,0.0
3,0.014786,0.014307,0.712297,0.504413,0.0,0.0,0.0,0.0,0.036755,0.13308,0.372624,0.0,0.0,0.0
4,0.009678,0.014408,0.71004,0.504534,0.0,0.0,0.0,0.0,0.051965,0.1673,0.416984,0.0,0.0,0.0
5,0.005938,0.014781,0.701384,0.504988,0.0,0.0,0.0,0.0,0.053232,0.193916,0.485425,0.0,0.0,0.0
6,0.003703,0.016319,0.722965,0.506681,0.0,0.0,0.0,0.0,0.097592,0.258555,0.558935,0.0,0.0,0.0
7,0.00262,0.019426,0.738723,0.510143,0.0,0.0,0.0,0.0,0.168568,0.382763,0.640051,0.0,0.0,0.0
8,0.002005,0.023923,0.760177,0.515807,0.0,0.0,0.0,0.0,0.306717,0.520913,0.722433,0.0,0.0,0.0
9,0.001502,0.03048,0.803605,0.522403,0.0,0.0,0.0,0.0,0.489227,0.619772,0.757921,0.0,0.0,0.0
10,0.000859,0.045712,0.84181,0.535248,0.0,0.0,0.0,0.0,0.665399,0.709759,0.752852,0.0,0.0,0.0
11,0.000507,0.06094,0.859417,0.550993,0.0,0.0,0.0,0.0,0.719899,0.754119,0.776933,0.0,0.0,0.0
12,0.000247,0.077561,0.871606,0.566797,0.0,0.0,0.0,0.0,0.751584,0.770596,0.775665,0.0,0.0,0.0
13,0.000102,0.089414,0.874276,0.584209,0.0,0.0,0.0,0.0,0.770596,0.779468,0.779468,0.0,0.0,0.0
14,5.3e-05,0.097141,0.883653,0.601654,0.0,0.0,0.0,0.0,0.775665,0.779468,0.779468,0.0,0.0,0.0
15,2.7e-05,0.106215,0.88056,0.622715,0.0,0.0,0.0,0.0,0.779468,0.779468,0.779468,0.0,0.0,0.0
16,1.3e-05,0.114785,0.879468,0.641345,0.0,0.0,0.0,0.0,0.779468,0.779468,0.779468,0.0,0.0,0.0
17,9e-06,0.118554,0.878401,0.656927,0.0,0.0,0.0,0.0,0.779468,0.779468,0.779468,0.0,0.0,0.0
18,6e-06,0.123054,0.878516,0.670653,0.0,0.0,0.0,0.0,0.779468,0.779468,0.779468,0.0,0.0,0.0
