epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.043619,0.012645,0.528086,0.505155,0.0,0.0,0.0,0.0,0.04943,0.082383,0.179975,0.0,0.0,0.0
1,0.017013,0.013464,0.505902,0.504151,0.0,0.0,0.0,0.0,0.121673,0.207858,0.406844,0.0,0.0,0.0
2,0.013762,0.013607,0.579101,0.503984,0.0,0.0,0.0,0.0,0.062104,0.171103,0.47782,0.0,0.0,0.0
3,0.010237,0.013638,0.602524,0.503994,0.0,0.0,0.0,0.0,0.055767,0.185044,0.508238,0.0,0.0,0.0
4,0.007026,0.013896,0.662134,0.504275,0.0,0.0,0.0,0.0,0.087452,0.235741,0.513308,0.0,0.0,0.0
5,0.004617,0.014751,0.697514,0.505047,0.0,0.0,0.0,0.0,0.089987,0.248416,0.572877,0.0,0.0,0.0
6,0.003118,0.017116,0.732352,0.507356,0.0,0.0,0.0,0.0,0.147022,0.34981,0.674271,0.0,0.0,0.0
7,0.002309,0.020304,0.749937,0.510769,0.0,0.0,0.0,0.0,0.259823,0.460076,0.727503,0.0,0.0,0.0
8,0.001826,0.023895,0.780459,0.515371,0.0,0.0,0.0,0.0,0.386565,0.574144,0.749049,0.0,0.0,0.0
9,0.001299,0.031704,0.813357,0.525637,0.0,0.0,0.0,0.0,0.56147,0.680608,0.776933,0.0,0.0,0.0
10,0.000789,0.043861,0.844212,0.536416,0.0,0.0,0.0,0.0,0.681876,0.742712,0.825095,0.0,0.0,0.0
11,0.000353,0.063931,0.861809,0.554693,0.0,0.0,0.0,0.0,0.742712,0.771863,0.814956,0.0,0.0,0.0
12,0.000155,0.081163,0.866628,0.574076,0.0,0.0,0.0,0.0,0.766793,0.775665,0.812421,0.0,0.0,0.0
13,5.9e-05,0.092551,0.878206,0.593658,0.0,0.0,0.0,0.0,0.776933,0.779468,0.803549,0.0,0.0,0.0
