prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.156,0.962,0.473,25,135,1
0,0.07,0.172,0.962,0.502,25,120,1
0,0.09,0.184,0.962,0.521,25,111,1
0,0.11,0.194,0.962,0.536,25,104,1
0,0.13,0.194,0.923,0.526,24,100,2
0,0.15,0.19,0.885,0.511,23,98,3
0,0.17,0.195,0.885,0.518,23,95,3
0,0.19,0.204,0.885,0.53,23,90,3
0,0.21,0.205,0.885,0.532,23,89,3
0,0.23,0.207,0.885,0.535,23,88,3
0,0.25,0.211,0.885,0.54,23,86,3
0,0.27,0.211,0.885,0.54,23,86,3
0,0.29,0.219,0.885,0.55,23,82,3
0,0.31,0.221,0.885,0.553,23,81,3
0,0.33,0.221,0.885,0.553,23,81,3
0,0.35,0.225,0.885,0.558,23,79,3
0,0.37,0.225,0.885,0.558,23,79,3
0,0.39,0.237,0.885,0.572,23,74,3
0,0.41,0.245,0.885,0.581,23,71,3
0,0.43,0.245,0.885,0.581,23,71,3
0,0.45,0.247,0.885,0.584,23,70,3
0,0.47,0.247,0.885,0.584,23,70,3
0,0.49,0.256,0.885,0.593,23,67,3
0,0.51,0.256,0.885,0.593,23,67,3
0,0.53,0.258,0.885,0.596,23,66,3
0,0.55,0.261,0.885,0.599,23,65,3
0,0.57,0.264,0.885,0.602,23,64,3
0,0.59,0.271,0.885,0.608,23,62,3
0,0.61,0.271,0.885,0.608,23,62,3
0,0.63,0.271,0.885,0.608,23,62,3
0,0.65,0.271,0.885,0.608,23,62,3
0,0.67,0.274,0.885,0.612,23,61,3
0,0.69,0.274,0.885,0.612,23,61,3
0,0.71,0.274,0.885,0.612,23,61,3
0,0.73,0.277,0.885,0.615,23,60,3
0,0.75,0.277,0.885,0.615,23,60,3
0,0.77,0.277,0.885,0.615,23,60,3
0,0.79,0.28,0.885,0.618,23,59,3
0,0.81,0.287,0.885,0.625,23,57,3
0,0.83,0.299,0.885,0.635,23,54,3
0,0.85,0.299,0.885,0.635,23,54,3
0,0.87,0.299,0.885,0.635,23,54,3
0,0.89,0.324,0.885,0.657,23,48,3
0,0.91,0.329,0.885,0.661,23,47,3
0,0.93,0.338,0.885,0.669,23,45,3
1,0.05,0.636,0.808,0.766,21,12,5
1,0.07,0.677,0.808,0.778,21,10,5
1,0.09,0.677,0.808,0.778,21,10,5
1,0.11,0.677,0.808,0.778,21,10,5
1,0.13,0.677,0.808,0.778,21,10,5
1,0.15,0.677,0.808,0.778,21,10,5
1,0.17,0.7,0.808,0.784,21,9,5
1,0.19,0.724,0.808,0.789,21,8,5
1,0.21,0.724,0.808,0.789,21,8,5
1,0.23,0.75,0.808,0.795,21,7,5
1,0.25,0.75,0.808,0.795,21,7,5
1,0.27,0.75,0.808,0.795,21,7,5
1,0.29,0.778,0.808,0.802,21,6,5
1,0.31,0.778,0.808,0.802,21,6,5
1,0.33,0.778,0.808,0.802,21,6,5
1,0.35,0.778,0.808,0.802,21,6,5
1,0.37,0.778,0.808,0.802,21,6,5
1,0.39,0.833,0.769,0.781,20,4,6
1,0.41,0.833,0.769,0.781,20,4,6
1,0.43,0.833,0.769,0.781,20,4,6
1,0.45,0.833,0.769,0.781,20,4,6
1,0.47,0.833,0.769,0.781,20,4,6
1,0.49,0.833,0.769,0.781,20,4,6
1,0.51,0.833,0.769,0.781,20,4,6
1,0.53,0.833,0.769,0.781,20,4,6
1,0.55,0.833,0.769,0.781,20,4,6
1,0.57,0.833,0.769,0.781,20,4,6
1,0.59,0.833,0.769,0.781,20,4,6
1,0.61,0.833,0.769,0.781,20,4,6
1,0.63,0.833,0.769,0.781,20,4,6
1,0.65,0.833,0.769,0.781,20,4,6
1,0.67,0.833,0.769,0.781,20,4,6
1,0.69,0.833,0.769,0.781,20,4,6
1,0.71,0.833,0.769,0.781,20,4,6
1,0.73,0.833,0.769,0.781,20,4,6
1,0.75,0.833,0.769,0.781,20,4,6
1,0.77,0.833,0.769,0.781,20,4,6
1,0.79,0.833,0.769,0.781,20,4,6
1,0.81,0.87,0.769,0.787,20,3,6
1,0.83,0.87,0.769,0.787,20,3,6
1,0.85,0.87,0.769,0.787,20,3,6
1,0.87,0.87,0.769,0.787,20,3,6
1,0.89,0.952,0.769,0.8,20,1,6
1,0.91,0.952,0.769,0.8,20,1,6
1,0.93,0.952,0.769,0.8,20,1,6
2,0.05,0.636,0.808,0.766,21,12,5
2,0.07,0.677,0.808,0.778,21,10,5
2,0.09,0.677,0.808,0.778,21,10,5
2,0.11,0.677,0.808,0.778,21,10,5
2,0.13,0.677,0.808,0.778,21,10,5
2,0.15,0.677,0.808,0.778,21,10,5
2,0.17,0.7,0.808,0.784,21,9,5
2,0.19,0.724,0.808,0.789,21,8,5
2,0.21,0.724,0.808,0.789,21,8,5
2,0.23,0.75,0.808,0.795,21,7,5
2,0.25,0.75,0.808,0.795,21,7,5
2,0.27,0.75,0.808,0.795,21,7,5
2,0.29,0.778,0.808,0.802,21,6,5
2,0.31,0.778,0.808,0.802,21,6,5
2,0.33,0.778,0.808,0.802,21,6,5
2,0.35,0.778,0.808,0.802,21,6,5
2,0.37,0.778,0.808,0.802,21,6,5
2,0.39,0.833,0.769,0.781,20,4,6
2,0.41,0.833,0.769,0.781,20,4,6
2,0.43,0.833,0.769,0.781,20,4,6
2,0.45,0.833,0.769,0.781,20,4,6
2,0.47,0.833,0.769,0.781,20,4,6
2,0.49,0.833,0.769,0.781,20,4,6
2,0.51,0.833,0.769,0.781,20,4,6
2,0.53,0.833,0.769,0.781,20,4,6
2,0.55,0.833,0.769,0.781,20,4,6
2,0.57,0.833,0.769,0.781,20,4,6
2,0.59,0.833,0.769,0.781,20,4,6
2,0.61,0.833,0.769,0.781,20,4,6
