epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.032529,0.012607,0.486957,0.505812,0.0,0.0,0.0,0.0,0.12801,0.178707,0.294043,0.0,0.0,0.0
1,0.007444,0.013779,0.507355,0.504654,0.0,0.0,0.0,0.0,0.185044,0.262357,0.509506,0.0,0.0,0.0
2,0.005716,0.01393,0.593626,0.504583,0.0,0.0,0.0,0.0,0.145754,0.254753,0.505703,0.0,0.0,0.0
3,0.00409,0.014939,0.672105,0.505368,0.0,0.0,0.0,0.0,0.115336,0.269962,0.608365,0.0,0.0,0.0
4,0.002886,0.01771,0.729862,0.507609,0.0,0.0,0.0,0.0,0.13815,0.34981,0.661597,0.0,0.0,0.0
5,0.002185,0.022768,0.75755,0.51188,0.0,0.0,0.0,0.0,0.210393,0.43853,0.713561,0.0,0.0,0.0
6,0.001671,0.028868,0.781339,0.51837,0.0,0.0,0.0,0.0,0.335868,0.589354,0.78834,0.0,0.0,0.0
7,0.001063,0.045597,0.828876,0.531679,0.0,0.0,0.0,0.0,0.542459,0.700887,0.816223,0.0,0.0,0.0
8,0.000615,0.065749,0.852105,0.553051,0.0,0.0,0.0,0.0,0.656527,0.759189,0.850444,0.0,0.0,0.0
9,0.000378,0.083654,0.86357,0.570537,0.0,0.0,0.0,0.0,0.736375,0.773131,0.870722,0.0,0.0,0.0
10,0.00018,0.101545,0.867882,0.594226,0.0,0.0,0.0,0.0,0.766793,0.801014,0.903676,0.0,0.0,0.0
11,0.000104,0.116836,0.864612,0.616515,0.0,0.0,0.0,0.0,0.790875,0.831432,0.897338,0.0,0.0,0.0
12,5e-05,0.126994,0.891579,0.636595,0.0,0.0,0.0,0.0,0.803549,0.840304,0.898606,0.0,0.0,0.0
13,2.2e-05,0.132197,0.876341,0.655002,0.0,0.0,0.0,0.0,0.826362,0.870722,0.934094,0.0,0.0,0.0
14,1e-05,0.135903,0.889434,0.673358,0.0,0.0,0.0,0.0,0.814956,0.865653,0.918885,0.0,0.0,0.0
15,7e-06,0.141746,0.889945,0.688694,0.0,0.0,0.0,0.0,0.809886,0.849176,0.908745,0.0,0.0,0.0
16,2e-06,0.145504,0.888652,0.702577,0.0,0.0,0.0,0.0,0.836502,0.879594,0.926489,0.0,0.0,0.0
17,3e-06,0.146001,0.876564,0.714115,0.0,0.0,0.0,0.0,0.811153,0.845374,0.893536,0.0,0.0,0.0
18,2e-06,0.15304,0.878264,0.723982,0.0,0.0,0.0,0.0,0.812421,0.846641,0.891001,0.0,0.0,0.0
19,2e-06,0.155476,0.879632,0.7335,0.0,0.0,0.0,0.0,0.812421,0.856781,0.91128,0.0,0.0,0.0
20,3e-06,0.157651,0.877158,0.741459,0.0,0.0,0.0,0.0,0.826362,0.86692,0.912548,0.0,0.0,0.0
21,2e-06,0.165617,0.886951,0.74802,0.0,0.0,0.0,0.0,0.825095,0.875792,0.92142,0.0,0.0,0.0
22,5e-06,0.16597,0.88072,0.754841,0.0,0.0,0.0,0.0,0.837769,0.892269,0.941698,0.0,0.0,0.0
