epoch,train_conf_loss,val_conf_loss
0,0.086897,0.0
0,0.074237,0.0
1,0.113696,0.0
2,0.10567,0.0
3,0.09728,0.0
4,0.064605,0.0
5,0.081764,0.0
6,0.069199,0.0
7,0.080703,0.0
8,0.035921,0.0
9,0.054919,0.0
10,0.054026,0.0
11,0.081575,0.0
12,0.086425,0.0
13,0.087468,0.0
14,0.094382,0.0
15,0.112098,0.0
16,0.118029,0.0
17,0.086551,0.0
18,0.127436,0.0
19,0.144578,0.0
20,0.150889,0.0
21,0.153137,0.0
22,0.159815,0.0
23,0.129366,0.0
24,0.143165,0.0
25,0.132521,0.0
26,0.13669,0.0
27,0.13188,0.0
28,0.126034,0.0
29,0.144934,0.0
30,0.109647,0.0
31,0.133411,0.0
32,0.117354,0.0
33,0.144891,0.0
34,0.118689,0.0
35,0.139445,0.0
36,0.138621,0.0
37,0.13074,0.0
38,0.156029,0.0
39,0.151894,0.0
40,0.144001,0.0
41,0.130404,0.0
42,0.149993,0.0
43,0.142007,0.0
44,0.151371,0.0
45,0.147422,0.0
46,0.149793,0.0
47,0.141287,0.0
48,0.163744,0.0
49,0.157335,0.0
0,0.070073,0.0
1,0.107,0.0
2,0.101983,0.0
3,0.07266,0.0
4,0.067,0.0
5,0.071066,0.0
6,0.063848,0.0
7,0.062401,0.0
8,0.069255,0.0
9,0.065531,0.0
10,0.082188,0.0
11,0.074941,0.0
12,0.091143,0.0
13,0.098135,0.0
14,0.119492,0.0
15,0.120268,0.0
16,0.115245,0.0
17,0.117271,0.0
18,0.119358,0.0
