epoch,train_conf_loss,val_conf_loss
0,1.163914,0.0
1,0.505007,0.0
2,0.14213,0.0
3,0.10348,0.0
4,0.092593,0.0
5,0.100497,0.0
6,0.105876,0.0
7,0.098492,0.0
0,0.074171,0.0
1,0.083,0.0
2,0.083185,0.0
3,0.083027,0.0
4,0.085569,0.0
5,0.06212,0.0
6,0.063329,0.0
7,0.070654,0.0
8,0.060571,0.0
9,0.063179,0.0
10,0.059927,0.0
11,0.051755,0.0
12,0.056256,0.0
13,0.052482,0.0
14,0.049142,0.0
15,0.050347,0.0
16,0.049676,0.0
17,0.049275,0.0
18,0.042259,0.0
19,0.04392,0.0
20,0.037354,0.0
21,0.046448,0.0
22,0.040367,0.0
23,0.043047,0.0
24,0.039904,0.0
25,0.039338,0.0
26,0.041498,0.0
27,0.034967,0.0
28,0.04007,0.0
29,0.038245,0.0
