epoch,train_conf_loss,val_conf_loss
0,0.23848,0.0
1,0.214397,0.0
2,0.193565,0.0
3,0.220192,0.0
4,0.219059,0.0
0,0.193157,0.0
1,0.187929,0.0
2,0.22441,0.0
3,0.223334,0.0
4,0.214605,0.0
5,0.213437,0.0
6,0.211035,0.0
7,0.198535,0.0
8,0.215289,0.0
9,0.200329,0.0
10,0.236059,0.0
11,0.210947,0.0
12,0.211965,0.0
13,0.219885,0.0
14,0.210274,0.0
0,0.076551,0.0
1,0.094299,0.0
2,0.113081,0.0
3,0.110719,0.0
4,0.10355,0.0
5,0.098119,0.0
6,0.094559,0.0
7,0.102232,0.0
8,0.099611,0.0
9,0.108082,0.0
10,0.109014,0.0
11,0.111917,0.0
12,0.104707,0.0
13,0.106236,0.0
14,0.102356,0.0
15,0.09556,0.0
16,0.097919,0.0
17,0.101637,0.0
18,0.096799,0.0
19,0.100179,0.0
20,0.09619,0.0
21,0.105857,0.0
22,0.101115,0.0
0,0.615106,0.0
1,0.288536,0.0
2,0.168571,0.0
3,0.176005,0.0
4,0.165453,0.0
5,0.165553,0.0
6,0.151952,0.0
7,0.131633,0.0
8,0.14047,0.0
9,0.13904,0.0
10,0.138054,0.0
11,0.144447,0.0
12,0.159407,0.0
13,0.129386,0.0
14,0.132969,0.0
15,0.145519,0.0
16,0.160775,0.0
17,0.158373,0.0
18,0.137887,0.0
19,0.138208,0.0
20,0.157741,0.0
21,0.164309,0.0
22,0.16654,0.0
23,0.145142,0.0
24,0.166897,0.0
0,0.688541,0.0
1,0.679606,0.0
2,0.661268,0.0
3,0.626485,0.0
4,0.581204,0.0
5,0.513905,0.0
6,0.428434,0.0
7,0.354432,0.0
8,0.316834,0.0
9,0.290545,0.0
10,0.266261,0.0
11,0.251315,0.0
12,0.235616,0.0
13,0.22529,0.0
14,0.219396,0.0
15,0.212016,0.0
16,0.204694,0.0
17,0.201971,0.0
18,0.19818,0.0
19,0.196685,0.0
20,0.196058,0.0
21,0.192164,0.0
22,0.189345,0.0
23,0.186124,0.0
24,0.188215,0.0
25,0.185913,0.0
26,0.187864,0.0
27,0.184001,0.0
28,0.186743,0.0
29,0.187249,0.0
30,0.183658,0.0
31,0.183085,0.0
32,0.185212,0.0
33,0.183018,0.0
34,0.183177,0.0
35,0.18227,0.0
36,0.184687,0.0
37,0.183626,0.0
38,0.180046,0.0
39,0.180852,0.0
40,0.177785,0.0
41,0.179397,0.0
42,0.178946,0.0
43,0.180142,0.0
44,0.177963,0.0
45,0.181548,0.0
46,0.181681,0.0
47,0.178629,0.0
0,0.449851,0.0
1,0.131666,0.0
2,0.123877,0.0
3,0.107197,0.0
0,0.103228,0.0
1,0.110332,0.0
2,0.104278,0.0
3,0.10492,0.0
4,0.105769,0.0
5,0.098392,0.0
6,0.096464,0.0
7,0.083151,0.0
8,0.085539,0.0
9,0.085018,0.0
10,0.083148,0.0
11,0.072835,0.0
12,0.071563,0.0
13,0.079404,0.0
14,0.06695,0.0
15,0.062452,0.0
16,0.068858,0.0
17,0.061134,0.0
18,0.056657,0.0
19,0.060376,0.0
20,0.064831,0.0
0,0.664067,0.0
1,0.208116,0.0
2,0.220847,0.0
3,0.193929,0.0
4,0.170393,0.0
5,0.179597,0.0
6,0.188437,0.0
7,0.1906,0.0
8,0.159796,0.0
9,0.157,0.0
