epoch,train_conf_loss,train_dice,val_conf_loss,val_dice,train_top1,train_top5,train_top10,train_top50,val_top1,val_top5,val_top10,val_top50
0,0.498445,0.03788,0.0,0.0,0.002083,0.00625,0.010417,0.04375,0.0,0.0,0.0,0.0
1,0.232728,0.037486,0.0,0.0,0.002083,0.004167,0.0125,0.052083,0.0,0.0,0.0,0.0
2,0.131362,0.034855,0.0,0.0,0.008333,0.0125,0.035417,0.085417,0.0,0.0,0.0,0.0
3,0.106202,0.034428,0.0,0.0,0.010417,0.022917,0.045833,0.1375,0.0,0.0,0.0,0.0
4,0.096323,0.033973,0.0,0.0,0.010417,0.027083,0.045833,0.139583,0.0,0.0,0.0,0.0
5,0.089698,0.037847,0.0,0.0,0.016667,0.041667,0.072917,0.185417,0.0,0.0,0.0,0.0
6,0.08509,0.051129,0.0,0.0,0.014583,0.060417,0.114583,0.25625,0.0,0.0,0.0,0.0
7,0.083131,0.059994,0.0,0.0,0.029167,0.08125,0.122917,0.3,0.0,0.0,0.0,0.0
8,0.081826,0.068875,0.0,0.0,0.020833,0.079167,0.133333,0.35,0.0,0.0,0.0,0.0
9,0.077089,0.074012,0.0,0.0,0.020833,0.097917,0.166667,0.379167,0.0,0.0,0.0,0.0
