epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top1,train_top5,train_top10,train_top50,val_top1,val_top5,val_top10,val_top50
0,0.086814,0.085334,0.644317,0.0,0.0,0.0,0.025,0.108333,0.16875,0.390625,0.0,0.0,0.0,0.0
1,0.085802,0.085782,0.65337,0.0,0.0,0.0,0.033333,0.10625,0.182292,0.4125,0.0,0.0,0.0,0.0
2,0.083067,0.095557,0.670782,0.0,0.0,0.0,0.038542,0.128125,0.19375,0.444792,0.0,0.0,0.0,0.0
3,0.079814,0.10565,0.683125,0.0,0.0,0.0,0.040625,0.151042,0.23125,0.465625,0.0,0.0,0.0,0.0
4,0.076782,0.11367,0.694647,0.0,0.0,0.0,0.048958,0.160417,0.252083,0.496875,0.0,0.0,0.0,0.0
5,0.072019,0.128256,0.711773,0.0,0.0,0.0,0.036458,0.182292,0.28125,0.55,0.0,0.0,0.0,0.0
6,0.07012,0.140142,0.725861,0.0,0.0,0.0,0.053125,0.201042,0.31875,0.578125,0.0,0.0,0.0,0.0
7,0.066979,0.147682,0.731516,0.0,0.0,0.0,0.061458,0.225,0.334375,0.596875,0.0,0.0,0.0,0.0
8,0.065352,0.153843,0.738954,0.0,0.0,0.0,0.073958,0.232292,0.361458,0.611458,0.0,0.0,0.0,0.0
9,0.064568,0.15794,0.742373,0.0,0.0,0.0,0.071875,0.233333,0.371875,0.616667,0.0,0.0,0.0,0.0
