epoch,train_conf_loss,train_dice,train_topk,val_conf_loss,val_dice,val_topk
0,0.600945,0.041099,0.011719,0.0,0.0,0.0
1,0.358034,0.039632,0.089844,0.0,0.0,0.0
2,0.20163,0.036019,0.199219,0.0,0.0,0.0
3,0.140984,0.031654,0.125,0.0,0.0,0.0
4,0.122372,0.028311,0.003906,0.0,0.0,0.0
5,0.117759,0.027892,0.003906,0.0,0.0,0.0
6,0.116614,0.027281,0.0,0.0,0.0,0.0
7,0.113641,0.026336,0.007812,0.0,0.0,0.0
8,0.114766,0.026991,0.007812,0.0,0.0,0.0
9,0.115023,0.026236,0.003906,0.0,0.0,0.0
0,0.503207,0.039008,0.0,0.0,0.0,0.0
1,0.429402,0.040711,0.007812,0.0,0.0,0.0
2,0.374179,0.040149,0.015625,0.0,0.0,0.0
3,0.32946,0.040977,0.046875,0.0,0.0,0.0
4,0.296968,0.042702,0.019531,0.0,0.0,0.0
5,0.271266,0.039918,0.042969,0.0,0.0,0.0
6,0.255876,0.039663,0.023438,0.0,0.0,0.0
7,0.247015,0.040753,0.027344,0.0,0.0,0.0
8,0.24268,0.042136,0.0625,0.0,0.0,0.0
9,0.241197,0.042129,0.035156,0.0,0.0,0.0
0,0.415322,0.04046,0.016026,0.0,0.0,0.0
1,0.241271,0.039946,0.032051,0.0,0.0,0.0
2,0.144404,0.037473,0.012821,0.0,0.0,0.0
3,0.112823,0.038814,0.028846,0.0,0.0,0.0
4,0.100405,0.046532,0.057692,0.0,0.0,0.0
5,0.091127,0.066987,0.083333,0.0,0.0,0.0
6,0.085381,0.08082,0.108974,0.0,0.0,0.0
7,0.080355,0.097943,0.128205,0.0,0.0,0.0
8,0.076408,0.111032,0.160256,0.0,0.0,0.0
9,0.07515,0.115549,0.173077,0.0,0.0,0.0
