epoch,train_conf_loss,val_conf_loss
0,0.71102,0.0
1,0.180213,0.0
2,0.158027,0.0
3,0.150215,0.0
4,0.156376,0.0
5,0.138089,0.0
6,0.126035,0.0
7,0.126365,0.0
8,0.130265,0.0
9,0.123081,0.0
0,0.141924,0.0
0,0.691295,0.0
1,0.19429,0.0
2,0.178162,0.0
3,0.158412,0.0
4,0.158837,0.0
5,0.131903,0.0
6,0.12327,0.0
7,0.108139,0.0
8,0.107136,0.0
9,0.116661,0.0
0,1.159166,0.0
1,0.766982,0.0
2,0.483387,0.0
3,0.372856,0.0
4,0.348966,0.0
0,1.261893,0.0
1,0.724587,0.0
2,0.446618,0.0
3,0.373404,0.0
4,0.35402,0.0
0,1.193419,0.0
1,0.732349,0.0
2,0.38464,0.0
0,1.082046,0.0
1,0.447281,0.0
2,0.279038,0.0
3,0.235201,0.0
4,0.215412,0.0
5,0.208455,0.0
0,1.279085,0.0
1,0.713509,0.0
2,0.349883,0.0
3,0.248492,0.0
4,0.196855,0.0
5,0.169113,0.0
6,0.154568,0.0
7,0.147909,0.0
8,0.145359,0.0
9,0.144435,0.0
10,0.143893,0.0
11,0.14368,0.0
0,0.844842,0.0
1,0.153695,0.0
2,0.141238,0.0
3,0.128245,0.0
4,0.111067,0.0
5,0.111373,0.0
6,0.112011,0.0
7,0.099203,0.0
8,0.105429,0.0
0,0.097155,0.0
1,0.099327,0.0
2,0.096964,0.0
3,0.086949,0.0
4,0.086978,0.0
5,0.086512,0.0
6,0.084171,0.0
7,0.092976,0.0
8,0.093071,0.0
9,0.092433,0.0
