epoch,train_conf_loss,val_conf_loss
0,0.057846,0.049957
1,0.065466,0.045511
2,0.079767,0.072668
3,0.085137,0.079059
4,0.085701,0.084735
5,0.081515,0.064859
6,0.082862,0.077476
7,0.083567,0.075527
8,0.083584,0.072736
0,0.055286,0.04999
1,0.059467,0.040842
2,0.063975,0.049765
3,0.069376,0.050398
4,0.075668,0.060923
5,0.086177,0.085358
6,0.097326,0.091547
7,0.090759,0.087533
8,0.088343,0.087149
9,0.090725,0.078044
0,3.741525,2.701931
1,1.201463,0.409756
2,0.290515,0.206941
3,0.203815,0.199067
4,0.170994,0.196019
5,0.15603,0.180893
6,0.141952,0.171931
7,0.132985,0.132403
8,0.129827,0.079189
9,0.123539,0.134528
10,0.103607,0.077313
11,0.102095,0.108253
12,0.099971,0.100605
13,0.095523,0.096005
