epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.182987,0.053554,0.6015,0.0,0.0,0.0,0.171875,0.407552,0.692708,0.0,0.0,0.0
1,0.184283,0.049729,0.583401,0.0,0.0,0.0,0.183594,0.384115,0.674479,0.0,0.0,0.0
2,0.182824,0.048561,0.586368,0.0,0.0,0.0,0.152344,0.390625,0.683594,0.0,0.0,0.0
3,0.17791,0.050553,0.602031,0.0,0.0,0.0,0.164062,0.41276,0.699219,0.0,0.0,0.0
4,0.175265,0.048352,0.585958,0.0,0.0,0.0,0.144531,0.373698,0.667969,0.0,0.0,0.0
5,0.176863,0.056451,0.615495,0.0,0.0,0.0,0.196615,0.43099,0.686198,0.0,0.0,0.0
6,0.179002,0.060142,0.63586,0.0,0.0,0.0,0.204427,0.454427,0.72526,0.0,0.0,0.0
7,0.176073,0.062508,0.646768,0.0,0.0,0.0,0.204427,0.472656,0.722656,0.0,0.0,0.0
8,0.179863,0.064357,0.647196,0.0,0.0,0.0,0.226562,0.476562,0.713542,0.0,0.0,0.0
9,0.179186,0.06385,0.643982,0.0,0.0,0.0,0.242188,0.458333,0.717448,0.0,0.0,0.0
