prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.182,1.0,0.526,10,45,0
0,0.07,0.231,0.9,0.57,9,30,1
0,0.09,0.273,0.9,0.616,9,24,1
0,0.11,0.276,0.8,0.58,8,21,2
0,0.13,0.296,0.8,0.597,8,19,2
0,0.15,0.333,0.8,0.625,8,16,2
0,0.17,0.364,0.8,0.645,8,14,2
0,0.19,0.4,0.8,0.667,8,12,2
0,0.21,0.471,0.8,0.702,8,9,2
0,0.23,0.5,0.8,0.714,8,8,2
0,0.25,0.5,0.8,0.714,8,8,2
0,0.27,0.5,0.7,0.648,7,7,3
0,0.29,0.538,0.7,0.66,7,6,3
0,0.31,0.545,0.6,0.588,6,5,4
0,0.33,0.545,0.6,0.588,6,5,4
0,0.35,0.6,0.6,0.6,6,4,4
0,0.37,0.6,0.6,0.6,6,4,4
0,0.39,0.6,0.6,0.6,6,4,4
0,0.41,0.6,0.6,0.6,6,4,4
0,0.43,0.6,0.6,0.6,6,4,4
0,0.45,0.6,0.6,0.6,6,4,4
0,0.47,0.6,0.6,0.6,6,4,4
0,0.49,0.667,0.6,0.612,6,3,4
0,0.51,0.667,0.6,0.612,6,3,4
0,0.53,0.75,0.6,0.625,6,2,4
0,0.55,0.75,0.6,0.625,6,2,4
0,0.57,0.75,0.6,0.625,6,2,4
0,0.59,0.75,0.6,0.625,6,2,4
0,0.61,0.75,0.6,0.625,6,2,4
0,0.63,0.714,0.5,0.532,5,2,5
0,0.65,0.714,0.5,0.532,5,2,5
0,0.67,0.714,0.5,0.532,5,2,5
0,0.69,0.714,0.5,0.532,5,2,5
0,0.71,0.833,0.5,0.543,5,1,5
0,0.73,0.833,0.5,0.543,5,1,5
0,0.75,0.8,0.4,0.444,4,1,6
0,0.77,0.8,0.4,0.444,4,1,6
0,0.79,0.8,0.4,0.444,4,1,6
0,0.81,1.0,0.4,0.455,4,0,6
0,0.83,1.0,0.3,0.349,3,0,7
0,0.85,1.0,0.3,0.349,3,0,7
0,0.87,1.0,0.3,0.349,3,0,7
0,0.89,1.0,0.3,0.349,3,0,7
0,0.91,1.0,0.2,0.238,2,0,8
0,0.93,1.0,0.2,0.238,2,0,8
1,0.05,0.238,1.0,0.61,10,32,0
1,0.07,0.29,0.9,0.634,9,22,1
1,0.09,0.346,0.9,0.682,9,17,1
1,0.11,0.348,0.8,0.635,8,15,2
1,0.13,0.381,0.8,0.656,8,13,2
1,0.15,0.4,0.8,0.667,8,12,2
1,0.17,0.421,0.8,0.678,8,11,2
1,0.19,0.444,0.8,0.69,8,10,2
1,0.21,0.533,0.8,0.727,8,7,2
1,0.23,0.571,0.8,0.741,8,6,2
1,0.25,0.571,0.8,0.741,8,6,2
1,0.27,0.538,0.7,0.66,7,6,3
1,0.29,0.583,0.7,0.673,7,5,3
1,0.31,0.6,0.6,0.6,6,4,4
1,0.33,0.6,0.6,0.6,6,4,4
1,0.35,0.667,0.6,0.612,6,3,4
1,0.37,0.667,0.6,0.612,6,3,4
1,0.39,0.667,0.6,0.612,6,3,4
1,0.41,0.667,0.6,0.612,6,3,4
1,0.43,0.667,0.6,0.612,6,3,4
1,0.45,0.667,0.6,0.612,6,3,4
1,0.47,0.667,0.6,0.612,6,3,4
1,0.49,0.75,0.6,0.625,6,2,4
1,0.51,0.75,0.6,0.625,6,2,4
1,0.53,0.857,0.6,0.638,6,1,4
1,0.55,0.857,0.6,0.638,6,1,4
1,0.57,0.857,0.6,0.638,6,1,4
1,0.59,0.857,0.6,0.638,6,1,4
1,0.61,0.857,0.6,0.638,6,1,4
1,0.63,0.833,0.5,0.543,5,1,5
1,0.65,0.833,0.5,0.543,5,1,5
1,0.67,0.833,0.5,0.543,5,1,5
1,0.69,0.833,0.5,0.543,5,1,5
1,0.71,1.0,0.5,0.556,5,0,5
1,0.73,1.0,0.5,0.556,5,0,5
1,0.75,1.0,0.4,0.455,4,0,6
1,0.77,1.0,0.4,0.455,4,0,6
1,0.79,1.0,0.4,0.455,4,0,6
1,0.81,1.0,0.4,0.455,4,0,6
1,0.83,1.0,0.3,0.349,3,0,7
1,0.85,1.0,0.3,0.349,3,0,7
1,0.87,1.0,0.3,0.349,3,0,7
1,0.89,1.0,0.3,0.349,3,0,7
1,0.91,1.0,0.2,0.238,2,0,8
1,0.93,1.0,0.2,0.238,2,0,8
2,0.05,0.238,1.0,0.61,10,32,0
2,0.07,0.29,0.9,0.634,9,22,1
2,0.09,0.346,0.9,0.682,9,17,1
2,0.11,0.348,0.8,0.635,8,15,2
2,0.13,0.381,0.8,0.656,8,13,2
2,0.15,0.4,0.8,0.667,8,12,2
2,0.17,0.421,0.8,0.678,8,11,2
2,0.19,0.444,0.8,0.69,8,10,2
2,0.21,0.533,0.8,0.727,8,7,2
2,0.23,0.571,0.8,0.741,8,6,2
2,0.25,0.571,0.8,0.741,8,6,2
2,0.27,0.538,0.7,0.66,7,6,3
2,0.29,0.583,0.7,0.673,7,5,3
2,0.31,0.6,0.6,0.6,6,4,4
2,0.33,0.6,0.6,0.6,6,4,4
2,0.35,0.667,0.6,0.612,6,3,4
2,0.37,0.667,0.6,0.612,6,3,4
2,0.39,0.667,0.6,0.612,6,3,4
2,0.41,0.667,0.6,0.612,6,3,4
2,0.43,0.667,0.6,0.612,6,3,4
2,0.45,0.667,0.6,0.612,6,3,4
2,0.47,0.667,0.6,0.612,6,3,4
2,0.49,0.75,0.6,0.625,6,2,4
2,0.51,0.75,0.6,0.625,6,2,4
2,0.53,0.857,0.6,0.638,6,1,4
2,0.55,0.857,0.6,0.638,6,1,4
2,0.57,0.857,0.6,0.638,6,1,4
2,0.59,0.857,0.6,0.638,6,1,4
2,0.61,0.857,0.6,0.638,6,1,4
2,0.63,0.833,0.5,0.543,5,1,5
2,0.65,0.833,0.5,0.543,5,1,5
2,0.67,0.833,0.5,0.543,5,1,5
2,0.69,0.833,0.5,0.543,5,1,5
2,0.71,1.0,0.5,0.556,5,0,5
2,0.73,1.0,0.5,0.556,5,0,5
2,0.75,1.0,0.4,0.455,4,0,6
2,0.77,1.0,0.4,0.455,4,0,6
2,0.79,1.0,0.4,0.455,4,0,6
2,0.81,1.0,0.4,0.455,4,0,6
2,0.83,1.0,0.3,0.349,3,0,7
2,0.85,1.0,0.3,0.349,3,0,7
2,0.87,1.0,0.3,0.349,3,0,7
2,0.89,1.0,0.3,0.349,3,0,7
2,0.91,1.0,0.2,0.238,2,0,8
2,0.93,1.0,0.2,0.238,2,0,8
3,0.05,0.244,1.0,0.617,10,31,0
3,0.07,0.29,0.9,0.634,9,22,1
3,0.09,0.346,0.9,0.682,9,17,1
3,0.11,0.348,0.8,0.635,8,15,2
3,0.13,0.381,0.8,0.656,8,13,2
3,0.15,0.4,0.8,0.667,8,12,2
3,0.17,0.421,0.8,0.678,8,11,2
3,0.19,0.444,0.8,0.69,8,10,2
3,0.21,0.533,0.8,0.727,8,7,2
3,0.23,0.571,0.8,0.741,8,6,2
3,0.25,0.571,0.8,0.741,8,6,2
3,0.27,0.538,0.7,0.66,7,6,3
3,0.29,0.583,0.7,0.673,7,5,3
3,0.31,0.6,0.6,0.6,6,4,4
3,0.33,0.6,0.6,0.6,6,4,4
3,0.35,0.667,0.6,0.612,6,3,4
3,0.37,0.667,0.6,0.612,6,3,4
3,0.39,0.667,0.6,0.612,6,3,4
3,0.41,0.667,0.6,0.612,6,3,4
3,0.43,0.667,0.6,0.612,6,3,4
3,0.45,0.667,0.6,0.612,6,3,4
3,0.47,0.667,0.6,0.612,6,3,4
3,0.49,0.75,0.6,0.625,6,2,4
3,0.51,0.75,0.6,0.625,6,2,4
3,0.53,0.857,0.6,0.638,6,1,4
3,0.55,0.857,0.6,0.638,6,1,4
3,0.57,0.857,0.6,0.638,6,1,4
3,0.59,0.857,0.6,0.638,6,1,4
3,0.61,0.857,0.6,0.638,6,1,4
3,0.63,0.833,0.5,0.543,5,1,5
3,0.65,0.833,0.5,0.543,5,1,5
3,0.67,0.833,0.5,0.543,5,1,5
3,0.69,0.833,0.5,0.543,5,1,5
3,0.71,1.0,0.5,0.556,5,0,5
3,0.73,1.0,0.5,0.556,5,0,5
3,0.75,1.0,0.4,0.455,4,0,6
3,0.77,1.0,0.4,0.455,4,0,6
3,0.79,1.0,0.4,0.455,4,0,6
3,0.81,1.0,0.4,0.455,4,0,6
3,0.83,1.0,0.3,0.349,3,0,7
3,0.85,1.0,0.3,0.349,3,0,7
3,0.87,1.0,0.3,0.349,3,0,7
3,0.89,1.0,0.3,0.349,3,0,7
3,0.91,1.0,0.2,0.238,2,0,8
3,0.93,1.0,0.2,0.238,2,0,8
4,0.05,0.244,1.0,0.617,10,31,0
4,0.07,0.29,0.9,0.634,9,22,1
4,0.09,0.346,0.9,0.682,9,17,1
4,0.11,0.348,0.8,0.635,8,15,2
4,0.13,0.381,0.8,0.656,8,13,2
4,0.15,0.4,0.8,0.667,8,12,2
4,0.17,0.421,0.8,0.678,8,11,2
4,0.19,0.444,0.8,0.69,8,10,2
4,0.21,0.533,0.8,0.727,8,7,2
4,0.23,0.571,0.8,0.741,8,6,2
4,0.25,0.571,0.8,0.741,8,6,2
4,0.27,0.538,0.7,0.66,7,6,3
4,0.29,0.583,0.7,0.673,7,5,3
4,0.31,0.6,0.6,0.6,6,4,4
4,0.33,0.6,0.6,0.6,6,4,4
4,0.35,0.667,0.6,0.612,6,3,4
4,0.37,0.667,0.6,0.612,6,3,4
4,0.39,0.667,0.6,0.612,6,3,4
4,0.41,0.667,0.6,0.612,6,3,4
4,0.43,0.667,0.6,0.612,6,3,4
4,0.45,0.667,0.6,0.612,6,3,4
4,0.47,0.667,0.6,0.612,6,3,4
4,0.49,0.75,0.6,0.625,6,2,4
4,0.51,0.75,0.6,0.625,6,2,4
4,0.53,0.857,0.6,0.638,6,1,4
4,0.55,0.857,0.6,0.638,6,1,4
4,0.57,0.857,0.6,0.638,6,1,4
4,0.59,0.857,0.6,0.638,6,1,4
4,0.61,0.857,0.6,0.638,6,1,4
4,0.63,0.833,0.5,0.543,5,1,5
4,0.65,0.833,0.5,0.543,5,1,5
