epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.04346,0.004321,0.504531,0.506222,0.0,0.0,0.0,0.0,0.0,0.005425,0.057866,0.0,0.0,0.0
1,0.002413,0.00468,0.478855,0.50496,0.0,0.0,0.0,0.0,0.0,0.01085,0.224231,0.0,0.0,0.0
2,0.001602,0.004783,0.4953,0.5046,0.0,0.0,0.0,0.0,0.003617,0.047016,0.426763,0.0,0.0,0.0
3,0.001031,0.004973,0.58164,0.505108,0.0,0.0,0.0,0.0,0.016275,0.074141,0.484629,0.0,0.0,0.0
4,0.000744,0.005689,0.652469,0.507325,0.0,0.0,0.0,0.0,0.028933,0.157324,0.663653,0.0,0.0,0.0
5,0.000644,0.006617,0.678811,0.510565,0.0,0.0,0.0,0.0,0.075949,0.278481,0.696203,0.0,0.0,0.0
6,0.000594,0.007296,0.696065,0.514375,0.0,0.0,0.0,0.0,0.159132,0.372514,0.777577,0.0,0.0,0.0
7,0.000527,0.008191,0.706378,0.518038,0.0,0.0,0.0,0.0,0.262206,0.484629,0.858951,0.0,0.0,0.0
8,0.00045,0.010172,0.747306,0.530877,0.0,0.0,0.0,0.0,0.41953,0.636528,0.905967,0.0,0.0,0.0
9,0.000427,0.010607,0.765403,0.536776,0.0,0.0,0.0,0.0,0.490054,0.688969,0.927667,0.0,0.0,0.0
10,0.000392,0.013215,0.777977,0.551115,0.0,0.0,0.0,0.0,0.556962,0.748644,0.94575,0.0,0.0,0.0
11,0.000365,0.015572,0.794586,0.571121,0.0,0.0,0.0,0.0,0.660036,0.822785,0.965642,0.0,0.0,0.0
12,0.000271,0.019533,0.805059,0.603826,0.0,0.0,0.0,0.0,0.74141,0.857143,0.974684,0.0,0.0,0.0
13,0.000225,0.024507,0.816908,0.630649,0.0,0.0,0.0,0.0,0.833635,0.909584,0.990958,0.0,0.0,0.0
14,0.000166,0.031577,0.835999,0.682512,0.0,0.0,0.0,0.0,0.904159,0.951175,0.990958,0.0,0.0,0.0
15,0.000114,0.038906,0.849442,0.728987,0.0,0.0,0.0,0.0,0.947559,0.976492,0.994575,0.0,0.0,0.0
16,6.6e-05,0.046901,0.859718,0.775457,0.0,0.0,0.0,0.0,0.971067,0.983725,0.998192,0.0,0.0,0.0
17,2.7e-05,0.055006,0.859423,0.815434,0.0,0.0,0.0,0.0,0.992767,0.996383,0.998192,0.0,0.0,0.0
18,8e-06,0.061294,0.853202,0.840462,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
19,0.0,0.06624,0.865315,0.854043,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,0.0,0.070079,0.861487,0.860308,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
21,0.0,0.072623,0.868461,0.863754,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
22,0.0,0.075158,0.888284,0.86629,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
