epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.043142,0.013445,0.519692,0.50625,0.0,0.0,0.0,0.0,0.0,0.005425,0.063291,0.0,0.0,0.0
1,0.002388,0.01419,0.485297,0.504977,0.0,0.0,0.0,0.0,0.0,0.016275,0.245931,0.0,0.0,0.0
2,0.001585,0.014331,0.520579,0.504673,0.0,0.0,0.0,0.0,0.01085,0.110307,0.475588,0.0,0.0,0.0
3,0.001023,0.014412,0.603755,0.505016,0.0,0.0,0.0,0.0,0.016275,0.090416,0.540687,0.0,0.0,0.0
4,0.000738,0.016162,0.645604,0.507558,0.0,0.0,0.0,0.0,0.034358,0.168174,0.65642,0.0,0.0,0.0
5,0.000644,0.017053,0.671944,0.509991,0.0,0.0,0.0,0.0,0.063291,0.24774,0.703436,0.0,0.0,0.0
6,0.000579,0.019361,0.688138,0.513865,0.0,0.0,0.0,0.0,0.135624,0.383363,0.815552,0.0,0.0,0.0
7,0.000527,0.020305,0.703012,0.519635,0.0,0.0,0.0,0.0,0.229656,0.488246,0.862568,0.0,0.0,0.0
8,0.000457,0.021714,0.740485,0.528737,0.0,0.0,0.0,0.0,0.388788,0.594937,0.891501,0.0,0.0,0.0
9,0.000415,0.020832,0.762225,0.539321,0.0,0.0,0.0,0.0,0.479204,0.707052,0.929476,0.0,0.0,0.0
10,0.000364,0.022095,0.788387,0.551587,0.0,0.0,0.0,0.0,0.616637,0.772152,0.951175,0.0,0.0,0.0
11,0.000315,0.022546,0.799237,0.578525,0.0,0.0,0.0,0.0,0.688969,0.824593,0.976492,0.0,0.0,0.0
12,0.000281,0.022791,0.806965,0.607837,0.0,0.0,0.0,0.0,0.77396,0.864376,0.962025,0.0,0.0,0.0
13,0.000225,0.025403,0.827384,0.646165,0.0,0.0,0.0,0.0,0.84991,0.918626,0.985533,0.0,0.0,0.0
14,0.00016,0.028373,0.841271,0.694724,0.0,0.0,0.0,0.0,0.911392,0.963834,0.987342,0.0,0.0,0.0
15,0.000108,0.031392,0.851305,0.744801,0.0,0.0,0.0,0.0,0.949367,0.980108,0.994575,0.0,0.0,0.0
16,5.5e-05,0.033492,0.856592,0.788475,0.0,0.0,0.0,0.0,0.976492,0.990958,0.994575,0.0,0.0,0.0
17,2.5e-05,0.035408,0.864762,0.823217,0.0,0.0,0.0,0.0,0.992767,0.992767,0.996383,0.0,0.0,0.0
18,6e-06,0.036765,0.866798,0.844828,0.0,0.0,0.0,0.0,0.998192,1.0,1.0,0.0,0.0,0.0
19,1e-06,0.037606,0.874881,0.854432,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,1e-06,0.038392,0.866283,0.861106,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
21,0.0,0.038975,0.872702,0.864536,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
22,0.0,0.039433,0.882902,0.866796,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
23,0.0,0.039803,0.89101,0.868358,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
24,0.0,0.040121,0.89779,0.869505,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
25,0.0,0.040406,0.899475,0.870396,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
26,0.0,0.040665,0.900316,0.871104,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
27,0.0,0.040882,0.900502,0.871572,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
