prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.019,1.0,0.086,10,530,0
0,0.07,0.025,0.9,0.112,9,354,1
0,0.09,0.033,0.9,0.144,9,264,1
0,0.11,0.042,0.9,0.178,9,204,1
0,0.13,0.052,0.9,0.21,9,165,1
0,0.15,0.062,0.9,0.245,9,135,1
0,0.17,0.07,0.9,0.268,9,119,1
0,0.19,0.082,0.9,0.3,9,101,1
0,0.21,0.091,0.9,0.324,9,90,1
0,0.23,0.101,0.9,0.349,9,80,1
0,0.25,0.108,0.9,0.366,9,74,1
0,0.27,0.115,0.9,0.381,9,69,1
0,0.29,0.13,0.9,0.413,9,60,1
0,0.31,0.133,0.8,0.4,8,52,2
0,0.33,0.14,0.8,0.412,8,49,2
0,0.35,0.154,0.8,0.435,8,44,2
0,0.37,0.186,0.8,0.482,8,35,2
0,0.39,0.186,0.8,0.482,8,35,2
0,0.41,0.195,0.8,0.494,8,33,2
0,0.43,0.205,0.8,0.506,8,31,2
0,0.45,0.222,0.8,0.526,8,28,2
0,0.47,0.235,0.8,0.541,8,26,2
0,0.49,0.258,0.8,0.563,8,23,2
0,0.51,0.276,0.8,0.58,8,21,2
0,0.53,0.296,0.8,0.597,8,19,2
0,0.55,0.308,0.8,0.606,8,18,2
0,0.57,0.32,0.8,0.615,8,17,2
0,0.59,0.348,0.8,0.635,8,15,2
0,0.61,0.364,0.8,0.645,8,14,2
0,0.63,0.444,0.8,0.69,8,10,2
0,0.65,0.471,0.8,0.702,8,9,2
0,0.67,0.5,0.8,0.714,8,8,2
0,0.69,0.5,0.8,0.714,8,8,2
0,0.71,0.667,0.8,0.769,8,4,2
0,0.73,0.667,0.8,0.769,8,4,2
0,0.75,0.727,0.8,0.784,8,3,2
0,0.77,0.7,0.7,0.7,7,3,3
0,0.79,0.667,0.6,0.612,6,3,4
0,0.81,0.714,0.5,0.532,5,2,5
0,0.83,0.833,0.5,0.543,5,1,5
0,0.85,1.0,0.5,0.556,5,0,5
0,0.87,1.0,0.3,0.349,3,0,7
0,0.89,1.0,0.3,0.349,3,0,7
0,0.91,1.0,0.3,0.349,3,0,7
0,0.93,1.0,0.3,0.349,3,0,7
1,0.05,0.115,1.0,0.394,10,77,0
1,0.07,0.155,0.9,0.459,9,49,1
1,0.09,0.18,0.9,0.5,9,41,1
1,0.11,0.205,0.9,0.536,9,35,1
1,0.13,0.243,0.9,0.584,9,28,1
1,0.15,0.29,0.9,0.634,9,22,1
1,0.17,0.333,0.9,0.672,9,18,1
1,0.19,0.36,0.9,0.692,9,16,1
1,0.21,0.429,0.9,0.738,9,12,1
1,0.23,0.474,0.9,0.763,9,10,1
1,0.25,0.5,0.9,0.776,9,9,1
1,0.27,0.5,0.9,0.776,9,9,1
1,0.29,0.5,0.9,0.776,9,9,1
1,0.31,0.471,0.8,0.702,8,9,2
1,0.33,0.471,0.8,0.702,8,9,2
1,0.35,0.471,0.8,0.702,8,9,2
1,0.37,0.533,0.8,0.727,8,7,2
1,0.39,0.533,0.8,0.727,8,7,2
1,0.41,0.533,0.8,0.727,8,7,2
1,0.43,0.533,0.8,0.727,8,7,2
1,0.45,0.533,0.8,0.727,8,7,2
1,0.47,0.533,0.8,0.727,8,7,2
1,0.49,0.571,0.8,0.741,8,6,2
1,0.51,0.615,0.8,0.755,8,5,2
1,0.53,0.667,0.8,0.769,8,4,2
1,0.55,0.667,0.8,0.769,8,4,2
1,0.57,0.727,0.8,0.784,8,3,2
1,0.59,0.727,0.8,0.784,8,3,2
1,0.61,0.8,0.8,0.8,8,2,2
1,0.63,0.889,0.8,0.816,8,1,2
1,0.65,0.889,0.8,0.816,8,1,2
1,0.67,0.889,0.8,0.816,8,1,2
1,0.69,0.889,0.8,0.816,8,1,2
1,0.71,0.889,0.8,0.816,8,1,2
1,0.73,0.889,0.8,0.816,8,1,2
1,0.75,0.889,0.8,0.816,8,1,2
1,0.77,0.875,0.7,0.729,7,1,3
1,0.79,0.857,0.6,0.638,6,1,4
1,0.81,0.833,0.5,0.543,5,1,5
1,0.83,1.0,0.5,0.556,5,0,5
1,0.85,1.0,0.5,0.556,5,0,5
1,0.87,1.0,0.3,0.349,3,0,7
1,0.89,1.0,0.3,0.349,3,0,7
1,0.91,1.0,0.3,0.349,3,0,7
1,0.93,1.0,0.3,0.349,3,0,7
2,0.05,0.127,1.0,0.42,10,69,0
2,0.07,0.167,0.9,0.479,9,45,1
2,0.09,0.191,0.9,0.517,9,38,1
2,0.11,0.209,0.9,0.542,9,34,1
2,0.13,0.243,0.9,0.584,9,28,1
2,0.15,0.29,0.9,0.634,9,22,1
2,0.17,0.333,0.9,0.672,9,18,1
2,0.19,0.36,0.9,0.692,9,16,1
2,0.21,0.429,0.9,0.738,9,12,1
2,0.23,0.474,0.9,0.763,9,10,1
2,0.25,0.5,0.9,0.776,9,9,1
2,0.27,0.5,0.9,0.776,9,9,1
2,0.29,0.5,0.9,0.776,9,9,1
2,0.31,0.471,0.8,0.702,8,9,2
2,0.33,0.471,0.8,0.702,8,9,2
2,0.35,0.471,0.8,0.702,8,9,2
2,0.37,0.533,0.8,0.727,8,7,2
2,0.39,0.533,0.8,0.727,8,7,2
2,0.41,0.533,0.8,0.727,8,7,2
2,0.43,0.533,0.8,0.727,8,7,2
2,0.45,0.533,0.8,0.727,8,7,2
2,0.47,0.533,0.8,0.727,8,7,2
2,0.49,0.571,0.8,0.741,8,6,2
2,0.51,0.615,0.8,0.755,8,5,2
2,0.53,0.667,0.8,0.769,8,4,2
