prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.012,1.0,0.056,10,847,0
0,0.07,0.016,1.0,0.075,10,619,0
0,0.09,0.021,1.0,0.095,10,476,0
0,0.11,0.025,1.0,0.113,10,392,0
0,0.13,0.03,1.0,0.135,10,321,0
0,0.15,0.037,1.0,0.16,10,262,0
0,0.17,0.043,1.0,0.182,10,225,0
0,0.19,0.049,1.0,0.206,10,193,0
0,0.21,0.058,1.0,0.235,10,163,0
0,0.23,0.067,1.0,0.263,10,140,0
0,0.25,0.074,1.0,0.284,10,126,0
0,0.27,0.083,1.0,0.311,10,111,0
0,0.29,0.093,1.0,0.338,10,98,0
0,0.31,0.102,1.0,0.362,10,88,0
0,0.33,0.11,1.0,0.382,10,81,0
0,0.35,0.127,1.0,0.42,10,69,0
0,0.37,0.147,1.0,0.463,10,58,0
0,0.39,0.156,1.0,0.481,10,54,0
0,0.41,0.169,1.0,0.505,10,49,0
0,0.43,0.196,1.0,0.549,10,41,0
0,0.45,0.244,1.0,0.617,10,31,0
0,0.47,0.25,1.0,0.625,10,30,0
0,0.49,0.257,0.9,0.6,9,26,1
0,0.51,0.276,0.8,0.58,8,21,2
0,0.53,0.333,0.8,0.625,8,16,2
0,0.55,0.381,0.8,0.656,8,13,2
0,0.57,0.412,0.7,0.614,7,10,3
0,0.59,0.4,0.6,0.545,6,9,4
0,0.61,0.429,0.6,0.556,6,8,4
0,0.63,0.455,0.5,0.49,5,6,5
0,0.65,0.455,0.5,0.49,5,6,5
0,0.67,0.556,0.5,0.51,5,4,5
0,0.69,0.625,0.5,0.521,5,3,5
0,0.71,0.625,0.5,0.521,5,3,5
0,0.73,0.833,0.5,0.543,5,1,5
0,0.75,0.75,0.3,0.341,3,1,7
0,0.77,0.667,0.2,0.233,2,1,8
0,0.79,1.0,0.2,0.238,2,0,8
0,0.81,1.0,0.2,0.238,2,0,8
0,0.83,1.0,0.1,0.122,1,0,9
0,0.85,1.0,0.1,0.122,1,0,9
0,0.87,0.0,0.0,0.0,0,0,10
0,0.89,0.0,0.0,0.0,0,0,10
0,0.91,0.0,0.0,0.0,0,0,10
0,0.93,0.0,0.0,0.0,0,0,10
1,0.05,0.088,1.0,0.327,10,103,0
1,0.07,0.122,1.0,0.41,10,72,0
1,0.09,0.152,1.0,0.472,10,56,0
1,0.11,0.175,1.0,0.515,10,47,0
1,0.13,0.2,1.0,0.556,10,40,0
1,0.15,0.238,1.0,0.61,10,32,0
1,0.17,0.244,1.0,0.617,10,31,0
1,0.19,0.27,1.0,0.649,10,27,0
1,0.21,0.286,1.0,0.667,10,25,0
1,0.23,0.303,1.0,0.685,10,23,0
1,0.25,0.303,1.0,0.685,10,23,0
1,0.27,0.312,1.0,0.694,10,22,0
1,0.29,0.333,1.0,0.714,10,20,0
1,0.31,0.357,1.0,0.735,10,18,0
1,0.33,0.37,1.0,0.746,10,17,0
1,0.35,0.4,1.0,0.769,10,15,0
1,0.37,0.417,1.0,0.781,10,14,0
1,0.39,0.417,1.0,0.781,10,14,0
1,0.41,0.417,1.0,0.781,10,14,0
1,0.43,0.435,1.0,0.794,10,13,0
1,0.45,0.476,1.0,0.82,10,11,0
1,0.47,0.476,1.0,0.82,10,11,0
1,0.49,0.45,0.9,0.75,9,11,1
1,0.51,0.471,0.8,0.702,8,9,2
1,0.53,0.533,0.8,0.727,8,7,2
1,0.55,0.571,0.8,0.741,8,6,2
1,0.57,0.583,0.7,0.673,7,5,3
1,0.59,0.6,0.6,0.6,6,4,4
1,0.61,0.667,0.6,0.612,6,3,4
1,0.63,0.625,0.5,0.521,5,3,5
1,0.65,0.625,0.5,0.521,5,3,5
1,0.67,0.625,0.5,0.521,5,3,5
1,0.69,0.714,0.5,0.532,5,2,5
1,0.71,0.714,0.5,0.532,5,2,5
1,0.73,0.833,0.5,0.543,5,1,5
1,0.75,0.75,0.3,0.341,3,1,7
1,0.77,0.667,0.2,0.233,2,1,8
1,0.79,1.0,0.2,0.238,2,0,8
1,0.81,1.0,0.2,0.238,2,0,8
1,0.83,1.0,0.1,0.122,1,0,9
1,0.85,1.0,0.1,0.122,1,0,9
1,0.87,0.0,0.0,0.0,0,0,10
1,0.89,0.0,0.0,0.0,0,0,10
1,0.91,0.0,0.0,0.0,0,0,10
1,0.93,0.0,0.0,0.0,0,0,10
2,0.05,0.116,1.0,0.397,10,76,0
2,0.07,0.141,1.0,0.45,10,61,0
2,0.09,0.167,1.0,0.5,10,50,0
2,0.11,0.189,1.0,0.538,10,43,0
2,0.13,0.204,1.0,0.562,10,39,0
2,0.15,0.238,1.0,0.61,10,32,0
2,0.17,0.244,1.0,0.617,10,31,0
2,0.19,0.27,1.0,0.649,10,27,0
2,0.21,0.286,1.0,0.667,10,25,0
2,0.23,0.303,1.0,0.685,10,23,0
2,0.25,0.303,1.0,0.685,10,23,0
2,0.27,0.312,1.0,0.694,10,22,0
2,0.29,0.333,1.0,0.714,10,20,0
2,0.31,0.357,1.0,0.735,10,18,0
2,0.33,0.37,1.0,0.746,10,17,0
2,0.35,0.4,1.0,0.769,10,15,0
2,0.37,0.417,1.0,0.781,10,14,0
2,0.39,0.417,1.0,0.781,10,14,0
2,0.41,0.417,1.0,0.781,10,14,0
2,0.43,0.435,1.0,0.794,10,13,0
2,0.45,0.476,1.0,0.82,10,11,0
2,0.47,0.476,1.0,0.82,10,11,0
2,0.49,0.45,0.9,0.75,9,11,1
2,0.51,0.471,0.8,0.702,8,9,2
2,0.53,0.533,0.8,0.727,8,7,2
2,0.55,0.571,0.8,0.741,8,6,2
2,0.57,0.583,0.7,0.673,7,5,3
2,0.59,0.6,0.6,0.6,6,4,4
2,0.61,0.667,0.6,0.612,6,3,4
2,0.63,0.625,0.5,0.521,5,3,5
2,0.65,0.625,0.5,0.521,5,3,5
2,0.67,0.625,0.5,0.521,5,3,5
2,0.69,0.714,0.5,0.532,5,2,5
2,0.71,0.714,0.5,0.532,5,2,5
2,0.73,0.833,0.5,0.543,5,1,5
2,0.75,0.75,0.3,0.341,3,1,7
2,0.77,0.667,0.2,0.233,2,1,8
2,0.79,1.0,0.2,0.238,2,0,8
2,0.81,1.0,0.2,0.238,2,0,8
2,0.83,1.0,0.1,0.122,1,0,9
2,0.85,1.0,0.1,0.122,1,0,9
2,0.87,0.0,0.0,0.0,0,0,10
2,0.89,0.0,0.0,0.0,0,0,10
2,0.91,0.0,0.0,0.0,0,0,10
2,0.93,0.0,0.0,0.0,0,0,10
3,0.05,0.116,1.0,0.397,10,76,0
3,0.07,0.141,1.0,0.45,10,61,0
3,0.09,0.167,1.0,0.5,10,50,0
3,0.11,0.189,1.0,0.538,10,43,0
3,0.13,0.204,1.0,0.562,10,39,0
3,0.15,0.238,1.0,0.61,10,32,0
3,0.17,0.244,1.0,0.617,10,31,0
3,0.19,0.27,1.0,0.649,10,27,0
3,0.21,0.286,1.0,0.667,10,25,0
3,0.23,0.303,1.0,0.685,10,23,0
3,0.25,0.303,1.0,0.685,10,23,0
3,0.27,0.312,1.0,0.694,10,22,0
3,0.29,0.333,1.0,0.714,10,20,0
3,0.31,0.357,1.0,0.735,10,18,0
3,0.33,0.37,1.0,0.746,10,17,0
3,0.35,0.4,1.0,0.769,10,15,0
3,0.37,0.417,1.0,0.781,10,14,0
3,0.39,0.417,1.0,0.781,10,14,0
3,0.41,0.417,1.0,0.781,10,14,0
3,0.43,0.435,1.0,0.794,10,13,0
3,0.45,0.476,1.0,0.82,10,11,0
3,0.47,0.476,1.0,0.82,10,11,0
3,0.49,0.45,0.9,0.75,9,11,1
3,0.51,0.471,0.8,0.702,8,9,2
3,0.53,0.533,0.8,0.727,8,7,2
3,0.55,0.571,0.8,0.741,8,6,2
3,0.57,0.583,0.7,0.673,7,5,3
3,0.59,0.6,0.6,0.6,6,4,4
3,0.61,0.667,0.6,0.612,6,3,4
3,0.63,0.625,0.5,0.521,5,3,5
3,0.65,0.625,0.5,0.521,5,3,5
3,0.67,0.625,0.5,0.521,5,3,5
3,0.69,0.714,0.5,0.532,5,2,5
3,0.71,0.714,0.5,0.532,5,2,5
3,0.73,0.833,0.5,0.543,5,1,5
3,0.75,0.75,0.3,0.341,3,1,7
3,0.77,0.667,0.2,0.233,2,1,8
3,0.79,1.0,0.2,0.238,2,0,8
3,0.81,1.0,0.2,0.238,2,0,8
3,0.83,1.0,0.1,0.122,1,0,9
3,0.85,1.0,0.1,0.122,1,0,9
