epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.031134,0.009208,0.515447,0.505961,0.0,0.0,0.0,0.0,0.0,0.005814,0.110465,0.0,0.0,0.0
1,0.00187,0.009771,0.492464,0.504723,0.0,0.0,0.0,0.0,0.000831,0.031561,0.354651,0.0,0.0,0.0
2,0.001027,0.010272,0.642384,0.505004,0.0,0.0,0.0,0.0,0.006645,0.076412,0.522425,0.0,0.0,0.0
3,0.00068,0.012368,0.716505,0.508029,0.0,0.0,0.0,0.0,0.033223,0.173588,0.677741,0.0,0.0,0.0
4,0.000582,0.015276,0.7415,0.513009,0.0,0.0,0.0,0.0,0.083887,0.314784,0.813953,0.0,0.0,0.0
5,0.00053,0.018608,0.761611,0.519983,0.0,0.0,0.0,0.0,0.152824,0.44186,0.889535,0.0,0.0,0.0
6,0.000492,0.020859,0.791861,0.52533,0.0,0.0,0.0,0.0,0.240033,0.562292,0.929402,0.0,0.0,0.0
7,0.000408,0.027535,0.822887,0.541111,0.0,0.0,0.0,0.0,0.398671,0.734219,0.969269,0.0,0.0,0.0
8,0.000349,0.034156,0.842467,0.559543,0.0,0.0,0.0,0.0,0.521595,0.816445,0.980897,0.0,0.0,0.0
9,0.000299,0.042894,0.854653,0.577246,0.0,0.0,0.0,0.0,0.610465,0.877907,0.990033,0.0,0.0,0.0
10,0.000265,0.053412,0.87216,0.593747,0.0,0.0,0.0,0.0,0.677741,0.915282,0.989203,0.0,0.0,0.0
11,0.000225,0.066173,0.880878,0.612884,0.0,0.0,0.0,0.0,0.717608,0.948505,0.987542,0.0,0.0,0.0
12,0.000168,0.083125,0.89056,0.642708,0.0,0.0,0.0,0.0,0.757475,0.967608,0.990033,0.0,0.0,0.0
13,0.000156,0.101128,0.895131,0.671174,0.0,0.0,0.0,0.0,0.791528,0.969269,0.990033,0.0,0.0,0.0
14,0.000107,0.117562,0.907879,0.699487,0.0,0.0,0.0,0.0,0.824751,0.982558,0.990864,0.0,0.0,0.0
15,8.9e-05,0.12987,0.902995,0.721855,0.0,0.0,0.0,0.0,0.862126,0.98588,0.995017,0.0,0.0,0.0
16,8.5e-05,0.138504,0.901574,0.739407,0.0,0.0,0.0,0.0,0.861296,0.98588,0.991694,0.0,0.0,0.0
17,6.6e-05,0.148638,0.911399,0.756919,0.0,0.0,0.0,0.0,0.874585,0.987542,0.995017,0.0,0.0,0.0
18,6.5e-05,0.154231,0.912064,0.767343,0.0,0.0,0.0,0.0,0.897841,0.990033,0.998339,0.0,0.0,0.0
19,5.6e-05,0.161492,0.913015,0.78234,0.0,0.0,0.0,0.0,0.896179,0.992525,0.996678,0.0,0.0,0.0
20,5.7e-05,0.164581,0.903144,0.784396,0.0,0.0,0.0,0.0,0.910299,0.991694,0.996678,0.0,0.0,0.0
21,4e-05,0.176786,0.907419,0.804012,0.0,0.0,0.0,0.0,0.933555,0.995017,0.999169,0.0,0.0,0.0
22,3.6e-05,0.181178,0.909446,0.810535,0.0,0.0,0.0,0.0,0.934385,0.994186,0.998339,0.0,0.0,0.0
23,2.8e-05,0.186866,0.913969,0.820673,0.0,0.0,0.0,0.0,0.942691,0.994186,0.996678,0.0,0.0,0.0
24,2.9e-05,0.192422,0.916234,0.829255,0.0,0.0,0.0,0.0,0.950166,0.995017,0.999169,0.0,0.0,0.0
25,2.8e-05,0.192747,0.923619,0.831607,0.0,0.0,0.0,0.0,0.943522,0.996678,0.998339,0.0,0.0,0.0
26,2.2e-05,0.200203,0.920083,0.840195,0.0,0.0,0.0,0.0,0.960963,0.996678,0.999169,0.0,0.0,0.0
27,1.8e-05,0.203665,0.919584,0.846453,0.0,0.0,0.0,0.0,0.961794,0.998339,0.999169,0.0,0.0,0.0
28,1.3e-05,0.21075,0.920691,0.852959,0.0,0.0,0.0,0.0,0.966777,0.997508,0.998339,0.0,0.0,0.0
29,1.3e-05,0.212415,0.923523,0.856345,0.0,0.0,0.0,0.0,0.974252,0.999169,0.999169,0.0,0.0,0.0
30,1.1e-05,0.215827,0.916415,0.861184,0.0,0.0,0.0,0.0,0.974252,0.998339,0.999169,0.0,0.0,0.0
