prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.048,1.0,0.202,10,197,0
0,0.07,0.064,1.0,0.254,10,147,0
0,0.09,0.082,1.0,0.309,10,112,0
0,0.11,0.095,1.0,0.345,10,95,0
0,0.13,0.115,1.0,0.394,10,77,0
0,0.15,0.127,1.0,0.42,10,69,0
0,0.17,0.135,1.0,0.439,10,64,0
0,0.19,0.156,1.0,0.481,10,54,0
0,0.21,0.164,1.0,0.495,10,51,0
0,0.23,0.185,1.0,0.532,10,44,0
0,0.25,0.196,1.0,0.549,10,41,0
0,0.27,0.204,1.0,0.562,10,39,0
0,0.29,0.208,1.0,0.568,10,38,0
0,0.31,0.227,1.0,0.595,10,34,0
0,0.33,0.227,1.0,0.595,10,34,0
0,0.35,0.238,1.0,0.61,10,32,0
0,0.37,0.25,1.0,0.625,10,30,0
0,0.39,0.256,1.0,0.633,10,29,0
0,0.41,0.27,1.0,0.649,10,27,0
0,0.43,0.286,1.0,0.667,10,25,0
0,0.45,0.303,1.0,0.685,10,23,0
0,0.47,0.312,1.0,0.694,10,22,0
0,0.49,0.323,1.0,0.704,10,21,0
0,0.51,0.323,1.0,0.704,10,21,0
0,0.53,0.345,1.0,0.725,10,19,0
0,0.55,0.321,0.9,0.662,9,19,1
0,0.57,0.36,0.9,0.692,9,16,1
0,0.59,0.375,0.9,0.703,9,15,1
0,0.61,0.474,0.9,0.763,9,10,1
0,0.63,0.529,0.9,0.789,9,8,1
0,0.65,0.571,0.8,0.741,8,6,2
0,0.67,0.583,0.7,0.673,7,5,3
0,0.69,0.556,0.5,0.51,5,4,5
0,0.71,0.833,0.5,0.543,5,1,5
0,0.73,0.833,0.5,0.543,5,1,5
0,0.75,0.833,0.5,0.543,5,1,5
0,0.77,0.833,0.5,0.543,5,1,5
0,0.79,0.833,0.5,0.543,5,1,5
0,0.81,0.833,0.5,0.543,5,1,5
0,0.83,1.0,0.3,0.349,3,0,7
0,0.85,1.0,0.2,0.238,2,0,8
0,0.87,1.0,0.1,0.122,1,0,9
0,0.89,1.0,0.1,0.122,1,0,9
0,0.91,0.0,0.0,0.0,0,0,10
0,0.93,0.0,0.0,0.0,0,0,10
1,0.05,0.208,1.0,0.568,10,38,0
1,0.07,0.25,1.0,0.625,10,30,0
1,0.09,0.303,1.0,0.685,10,23,0
1,0.11,0.385,1.0,0.758,10,16,0
1,0.13,0.417,1.0,0.781,10,14,0
1,0.15,0.476,1.0,0.82,10,11,0
1,0.17,0.5,1.0,0.833,10,10,0
1,0.19,0.556,1.0,0.862,10,8,0
1,0.21,0.556,1.0,0.862,10,8,0
1,0.23,0.556,1.0,0.862,10,8,0
1,0.25,0.588,1.0,0.877,10,7,0
1,0.27,0.588,1.0,0.877,10,7,0
1,0.29,0.625,1.0,0.893,10,6,0
1,0.31,0.625,1.0,0.893,10,6,0
1,0.33,0.625,1.0,0.893,10,6,0
1,0.35,0.625,1.0,0.893,10,6,0
1,0.37,0.714,1.0,0.926,10,4,0
1,0.39,0.714,1.0,0.926,10,4,0
1,0.41,0.714,1.0,0.926,10,4,0
1,0.43,0.714,1.0,0.926,10,4,0
1,0.45,0.714,1.0,0.926,10,4,0
1,0.47,0.714,1.0,0.926,10,4,0
1,0.49,0.714,1.0,0.926,10,4,0
1,0.51,0.714,1.0,0.926,10,4,0
1,0.53,0.714,1.0,0.926,10,4,0
1,0.55,0.692,0.9,0.849,9,4,1
1,0.57,0.692,0.9,0.849,9,4,1
1,0.59,0.75,0.9,0.865,9,3,1
1,0.61,0.75,0.9,0.865,9,3,1
1,0.63,0.818,0.9,0.882,9,2,1
1,0.65,0.8,0.8,0.8,8,2,2
1,0.67,0.778,0.7,0.714,7,2,3
1,0.69,0.833,0.5,0.543,5,1,5
1,0.71,1.0,0.5,0.556,5,0,5
1,0.73,1.0,0.5,0.556,5,0,5
1,0.75,1.0,0.5,0.556,5,0,5
1,0.77,1.0,0.5,0.556,5,0,5
1,0.79,1.0,0.5,0.556,5,0,5
1,0.81,1.0,0.5,0.556,5,0,5
1,0.83,1.0,0.3,0.349,3,0,7
1,0.85,1.0,0.2,0.238,2,0,8
1,0.87,1.0,0.1,0.122,1,0,9
1,0.89,1.0,0.1,0.122,1,0,9
1,0.91,0.0,0.0,0.0,0,0,10
1,0.93,0.0,0.0,0.0,0,0,10
2,0.05,0.217,1.0,0.581,10,36,0
2,0.07,0.256,1.0,0.633,10,29,0
2,0.09,0.303,1.0,0.685,10,23,0
2,0.11,0.385,1.0,0.758,10,16,0
2,0.13,0.417,1.0,0.781,10,14,0
2,0.15,0.476,1.0,0.82,10,11,0
2,0.17,0.5,1.0,0.833,10,10,0
2,0.19,0.556,1.0,0.862,10,8,0
2,0.21,0.556,1.0,0.862,10,8,0
2,0.23,0.556,1.0,0.862,10,8,0
2,0.25,0.588,1.0,0.877,10,7,0
2,0.27,0.588,1.0,0.877,10,7,0
2,0.29,0.625,1.0,0.893,10,6,0
2,0.31,0.625,1.0,0.893,10,6,0
2,0.33,0.625,1.0,0.893,10,6,0
2,0.35,0.625,1.0,0.893,10,6,0
2,0.37,0.714,1.0,0.926,10,4,0
2,0.39,0.714,1.0,0.926,10,4,0
2,0.41,0.714,1.0,0.926,10,4,0
2,0.43,0.714,1.0,0.926,10,4,0
2,0.45,0.714,1.0,0.926,10,4,0
2,0.47,0.714,1.0,0.926,10,4,0
2,0.49,0.714,1.0,0.926,10,4,0
2,0.51,0.714,1.0,0.926,10,4,0
2,0.53,0.714,1.0,0.926,10,4,0
2,0.55,0.692,0.9,0.849,9,4,1
2,0.57,0.692,0.9,0.849,9,4,1
2,0.59,0.75,0.9,0.865,9,3,1
2,0.61,0.75,0.9,0.865,9,3,1
2,0.63,0.818,0.9,0.882,9,2,1
2,0.65,0.8,0.8,0.8,8,2,2
2,0.67,0.778,0.7,0.714,7,2,3
2,0.69,0.833,0.5,0.543,5,1,5
2,0.71,1.0,0.5,0.556,5,0,5
2,0.73,1.0,0.5,0.556,5,0,5
2,0.75,1.0,0.5,0.556,5,0,5
2,0.77,1.0,0.5,0.556,5,0,5
2,0.79,1.0,0.5,0.556,5,0,5
2,0.81,1.0,0.5,0.556,5,0,5
2,0.83,1.0,0.3,0.349,3,0,7
2,0.85,1.0,0.2,0.238,2,0,8
2,0.87,1.0,0.1,0.122,1,0,9
2,0.89,1.0,0.1,0.122,1,0,9
2,0.91,0.0,0.0,0.0,0,0,10
2,0.93,0.0,0.0,0.0,0,0,10
3,0.05,0.217,1.0,0.581,10,36,0
3,0.07,0.256,1.0,0.633,10,29,0
3,0.09,0.303,1.0,0.685,10,23,0
3,0.11,0.385,1.0,0.758,10,16,0
3,0.13,0.417,1.0,0.781,10,14,0
3,0.15,0.476,1.0,0.82,10,11,0
3,0.17,0.5,1.0,0.833,10,10,0
3,0.19,0.556,1.0,0.862,10,8,0
3,0.21,0.556,1.0,0.862,10,8,0
3,0.23,0.556,1.0,0.862,10,8,0
3,0.25,0.588,1.0,0.877,10,7,0
3,0.27,0.588,1.0,0.877,10,7,0
3,0.29,0.625,1.0,0.893,10,6,0
3,0.31,0.625,1.0,0.893,10,6,0
3,0.33,0.625,1.0,0.893,10,6,0
3,0.35,0.625,1.0,0.893,10,6,0
3,0.37,0.714,1.0,0.926,10,4,0
3,0.39,0.714,1.0,0.926,10,4,0
3,0.41,0.714,1.0,0.926,10,4,0
3,0.43,0.714,1.0,0.926,10,4,0
3,0.45,0.714,1.0,0.926,10,4,0
3,0.47,0.714,1.0,0.926,10,4,0
3,0.49,0.714,1.0,0.926,10,4,0
3,0.51,0.714,1.0,0.926,10,4,0
3,0.53,0.714,1.0,0.926,10,4,0
3,0.55,0.692,0.9,0.849,9,4,1
3,0.57,0.692,0.9,0.849,9,4,1
3,0.59,0.75,0.9,0.865,9,3,1
3,0.61,0.75,0.9,0.865,9,3,1
3,0.63,0.818,0.9,0.882,9,2,1
3,0.65,0.8,0.8,0.8,8,2,2
3,0.67,0.778,0.7,0.714,7,2,3
3,0.69,0.833,0.5,0.543,5,1,5
3,0.71,1.0,0.5,0.556,5,0,5
3,0.73,1.0,0.5,0.556,5,0,5
3,0.75,1.0,0.5,0.556,5,0,5
3,0.77,1.0,0.5,0.556,5,0,5
3,0.79,1.0,0.5,0.556,5,0,5
3,0.81,1.0,0.5,0.556,5,0,5
3,0.83,1.0,0.3,0.349,3,0,7
3,0.85,1.0,0.2,0.238,2,0,8
3,0.87,1.0,0.1,0.122,1,0,9
3,0.89,1.0,0.1,0.122,1,0,9
3,0.91,0.0,0.0,0.0,0,0,10
3,0.93,0.0,0.0,0.0,0,0,10
4,0.05,0.217,1.0,0.581,10,36,0
4,0.07,0.256,1.0,0.633,10,29,0
4,0.09,0.303,1.0,0.685,10,23,0
4,0.11,0.385,1.0,0.758,10,16,0
4,0.13,0.417,1.0,0.781,10,14,0
4,0.15,0.476,1.0,0.82,10,11,0
4,0.17,0.5,1.0,0.833,10,10,0
4,0.19,0.556,1.0,0.862,10,8,0
4,0.21,0.556,1.0,0.862,10,8,0
4,0.23,0.556,1.0,0.862,10,8,0
4,0.25,0.588,1.0,0.877,10,7,0
4,0.27,0.588,1.0,0.877,10,7,0
4,0.29,0.625,1.0,0.893,10,6,0
4,0.31,0.625,1.0,0.893,10,6,0
