epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.03173,0.009358,0.527756,0.505932,0.0,0.0,0.0,0.0,0.0,0.015781,0.144518,0.0,0.0,0.0
1,0.00257,0.010414,0.623023,0.505052,0.0,0.0,0.0,0.0,0.009136,0.07392,0.499169,0.0,0.0,0.0
2,0.001832,0.011873,0.717238,0.506564,0.0,0.0,0.0,0.0,0.020764,0.13206,0.675249,0.0,0.0,0.0
3,0.001515,0.014323,0.733814,0.509956,0.0,0.0,0.0,0.0,0.05814,0.251661,0.749169,0.0,0.0,0.0
4,0.001337,0.01689,0.760396,0.514298,0.0,0.0,0.0,0.0,0.121262,0.374585,0.864618,0.0,0.0,0.0
5,0.001213,0.020465,0.784899,0.520317,0.0,0.0,0.0,0.0,0.169435,0.480066,0.921927,0.0,0.0,0.0
6,0.001128,0.023565,0.801215,0.525934,0.0,0.0,0.0,0.0,0.26495,0.590532,0.948505,0.0,0.0,0.0
7,0.000882,0.031671,0.833772,0.541436,0.0,0.0,0.0,0.0,0.442691,0.774086,0.978405,0.0,0.0,0.0
8,0.000754,0.037997,0.857232,0.55577,0.0,0.0,0.0,0.0,0.54485,0.851329,0.981728,0.0,0.0,0.0
9,0.000656,0.04639,0.868809,0.570455,0.0,0.0,0.0,0.0,0.620432,0.892027,0.989203,0.0,0.0,0.0
10,0.000582,0.055671,0.877096,0.589471,0.0,0.0,0.0,0.0,0.67608,0.929402,0.988372,0.0,0.0,0.0
11,0.000502,0.066273,0.884953,0.605755,0.0,0.0,0.0,0.0,0.716777,0.954319,0.993355,0.0,0.0,0.0
12,0.000433,0.07773,0.887152,0.632718,0.0,0.0,0.0,0.0,0.747508,0.967608,0.990033,0.0,0.0,0.0
13,0.000421,0.09135,0.888287,0.662504,0.0,0.0,0.0,0.0,0.765781,0.9701,0.991694,0.0,0.0,0.0
14,0.000272,0.105057,0.894007,0.695549,0.0,0.0,0.0,0.0,0.834718,0.984219,0.994186,0.0,0.0,0.0
15,0.000266,0.11223,0.895539,0.718299,0.0,0.0,0.0,0.0,0.853821,0.980897,0.995017,0.0,0.0,0.0
16,0.00023,0.117233,0.90285,0.739037,0.0,0.0,0.0,0.0,0.874585,0.990033,0.997508,0.0,0.0,0.0
17,0.000209,0.12411,0.899312,0.759668,0.0,0.0,0.0,0.0,0.885382,0.987542,0.997508,0.0,0.0,0.0
18,0.000206,0.128506,0.898064,0.774956,0.0,0.0,0.0,0.0,0.890365,0.991694,0.998339,0.0,0.0,0.0
19,0.000194,0.133209,0.905319,0.786753,0.0,0.0,0.0,0.0,0.886213,0.993355,0.999169,0.0,0.0,0.0
20,0.00016,0.13685,0.902911,0.806446,0.0,0.0,0.0,0.0,0.891196,0.992525,0.996678,0.0,0.0,0.0
21,0.00012,0.143109,0.906011,0.822668,0.0,0.0,0.0,0.0,0.929402,0.995017,0.998339,0.0,0.0,0.0
22,0.000102,0.141767,0.904021,0.83292,0.0,0.0,0.0,0.0,0.943522,0.995847,0.996678,0.0,0.0,0.0
23,0.0001,0.143784,0.908298,0.843471,0.0,0.0,0.0,0.0,0.940199,0.995847,0.999169,0.0,0.0,0.0
24,9e-05,0.145923,0.904123,0.850734,0.0,0.0,0.0,0.0,0.934385,0.995847,0.998339,0.0,0.0,0.0
25,9.1e-05,0.146936,0.904843,0.858745,0.0,0.0,0.0,0.0,0.95515,0.997508,0.999169,0.0,0.0,0.0
26,7e-05,0.15216,0.910364,0.867993,0.0,0.0,0.0,0.0,0.950997,0.997508,0.998339,0.0,0.0,0.0
27,6.1e-05,0.152302,0.907067,0.874967,0.0,0.0,0.0,0.0,0.951827,0.998339,0.998339,0.0,0.0,0.0
28,4.7e-05,0.153946,0.91452,0.88079,0.0,0.0,0.0,0.0,0.965116,0.998339,0.999169,0.0,0.0,0.0
