prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.11,0.9,0.369,9,73,1
0,0.07,0.138,0.9,0.429,9,56,1
0,0.09,0.161,0.9,0.469,9,47,1
0,0.11,0.196,0.9,0.523,9,37,1
0,0.13,0.231,0.9,0.57,9,30,1
0,0.15,0.206,0.7,0.473,7,27,3
0,0.17,0.219,0.7,0.486,7,25,3
0,0.19,0.241,0.7,0.507,7,22,3
0,0.21,0.231,0.6,0.455,6,20,4
0,0.23,0.231,0.6,0.455,6,20,4
0,0.25,0.24,0.6,0.462,6,19,4
0,0.27,0.25,0.6,0.469,6,18,4
0,0.29,0.273,0.6,0.484,6,16,4
0,0.31,0.286,0.6,0.492,6,15,4
0,0.33,0.3,0.6,0.5,6,14,4
0,0.35,0.3,0.6,0.5,6,14,4
0,0.37,0.316,0.6,0.508,6,13,4
0,0.39,0.316,0.6,0.508,6,13,4
0,0.41,0.316,0.6,0.508,6,13,4
0,0.43,0.316,0.6,0.508,6,13,4
0,0.45,0.316,0.6,0.508,6,13,4
0,0.47,0.353,0.6,0.526,6,11,4
0,0.49,0.353,0.6,0.526,6,11,4
0,0.51,0.4,0.6,0.545,6,9,4
0,0.53,0.4,0.6,0.545,6,9,4
0,0.55,0.462,0.6,0.566,6,7,4
0,0.57,0.417,0.5,0.481,5,7,5
0,0.59,0.5,0.5,0.5,5,5,5
0,0.61,0.5,0.5,0.5,5,5,5
0,0.63,0.556,0.5,0.51,5,4,5
0,0.65,0.556,0.5,0.51,5,4,5
0,0.67,0.5,0.4,0.417,4,4,6
0,0.69,0.429,0.3,0.319,3,4,7
0,0.71,0.5,0.3,0.326,3,3,7
0,0.73,0.5,0.3,0.326,3,3,7
0,0.75,0.6,0.3,0.333,3,2,7
0,0.77,0.667,0.2,0.233,2,1,8
0,0.79,1.0,0.2,0.238,2,0,8
0,0.81,1.0,0.1,0.122,1,0,9
0,0.83,0.0,0.0,0.0,0,0,10
0,0.85,0.0,0.0,0.0,0,0,10
0,0.87,0.0,0.0,0.0,0,0,10
0,0.89,0.0,0.0,0.0,0,0,10
0,0.91,0.0,0.0,0.0,0,0,10
0,0.93,0.0,0.0,0.0,0,0,10
1,0.05,0.391,0.9,0.714,9,14,1
1,0.07,0.5,0.9,0.776,9,9,1
1,0.09,0.562,0.9,0.804,9,7,1
1,0.11,0.6,0.9,0.818,9,6,1
1,0.13,0.692,0.9,0.849,9,4,1
1,0.15,0.636,0.7,0.686,7,4,3
1,0.17,0.7,0.7,0.7,7,3,3
1,0.19,0.7,0.7,0.7,7,3,3
1,0.21,0.667,0.6,0.612,6,3,4
1,0.23,0.667,0.6,0.612,6,3,4
1,0.25,0.75,0.6,0.625,6,2,4
1,0.27,0.75,0.6,0.625,6,2,4
1,0.29,0.75,0.6,0.625,6,2,4
1,0.31,0.75,0.6,0.625,6,2,4
1,0.33,0.75,0.6,0.625,6,2,4
1,0.35,0.75,0.6,0.625,6,2,4
1,0.37,0.75,0.6,0.625,6,2,4
1,0.39,0.75,0.6,0.625,6,2,4
1,0.41,0.75,0.6,0.625,6,2,4
1,0.43,0.75,0.6,0.625,6,2,4
1,0.45,0.75,0.6,0.625,6,2,4
1,0.47,0.75,0.6,0.625,6,2,4
1,0.49,0.75,0.6,0.625,6,2,4
1,0.51,0.75,0.6,0.625,6,2,4
1,0.53,0.75,0.6,0.625,6,2,4
1,0.55,0.857,0.6,0.638,6,1,4
1,0.57,0.833,0.5,0.543,5,1,5
1,0.59,0.833,0.5,0.543,5,1,5
1,0.61,0.833,0.5,0.543,5,1,5
1,0.63,0.833,0.5,0.543,5,1,5
1,0.65,0.833,0.5,0.543,5,1,5
1,0.67,0.8,0.4,0.444,4,1,6
1,0.69,0.75,0.3,0.341,3,1,7
1,0.71,0.75,0.3,0.341,3,1,7
1,0.73,0.75,0.3,0.341,3,1,7
1,0.75,0.75,0.3,0.341,3,1,7
1,0.77,1.0,0.2,0.238,2,0,8
1,0.79,1.0,0.2,0.238,2,0,8
1,0.81,1.0,0.1,0.122,1,0,9
1,0.83,0.0,0.0,0.0,0,0,10
1,0.85,0.0,0.0,0.0,0,0,10
1,0.87,0.0,0.0,0.0,0,0,10
1,0.89,0.0,0.0,0.0,0,0,10
1,0.91,0.0,0.0,0.0,0,0,10
1,0.93,0.0,0.0,0.0,0,0,10
2,0.05,0.391,0.9,0.714,9,14,1
2,0.07,0.5,0.9,0.776,9,9,1
2,0.09,0.562,0.9,0.804,9,7,1
2,0.11,0.6,0.9,0.818,9,6,1
2,0.13,0.692,0.9,0.849,9,4,1
2,0.15,0.636,0.7,0.686,7,4,3
2,0.17,0.7,0.7,0.7,7,3,3
2,0.19,0.7,0.7,0.7,7,3,3
2,0.21,0.667,0.6,0.612,6,3,4
2,0.23,0.667,0.6,0.612,6,3,4
2,0.25,0.75,0.6,0.625,6,2,4
2,0.27,0.75,0.6,0.625,6,2,4
2,0.29,0.75,0.6,0.625,6,2,4
2,0.31,0.75,0.6,0.625,6,2,4
2,0.33,0.75,0.6,0.625,6,2,4
2,0.35,0.75,0.6,0.625,6,2,4
2,0.37,0.75,0.6,0.625,6,2,4
2,0.39,0.75,0.6,0.625,6,2,4
2,0.41,0.75,0.6,0.625,6,2,4
2,0.43,0.75,0.6,0.625,6,2,4
2,0.45,0.75,0.6,0.625,6,2,4
2,0.47,0.75,0.6,0.625,6,2,4
2,0.49,0.75,0.6,0.625,6,2,4
2,0.51,0.75,0.6,0.625,6,2,4
2,0.53,0.75,0.6,0.625,6,2,4
2,0.55,0.857,0.6,0.638,6,1,4
2,0.57,0.833,0.5,0.543,5,1,5
2,0.59,0.833,0.5,0.543,5,1,5
2,0.61,0.833,0.5,0.543,5,1,5
2,0.63,0.833,0.5,0.543,5,1,5
2,0.65,0.833,0.5,0.543,5,1,5
2,0.67,0.8,0.4,0.444,4,1,6
2,0.69,0.75,0.3,0.341,3,1,7
2,0.71,0.75,0.3,0.341,3,1,7
2,0.73,0.75,0.3,0.341,3,1,7
2,0.75,0.75,0.3,0.341,3,1,7
2,0.77,1.0,0.2,0.238,2,0,8
2,0.79,1.0,0.2,0.238,2,0,8
2,0.81,1.0,0.1,0.122,1,0,9
2,0.83,0.0,0.0,0.0,0,0,10
2,0.85,0.0,0.0,0.0,0,0,10
2,0.87,0.0,0.0,0.0,0,0,10
2,0.89,0.0,0.0,0.0,0,0,10
2,0.91,0.0,0.0,0.0,0,0,10
2,0.93,0.0,0.0,0.0,0,0,10
3,0.05,0.391,0.9,0.714,9,14,1
3,0.07,0.5,0.9,0.776,9,9,1
3,0.09,0.562,0.9,0.804,9,7,1
3,0.11,0.6,0.9,0.818,9,6,1
3,0.13,0.692,0.9,0.849,9,4,1
3,0.15,0.636,0.7,0.686,7,4,3
3,0.17,0.7,0.7,0.7,7,3,3
3,0.19,0.7,0.7,0.7,7,3,3
3,0.21,0.667,0.6,0.612,6,3,4
3,0.23,0.667,0.6,0.612,6,3,4
3,0.25,0.75,0.6,0.625,6,2,4
3,0.27,0.75,0.6,0.625,6,2,4
3,0.29,0.75,0.6,0.625,6,2,4
3,0.31,0.75,0.6,0.625,6,2,4
3,0.33,0.75,0.6,0.625,6,2,4
3,0.35,0.75,0.6,0.625,6,2,4
3,0.37,0.75,0.6,0.625,6,2,4
3,0.39,0.75,0.6,0.625,6,2,4
3,0.41,0.75,0.6,0.625,6,2,4
3,0.43,0.75,0.6,0.625,6,2,4
3,0.45,0.75,0.6,0.625,6,2,4
3,0.47,0.75,0.6,0.625,6,2,4
3,0.49,0.75,0.6,0.625,6,2,4
3,0.51,0.75,0.6,0.625,6,2,4
3,0.53,0.75,0.6,0.625,6,2,4
3,0.55,0.857,0.6,0.638,6,1,4
3,0.57,0.833,0.5,0.543,5,1,5
3,0.59,0.833,0.5,0.543,5,1,5
3,0.61,0.833,0.5,0.543,5,1,5
3,0.63,0.833,0.5,0.543,5,1,5
3,0.65,0.833,0.5,0.543,5,1,5
3,0.67,0.8,0.4,0.444,4,1,6
3,0.69,0.75,0.3,0.341,3,1,7
3,0.71,0.75,0.3,0.341,3,1,7
3,0.73,0.75,0.3,0.341,3,1,7
3,0.75,0.75,0.3,0.341,3,1,7
3,0.77,1.0,0.2,0.238,2,0,8
3,0.79,1.0,0.2,0.238,2,0,8
3,0.81,1.0,0.1,0.122,1,0,9
3,0.83,0.0,0.0,0.0,0,0,10
3,0.85,0.0,0.0,0.0,0,0,10
3,0.87,0.0,0.0,0.0,0,0,10
3,0.89,0.0,0.0,0.0,0,0,10
3,0.91,0.0,0.0,0.0,0,0,10
3,0.93,0.0,0.0,0.0,0,0,10
4,0.05,0.409,0.9,0.726,9,13,1
4,0.07,0.529,0.9,0.789,9,8,1
4,0.09,0.562,0.9,0.804,9,7,1
4,0.11,0.6,0.9,0.818,9,6,1
4,0.13,0.692,0.9,0.849,9,4,1
4,0.15,0.636,0.7,0.686,7,4,3
4,0.17,0.7,0.7,0.7,7,3,3
4,0.19,0.7,0.7,0.7,7,3,3
4,0.21,0.667,0.6,0.612,6,3,4
4,0.23,0.667,0.6,0.612,6,3,4
4,0.25,0.75,0.6,0.625,6,2,4
4,0.27,0.75,0.6,0.625,6,2,4
4,0.29,0.75,0.6,0.625,6,2,4
4,0.31,0.75,0.6,0.625,6,2,4
4,0.33,0.75,0.6,0.625,6,2,4
4,0.35,0.75,0.6,0.625,6,2,4
4,0.37,0.75,0.6,0.625,6,2,4
4,0.39,0.75,0.6,0.625,6,2,4
4,0.41,0.75,0.6,0.625,6,2,4
4,0.43,0.75,0.6,0.625,6,2,4
4,0.45,0.75,0.6,0.625,6,2,4
