epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.031398,0.009244,0.515551,0.505951,0.0,0.0,0.0,0.0,0.0,0.007475,0.11794,0.0,0.0,0.0
1,0.002107,0.0099,0.514312,0.504747,0.0,0.0,0.0,0.0,0.001661,0.04402,0.399502,0.0,0.0,0.0
2,0.001283,0.010571,0.664765,0.505286,0.0,0.0,0.0,0.0,0.012458,0.089701,0.55814,0.0,0.0,0.0
3,0.00094,0.012845,0.723631,0.508631,0.0,0.0,0.0,0.0,0.040698,0.193522,0.692691,0.0,0.0,0.0
4,0.000827,0.015501,0.746238,0.513824,0.0,0.0,0.0,0.0,0.097176,0.337209,0.805648,0.0,0.0,0.0
5,0.000756,0.019178,0.7653,0.521002,0.0,0.0,0.0,0.0,0.16113,0.452658,0.903654,0.0,0.0,0.0
6,0.000705,0.021742,0.790615,0.527407,0.0,0.0,0.0,0.0,0.249169,0.551495,0.94186,0.0,0.0,0.0
7,0.000568,0.029032,0.825582,0.545265,0.0,0.0,0.0,0.0,0.432724,0.742525,0.973422,0.0,0.0,0.0
8,0.000492,0.034432,0.845372,0.560693,0.0,0.0,0.0,0.0,0.535714,0.828073,0.975083,0.0,0.0,0.0
9,0.000419,0.042623,0.862453,0.575828,0.0,0.0,0.0,0.0,0.624585,0.881229,0.981728,0.0,0.0,0.0
10,0.000365,0.051942,0.874058,0.593758,0.0,0.0,0.0,0.0,0.671096,0.912791,0.989203,0.0,0.0,0.0
11,0.0003,0.060934,0.8826,0.609209,0.0,0.0,0.0,0.0,0.719269,0.950997,0.989203,0.0,0.0,0.0
12,0.000254,0.073056,0.886944,0.637007,0.0,0.0,0.0,0.0,0.753322,0.961794,0.988372,0.0,0.0,0.0
13,0.000235,0.084378,0.893142,0.664316,0.0,0.0,0.0,0.0,0.77907,0.968439,0.991694,0.0,0.0,0.0
14,0.000177,0.097582,0.897632,0.693858,0.0,0.0,0.0,0.0,0.833887,0.981728,0.995847,0.0,0.0,0.0
15,0.000154,0.105357,0.897637,0.719578,0.0,0.0,0.0,0.0,0.855482,0.980897,0.994186,0.0,0.0,0.0
16,0.000141,0.111342,0.90095,0.739238,0.0,0.0,0.0,0.0,0.856312,0.984219,0.995017,0.0,0.0,0.0
17,0.000117,0.118045,0.89883,0.759459,0.0,0.0,0.0,0.0,0.888704,0.988372,0.993355,0.0,0.0,0.0
18,0.000117,0.119244,0.905396,0.774305,0.0,0.0,0.0,0.0,0.903654,0.987542,0.995017,0.0,0.0,0.0
19,0.000105,0.125135,0.906686,0.786627,0.0,0.0,0.0,0.0,0.903654,0.990864,0.996678,0.0,0.0,0.0
20,8.4e-05,0.128944,0.9028,0.804496,0.0,0.0,0.0,0.0,0.915282,0.992525,0.998339,0.0,0.0,0.0
21,5.9e-05,0.134414,0.905335,0.819049,0.0,0.0,0.0,0.0,0.931894,0.996678,0.997508,0.0,0.0,0.0
22,5.4e-05,0.133194,0.90508,0.831847,0.0,0.0,0.0,0.0,0.945183,0.995017,0.997508,0.0,0.0,0.0
23,5.5e-05,0.13626,0.911629,0.839409,0.0,0.0,0.0,0.0,0.946844,0.996678,0.997508,0.0,0.0,0.0
24,4.2e-05,0.139094,0.908639,0.853345,0.0,0.0,0.0,0.0,0.95598,0.994186,0.997508,0.0,0.0,0.0
25,4.3e-05,0.139796,0.910178,0.862214,0.0,0.0,0.0,0.0,0.959302,0.997508,0.998339,0.0,0.0,0.0
26,3.7e-05,0.144311,0.910725,0.868372,0.0,0.0,0.0,0.0,0.963455,0.996678,0.998339,0.0,0.0,0.0
27,2.9e-05,0.145423,0.90992,0.877818,0.0,0.0,0.0,0.0,0.966777,0.996678,0.997508,0.0,0.0,0.0
28,2.2e-05,0.149937,0.915051,0.885445,0.0,0.0,0.0,0.0,0.9701,0.997508,0.999169,0.0,0.0,0.0
29,2e-05,0.149302,0.915479,0.890892,0.0,0.0,0.0,0.0,0.97093,0.998339,0.998339,0.0,0.0,0.0
30,1.8e-05,0.14977,0.916603,0.894326,0.0,0.0,0.0,0.0,0.976744,0.996678,0.996678,0.0,0.0,0.0
31,1.3e-05,0.15117,0.91465,0.897638,0.0,0.0,0.0,0.0,0.978405,0.996678,0.997508,0.0,0.0,0.0
32,1.2e-05,0.153463,0.91497,0.901113,0.0,0.0,0.0,0.0,0.982558,0.996678,0.998339,0.0,0.0,0.0
33,1e-05,0.154073,0.914564,0.904862,0.0,0.0,0.0,0.0,0.980897,0.996678,0.998339,0.0,0.0,0.0
34,8e-06,0.156028,0.914246,0.907173,0.0,0.0,0.0,0.0,0.988372,0.997508,0.998339,0.0,0.0,0.0
35,5e-06,0.158102,0.918316,0.910289,0.0,0.0,0.0,0.0,0.992525,0.997508,0.997508,0.0,0.0,0.0
36,5e-06,0.159293,0.920363,0.912379,0.0,0.0,0.0,0.0,0.990864,0.997508,0.998339,0.0,0.0,0.0
37,4e-06,0.160063,0.919614,0.91328,0.0,0.0,0.0,0.0,0.993355,0.997508,0.997508,0.0,0.0,0.0
38,3e-06,0.161821,0.916531,0.914742,0.0,0.0,0.0,0.0,0.994186,0.997508,0.997508,0.0,0.0,0.0
39,3e-06,0.16307,0.921289,0.915974,0.0,0.0,0.0,0.0,0.995847,0.997508,0.997508,0.0,0.0,0.0
40,3e-06,0.164565,0.921038,0.916873,0.0,0.0,0.0,0.0,0.994186,0.997508,0.997508,0.0,0.0,0.0
41,2e-06,0.165873,0.923574,0.917806,0.0,0.0,0.0,0.0,0.995017,0.997508,0.997508,0.0,0.0,0.0
42,2e-06,0.167128,0.922696,0.918438,0.0,0.0,0.0,0.0,0.995017,0.997508,0.997508,0.0,0.0,0.0
43,2e-06,0.168032,0.92172,0.91892,0.0,0.0,0.0,0.0,0.996678,0.997508,0.997508,0.0,0.0,0.0
44,1e-06,0.168938,0.922693,0.919162,0.0,0.0,0.0,0.0,0.996678,0.997508,0.997508,0.0,0.0,0.0
45,1e-06,0.169898,0.921489,0.919567,0.0,0.0,0.0,0.0,0.995847,0.997508,0.998339,0.0,0.0,0.0
46,1e-06,0.170477,0.921772,0.919852,0.0,0.0,0.0,0.0,0.995847,0.997508,0.997508,0.0,0.0,0.0
