prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.212,0.7,0.479,7,26,3
0,0.07,0.25,0.6,0.469,6,18,4
0,0.09,0.273,0.6,0.484,6,16,4
0,0.11,0.316,0.6,0.508,6,13,4
0,0.13,0.375,0.6,0.536,6,10,4
0,0.15,0.375,0.6,0.536,6,10,4
0,0.17,0.357,0.5,0.463,5,9,5
0,0.19,0.385,0.5,0.472,5,8,5
0,0.21,0.417,0.5,0.481,5,7,5
0,0.23,0.417,0.5,0.481,5,7,5
0,0.25,0.417,0.5,0.481,5,7,5
0,0.27,0.417,0.5,0.481,5,7,5
0,0.29,0.455,0.5,0.49,5,6,5
0,0.31,0.5,0.5,0.5,5,5,5
0,0.33,0.5,0.5,0.5,5,5,5
0,0.35,0.556,0.5,0.51,5,4,5
0,0.37,0.556,0.5,0.51,5,4,5
0,0.39,0.625,0.5,0.521,5,3,5
0,0.41,0.625,0.5,0.521,5,3,5
0,0.43,0.625,0.5,0.521,5,3,5
0,0.45,0.625,0.5,0.521,5,3,5
0,0.47,0.625,0.5,0.521,5,3,5
0,0.49,0.625,0.5,0.521,5,3,5
0,0.51,0.625,0.5,0.521,5,3,5
0,0.53,0.625,0.5,0.521,5,3,5
0,0.55,0.625,0.5,0.521,5,3,5
0,0.57,0.625,0.5,0.521,5,3,5
0,0.59,0.625,0.5,0.521,5,3,5
0,0.61,0.714,0.5,0.532,5,2,5
0,0.63,0.714,0.5,0.532,5,2,5
0,0.65,0.667,0.4,0.435,4,2,6
0,0.67,0.667,0.4,0.435,4,2,6
0,0.69,0.667,0.4,0.435,4,2,6
0,0.71,0.667,0.4,0.435,4,2,6
0,0.73,0.8,0.4,0.444,4,1,6
0,0.75,0.8,0.4,0.444,4,1,6
0,0.77,0.8,0.4,0.444,4,1,6
0,0.79,0.8,0.4,0.444,4,1,6
0,0.81,0.8,0.4,0.444,4,1,6
0,0.83,0.8,0.4,0.444,4,1,6
0,0.85,1.0,0.4,0.455,4,0,6
0,0.87,1.0,0.4,0.455,4,0,6
0,0.89,1.0,0.4,0.455,4,0,6
0,0.91,1.0,0.4,0.455,4,0,6
0,0.93,1.0,0.3,0.349,3,0,7
1,0.05,0.226,0.7,0.493,7,24,3
1,0.07,0.261,0.6,0.476,6,17,4
1,0.09,0.286,0.6,0.492,6,15,4
1,0.11,0.316,0.6,0.508,6,13,4
1,0.13,0.375,0.6,0.536,6,10,4
1,0.15,0.375,0.6,0.536,6,10,4
1,0.17,0.357,0.5,0.463,5,9,5
1,0.19,0.385,0.5,0.472,5,8,5
1,0.21,0.417,0.5,0.481,5,7,5
1,0.23,0.417,0.5,0.481,5,7,5
1,0.25,0.417,0.5,0.481,5,7,5
1,0.27,0.417,0.5,0.481,5,7,5
1,0.29,0.455,0.5,0.49,5,6,5
1,0.31,0.5,0.5,0.5,5,5,5
1,0.33,0.5,0.5,0.5,5,5,5
1,0.35,0.556,0.5,0.51,5,4,5
1,0.37,0.556,0.5,0.51,5,4,5
1,0.39,0.625,0.5,0.521,5,3,5
1,0.41,0.625,0.5,0.521,5,3,5
1,0.43,0.625,0.5,0.521,5,3,5
1,0.45,0.625,0.5,0.521,5,3,5
1,0.47,0.625,0.5,0.521,5,3,5
1,0.49,0.625,0.5,0.521,5,3,5
1,0.51,0.625,0.5,0.521,5,3,5
1,0.53,0.625,0.5,0.521,5,3,5
1,0.55,0.625,0.5,0.521,5,3,5
1,0.57,0.625,0.5,0.521,5,3,5
1,0.59,0.625,0.5,0.521,5,3,5
1,0.61,0.714,0.5,0.532,5,2,5
1,0.63,0.714,0.5,0.532,5,2,5
1,0.65,0.667,0.4,0.435,4,2,6
1,0.67,0.667,0.4,0.435,4,2,6
1,0.69,0.667,0.4,0.435,4,2,6
1,0.71,0.667,0.4,0.435,4,2,6
1,0.73,0.8,0.4,0.444,4,1,6
1,0.75,0.8,0.4,0.444,4,1,6
1,0.77,0.8,0.4,0.444,4,1,6
1,0.79,0.8,0.4,0.444,4,1,6
1,0.81,0.8,0.4,0.444,4,1,6
1,0.83,0.8,0.4,0.444,4,1,6
1,0.85,1.0,0.4,0.455,4,0,6
1,0.87,1.0,0.4,0.455,4,0,6
1,0.89,1.0,0.4,0.455,4,0,6
1,0.91,1.0,0.4,0.455,4,0,6
1,0.93,1.0,0.3,0.349,3,0,7
2,0.05,0.226,0.7,0.493,7,24,3
2,0.07,0.261,0.6,0.476,6,17,4
2,0.09,0.286,0.6,0.492,6,15,4
2,0.11,0.316,0.6,0.508,6,13,4
2,0.13,0.375,0.6,0.536,6,10,4
2,0.15,0.375,0.6,0.536,6,10,4
2,0.17,0.357,0.5,0.463,5,9,5
2,0.19,0.385,0.5,0.472,5,8,5
2,0.21,0.417,0.5,0.481,5,7,5
2,0.23,0.417,0.5,0.481,5,7,5
2,0.25,0.417,0.5,0.481,5,7,5
2,0.27,0.417,0.5,0.481,5,7,5
2,0.29,0.455,0.5,0.49,5,6,5
2,0.31,0.5,0.5,0.5,5,5,5
2,0.33,0.5,0.5,0.5,5,5,5
2,0.35,0.556,0.5,0.51,5,4,5
2,0.37,0.556,0.5,0.51,5,4,5
2,0.39,0.625,0.5,0.521,5,3,5
2,0.41,0.625,0.5,0.521,5,3,5
2,0.43,0.625,0.5,0.521,5,3,5
2,0.45,0.625,0.5,0.521,5,3,5
2,0.47,0.625,0.5,0.521,5,3,5
2,0.49,0.625,0.5,0.521,5,3,5
2,0.51,0.625,0.5,0.521,5,3,5
2,0.53,0.625,0.5,0.521,5,3,5
2,0.55,0.625,0.5,0.521,5,3,5
2,0.57,0.625,0.5,0.521,5,3,5
2,0.59,0.625,0.5,0.521,5,3,5
2,0.61,0.714,0.5,0.532,5,2,5
2,0.63,0.714,0.5,0.532,5,2,5
2,0.65,0.667,0.4,0.435,4,2,6
2,0.67,0.667,0.4,0.435,4,2,6
2,0.69,0.667,0.4,0.435,4,2,6
2,0.71,0.667,0.4,0.435,4,2,6
2,0.73,0.8,0.4,0.444,4,1,6
2,0.75,0.8,0.4,0.444,4,1,6
2,0.77,0.8,0.4,0.444,4,1,6
2,0.79,0.8,0.4,0.444,4,1,6
2,0.81,0.8,0.4,0.444,4,1,6
2,0.83,0.8,0.4,0.444,4,1,6
2,0.85,1.0,0.4,0.455,4,0,6
2,0.87,1.0,0.4,0.455,4,0,6
2,0.89,1.0,0.4,0.455,4,0,6
2,0.91,1.0,0.4,0.455,4,0,6
2,0.93,1.0,0.3,0.349,3,0,7
3,0.05,0.226,0.7,0.493,7,24,3
3,0.07,0.261,0.6,0.476,6,17,4
3,0.09,0.286,0.6,0.492,6,15,4
3,0.11,0.316,0.6,0.508,6,13,4
3,0.13,0.375,0.6,0.536,6,10,4
3,0.15,0.375,0.6,0.536,6,10,4
3,0.17,0.357,0.5,0.463,5,9,5
3,0.19,0.385,0.5,0.472,5,8,5
3,0.21,0.417,0.5,0.481,5,7,5
3,0.23,0.417,0.5,0.481,5,7,5
3,0.25,0.417,0.5,0.481,5,7,5
3,0.27,0.417,0.5,0.481,5,7,5
3,0.29,0.455,0.5,0.49,5,6,5
3,0.31,0.5,0.5,0.5,5,5,5
3,0.33,0.5,0.5,0.5,5,5,5
3,0.35,0.556,0.5,0.51,5,4,5
3,0.37,0.556,0.5,0.51,5,4,5
3,0.39,0.625,0.5,0.521,5,3,5
3,0.41,0.625,0.5,0.521,5,3,5
3,0.43,0.625,0.5,0.521,5,3,5
3,0.45,0.625,0.5,0.521,5,3,5
3,0.47,0.625,0.5,0.521,5,3,5
3,0.49,0.625,0.5,0.521,5,3,5
3,0.51,0.625,0.5,0.521,5,3,5
3,0.53,0.625,0.5,0.521,5,3,5
3,0.55,0.625,0.5,0.521,5,3,5
3,0.57,0.625,0.5,0.521,5,3,5
3,0.59,0.625,0.5,0.521,5,3,5
3,0.61,0.714,0.5,0.532,5,2,5
3,0.63,0.714,0.5,0.532,5,2,5
3,0.65,0.667,0.4,0.435,4,2,6
3,0.67,0.667,0.4,0.435,4,2,6
3,0.69,0.667,0.4,0.435,4,2,6
3,0.71,0.667,0.4,0.435,4,2,6
3,0.73,0.8,0.4,0.444,4,1,6
3,0.75,0.8,0.4,0.444,4,1,6
3,0.77,0.8,0.4,0.444,4,1,6
3,0.79,0.8,0.4,0.444,4,1,6
3,0.81,0.8,0.4,0.444,4,1,6
3,0.83,0.8,0.4,0.444,4,1,6
3,0.85,1.0,0.4,0.455,4,0,6
3,0.87,1.0,0.4,0.455,4,0,6
3,0.89,1.0,0.4,0.455,4,0,6
3,0.91,1.0,0.4,0.455,4,0,6
3,0.93,1.0,0.3,0.349,3,0,7
4,0.05,0.226,0.7,0.493,7,24,3
4,0.07,0.261,0.6,0.476,6,17,4
4,0.09,0.286,0.6,0.492,6,15,4
4,0.11,0.316,0.6,0.508,6,13,4
4,0.13,0.375,0.6,0.536,6,10,4
4,0.15,0.375,0.6,0.536,6,10,4
4,0.17,0.357,0.5,0.463,5,9,5
4,0.19,0.385,0.5,0.472,5,8,5
4,0.21,0.417,0.5,0.481,5,7,5
4,0.23,0.417,0.5,0.481,5,7,5
4,0.25,0.417,0.5,0.481,5,7,5
4,0.27,0.417,0.5,0.481,5,7,5
4,0.29,0.455,0.5,0.49,5,6,5
4,0.31,0.5,0.5,0.5,5,5,5
4,0.33,0.5,0.5,0.5,5,5,5
4,0.35,0.556,0.5,0.51,5,4,5
4,0.37,0.556,0.5,0.51,5,4,5
4,0.39,0.625,0.5,0.521,5,3,5
4,0.41,0.625,0.5,0.521,5,3,5
4,0.43,0.625,0.5,0.521,5,3,5
4,0.45,0.625,0.5,0.521,5,3,5
4,0.47,0.625,0.5,0.521,5,3,5
4,0.49,0.625,0.5,0.521,5,3,5
4,0.51,0.625,0.5,0.521,5,3,5
4,0.53,0.625,0.5,0.521,5,3,5
4,0.55,0.625,0.5,0.521,5,3,5
4,0.57,0.625,0.5,0.521,5,3,5
4,0.59,0.625,0.5,0.521,5,3,5
4,0.61,0.714,0.5,0.532,5,2,5
4,0.63,0.714,0.5,0.532,5,2,5
4,0.65,0.667,0.4,0.435,4,2,6
4,0.67,0.667,0.4,0.435,4,2,6
4,0.69,0.667,0.4,0.435,4,2,6
4,0.71,0.667,0.4,0.435,4,2,6
4,0.73,0.8,0.4,0.444,4,1,6
4,0.75,0.8,0.4,0.444,4,1,6
4,0.77,0.8,0.4,0.444,4,1,6
4,0.79,0.8,0.4,0.444,4,1,6
4,0.81,0.8,0.4,0.444,4,1,6
4,0.83,0.8,0.4,0.444,4,1,6
4,0.85,1.0,0.4,0.455,4,0,6
4,0.87,1.0,0.4,0.455,4,0,6
4,0.89,1.0,0.4,0.455,4,0,6
4,0.91,1.0,0.4,0.455,4,0,6
4,0.93,1.0,0.3,0.349,3,0,7
5,0.05,0.233,0.7,0.5,7,23,3
5,0.07,0.273,0.6,0.484,6,16,4
5,0.09,0.286,0.6,0.492,6,15,4
5,0.11,0.316,0.6,0.508,6,13,4
5,0.13,0.375,0.6,0.536,6,10,4
5,0.15,0.375,0.6,0.536,6,10,4
5,0.17,0.357,0.5,0.463,5,9,5
5,0.19,0.385,0.5,0.472,5,8,5
5,0.21,0.417,0.5,0.481,5,7,5
5,0.23,0.417,0.5,0.481,5,7,5
5,0.25,0.417,0.5,0.481,5,7,5
5,0.27,0.417,0.5,0.481,5,7,5
5,0.29,0.455,0.5,0.49,5,6,5
5,0.31,0.5,0.5,0.5,5,5,5
5,0.33,0.5,0.5,0.5,5,5,5
5,0.35,0.556,0.5,0.51,5,4,5
5,0.37,0.556,0.5,0.51,5,4,5
5,0.39,0.625,0.5,0.521,5,3,5
5,0.41,0.625,0.5,0.521,5,3,5
5,0.43,0.625,0.5,0.521,5,3,5
5,0.45,0.625,0.5,0.521,5,3,5
5,0.47,0.625,0.5,0.521,5,3,5
5,0.49,0.625,0.5,0.521,5,3,5
5,0.51,0.625,0.5,0.521,5,3,5
5,0.53,0.625,0.5,0.521,5,3,5
5,0.55,0.625,0.5,0.521,5,3,5
5,0.57,0.625,0.5,0.521,5,3,5
5,0.59,0.625,0.5,0.521,5,3,5
5,0.61,0.714,0.5,0.532,5,2,5
5,0.63,0.714,0.5,0.532,5,2,5
5,0.65,0.667,0.4,0.435,4,2,6
5,0.67,0.667,0.4,0.435,4,2,6
5,0.69,0.667,0.4,0.435,4,2,6
5,0.71,0.667,0.4,0.435,4,2,6
5,0.73,0.8,0.4,0.444,4,1,6
5,0.75,0.8,0.4,0.444,4,1,6
5,0.77,0.8,0.4,0.444,4,1,6
5,0.79,0.8,0.4,0.444,4,1,6
5,0.81,0.8,0.4,0.444,4,1,6
5,0.83,0.8,0.4,0.444,4,1,6
5,0.85,1.0,0.4,0.455,4,0,6
5,0.87,1.0,0.4,0.455,4,0,6
5,0.89,1.0,0.4,0.455,4,0,6
5,0.91,1.0,0.4,0.455,4,0,6
5,0.93,1.0,0.3,0.349,3,0,7
