epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.013848,0.005405,0.523636,0.505191,0.0,0.0,0.0,0.0,0.066822,0.123765,0.310866,0.0,0.0,0.0
1,0.000821,0.007894,0.682653,0.510724,0.0,0.0,0.0,0.0,0.075537,0.188844,0.554329,0.0,0.0,0.0
2,0.000687,0.011609,0.752244,0.519979,0.0,0.0,0.0,0.0,0.149332,0.348635,0.704242,0.0,0.0,0.0
3,0.000602,0.01534,0.782634,0.532336,0.0,0.0,0.0,0.0,0.273678,0.508425,0.801278,0.0,0.0,0.0
4,0.00051,0.018111,0.810206,0.548408,0.0,0.0,0.0,0.0,0.416037,0.643231,0.843114,0.0,0.0,0.0
5,0.000405,0.022721,0.839576,0.57029,0.0,0.0,0.0,0.0,0.579895,0.760023,0.867519,0.0,0.0,0.0
6,0.000324,0.027682,0.864396,0.595154,0.0,0.0,0.0,0.0,0.680999,0.809994,0.887275,0.0,0.0,0.0
7,0.00021,0.035972,0.892557,0.643969,0.0,0.0,0.0,0.0,0.799535,0.856479,0.886694,0.0,0.0,0.0
8,0.000162,0.043431,0.906766,0.687792,0.0,0.0,0.0,0.0,0.833236,0.869262,0.887275,0.0,0.0,0.0
9,0.000124,0.049506,0.918044,0.721144,0.0,0.0,0.0,0.0,0.857641,0.877397,0.914003,0.0,0.0,0.0
10,0.000112,0.055182,0.922968,0.762704,0.0,0.0,0.0,0.0,0.867519,0.884951,0.922719,0.0,0.0,0.0
11,9.3e-05,0.061634,0.926094,0.805244,0.0,0.0,0.0,0.0,0.871586,0.883207,0.920395,0.0,0.0,0.0
12,7.8e-05,0.066452,0.925372,0.840407,0.0,0.0,0.0,0.0,0.876816,0.883207,0.920976,0.0,0.0,0.0
13,6.1e-05,0.073912,0.932448,0.879794,0.0,0.0,0.0,0.0,0.878559,0.887856,0.929111,0.0,0.0,0.0
14,3.6e-05,0.085346,0.934664,0.915895,0.0,0.0,0.0,0.0,0.880883,0.888437,0.937246,0.0,0.0,0.0
15,2.2e-05,0.094578,0.935171,0.930474,0.0,0.0,0.0,0.0,0.880302,0.89018,0.940151,0.0,0.0,0.0
16,1e-05,0.102415,0.936633,0.938439,0.0,0.0,0.0,0.0,0.882045,0.889599,0.935503,0.0,0.0,0.0
17,5e-06,0.107949,0.93626,0.941075,0.0,0.0,0.0,0.0,0.883207,0.889599,0.92853,0.0,0.0,0.0
18,3e-06,0.112292,0.936274,0.942001,0.0,0.0,0.0,0.0,0.884951,0.898896,0.950029,0.0,0.0,0.0
19,1e-06,0.114696,0.937054,0.942677,0.0,0.0,0.0,0.0,0.887856,0.910517,0.965137,0.0,0.0,0.0
20,0.0,0.116602,0.934973,0.942915,0.0,0.0,0.0,0.0,0.887856,0.902963,0.96165,0.0,0.0,0.0
21,0.0,0.117803,0.93483,0.943083,0.0,0.0,0.0,0.0,0.888437,0.905869,0.96165,0.0,0.0,0.0
22,0.0,0.118814,0.934299,0.943027,0.0,0.0,0.0,0.0,0.889599,0.909936,0.968042,0.0,0.0,0.0
