epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,1.799537,0.009253,0.046452,0.0,0.0,0.0,0.0,0.01,0.16,0.0,0.0,0.0
1,1.657077,0.010931,0.096461,0.0,0.0,0.0,0.02,0.12,0.37,0.0,0.0,0.0
2,1.539273,0.013173,0.133564,0.0,0.0,0.0,0.15,0.37,0.68,0.0,0.0,0.0
3,1.415815,0.017177,0.275632,0.0,0.0,0.0,0.49,0.67,0.76,0.0,0.0,0.0
4,1.310254,0.023511,0.446001,0.0,0.0,0.0,0.72,0.78,0.81,0.0,0.0,0.0
5,1.242355,0.032574,0.581533,0.0,0.0,0.0,0.82,0.83,0.84,0.0,0.0,0.0
6,1.159837,0.04016,0.662703,0.0,0.0,0.0,0.81,0.82,0.83,0.0,0.0,0.0
7,1.138377,0.051195,0.736608,0.0,0.0,0.0,0.84,0.84,0.84,0.0,0.0,0.0
8,1.101322,0.059806,0.767733,0.0,0.0,0.0,0.83,0.83,0.83,0.0,0.0,0.0
9,1.047401,0.068787,0.791692,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
10,1.044537,0.078188,0.789857,0.0,0.0,0.0,0.81,0.81,0.82,0.0,0.0,0.0
11,1.069794,0.089427,0.818051,0.0,0.0,0.0,0.83,0.83,0.84,0.0,0.0,0.0
12,1.037979,0.096517,0.786957,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
13,1.071358,0.107568,0.803893,0.0,0.0,0.0,0.83,0.83,0.83,0.0,0.0,0.0
14,1.059616,0.113714,0.817195,0.0,0.0,0.0,0.83,0.83,0.83,0.0,0.0,0.0
15,1.02996,0.116395,0.809071,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
16,1.028768,0.122505,0.820827,0.0,0.0,0.0,0.82,0.82,0.82,0.0,0.0,0.0
17,1.056796,0.130001,0.829095,0.0,0.0,0.0,0.84,0.84,0.84,0.0,0.0,0.0
18,1.038741,0.130166,0.824835,0.0,0.0,0.0,0.82,0.82,0.82,0.0,0.0,0.0
19,1.038097,0.13299,0.805674,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
20,1.052067,0.136436,0.829113,0.0,0.0,0.0,0.83,0.83,0.83,0.0,0.0,0.0
21,1.029285,0.135694,0.823386,0.0,0.0,0.0,0.82,0.82,0.82,0.0,0.0,0.0
22,1.010561,0.135057,0.813385,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
23,1.01217,0.13499,0.813283,0.0,0.0,0.0,0.81,0.81,0.82,0.0,0.0,0.0
24,1.018572,0.13611,0.806886,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,0.0
