epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.180175,0.023176,0.172902,0.0,0.0,0.0,0.051758,0.162109,0.458984,0.0,0.0,0.0
1,0.128218,0.05441,0.336771,0.0,0.0,0.0,0.087891,0.277344,0.662109,0.0,0.0,0.0
2,0.119651,0.079688,0.378865,0.0,0.0,0.0,0.150391,0.417969,0.728516,0.0,0.0,0.0
3,0.113171,0.105107,0.423899,0.0,0.0,0.0,0.257812,0.509766,0.792969,0.0,0.0,0.0
4,0.099761,0.145551,0.47896,0.0,0.0,0.0,0.395508,0.632812,0.84668,0.0,0.0,0.0
5,0.093013,0.182963,0.53531,0.0,0.0,0.0,0.477539,0.716797,0.879883,0.0,0.0,0.0
6,0.092977,0.197646,0.558252,0.0,0.0,0.0,0.557617,0.735352,0.897461,0.0,0.0,0.0
7,0.085451,0.235862,0.609062,0.0,0.0,0.0,0.644531,0.780273,0.893555,0.0,0.0,0.0
8,0.081609,0.24468,0.615092,0.0,0.0,0.0,0.635742,0.780273,0.910156,0.0,0.0,0.0
9,0.076352,0.254183,0.6317,0.0,0.0,0.0,0.707031,0.825195,0.923828,0.0,0.0,0.0
