    epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.094449,0.015356,0.140956,0.0,0.0,0.0,0.101562,0.183594,0.46875,0.0,0.0,0.0
1,0.031772,0.032814,0.335415,0.0,0.0,0.0,0.086914,0.293945,0.657227,0.0,0.0,0.0
2,0.030033,0.053794,0.383412,0.0,0.0,0.0,0.150391,0.400391,0.719727,0.0,0.0,0.0
3,0.028232,0.079182,0.437169,0.0,0.0,0.0,0.266602,0.519531,0.771484,0.0,0.0,0.0
4,0.025013,0.121844,0.474761,0.0,0.0,0.0,0.365234,0.617188,0.817383,0.0,0.0,0.0
5,0.023309,0.162862,0.53502,0.0,0.0,0.0,0.461914,0.679688,0.837891,0.0,0.0,0.0
6,0.022934,0.175107,0.542017,0.0,0.0,0.0,0.501953,0.705078,0.874023,0.0,0.0,0.0
7,0.02184,0.209077,0.592834,0.0,0.0,0.0,0.571289,0.738281,0.87793,0.0,0.0,0.0
8,0.021194,0.216393,0.594584,0.0,0.0,0.0,0.594727,0.765625,0.897461,0.0,0.0,0.0
9,0.019898,0.225133,0.613928,0.0,0.0,0.0,0.636719,0.802734,0.918945,0.0,0.0,0.0
