epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.12546,0.025625,0.188706,0.0,0.0,0.0,0.038086,0.147461,0.453125,0.0,0.0,0.0
1,0.082175,0.062718,0.331449,0.0,0.0,0.0,0.086914,0.274414,0.65918,0.0,0.0,0.0
2,0.074434,0.093249,0.376901,0.0,0.0,0.0,0.141602,0.387695,0.742188,0.0,0.0,0.0
3,0.071735,0.120052,0.408143,0.0,0.0,0.0,0.230469,0.507812,0.804688,0.0,0.0,0.0
4,0.061275,0.166072,0.46507,0.0,0.0,0.0,0.360352,0.616211,0.833984,0.0,0.0,0.0
5,0.056118,0.20515,0.520798,0.0,0.0,0.0,0.453125,0.697266,0.868164,0.0,0.0,0.0
6,0.054027,0.220597,0.547638,0.0,0.0,0.0,0.526367,0.726562,0.894531,0.0,0.0,0.0
7,0.048654,0.259955,0.606732,0.0,0.0,0.0,0.620117,0.765625,0.885742,0.0,0.0,0.0
8,0.046271,0.262279,0.607788,0.0,0.0,0.0,0.617188,0.777344,0.907227,0.0,0.0,0.0
9,0.041896,0.271474,0.627331,0.0,0.0,0.0,0.678711,0.813477,0.929688,0.0,0.0,0.0
