epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        0.277505,   0.007963,   0.034034,           0.0,      0.0,      0.0,        0.01,        0.02,         0.12,       0.0,       0.0,        0.0
    1,        0.152028,   0.009067,   0.068805,           0.0,      0.0,      0.0,        0.15,        0.23,         0.4 ,       0.0,       0.0,        0.0
    2,        0.126117,   0.008905,   0.071519,           0.0,      0.0,      0.0,        0.15,        0.2 ,         0.52,       0.0,       0.0,        0.0
    3,        0.098933,   0.009008,   0.089494,           0.0,      0.0,      0.0,        0.06,        0.15,         0.43,       0.0,       0.0,        0.0
    0,        0.413972,   0.008066,   0.020706,           0.0,      0.0,      0.0,        0.05,        0.06,         0.1 ,       0.0,       0.0,        0.0
    1,        0.242106,   0.009234,   0.073744,           0.0,      0.0,      0.0,        0.06,        0.12,         0.2 ,       0.0,       0.0,        0.0
    2,        0.21573 ,   0.009345,   0.066151,           0.0,      0.0,      0.0,        0.13,        0.17,         0.33,       0.0,       0.0,        0.0
    3,        0.186857,   0.009086,   0.091258,           0.0,      0.0,      0.0,        0.18,        0.25,         0.45,       0.0,       0.0,        0.0
    4,        0.156842,   0.009167,   0.101745,           0.0,      0.0,      0.0,        0.18,        0.24,         0.5 ,       0.0,       0.0,        0.0
    5,        0.127954,   0.008918,   0.108519,           0.0,      0.0,      0.0,        0.14,        0.21,         0.6 ,       0.0,       0.0,        0.0
    6,        0.103362,   0.009243,   0.11991 ,           0.0,      0.0,      0.0,        0.14,        0.26,         0.57,       0.0,       0.0,        0.0
    7,        0.083532,   0.009228,   0.103678,           0.0,      0.0,      0.0,        0.04,        0.2 ,         0.53,       0.0,       0.0,        0.0
    8,        0.06972 ,   0.009317,   0.108589,           0.0,      0.0,      0.0,        0.07,        0.16,         0.55,       0.0,       0.0,        0.0
    9,        0.059536,   0.009418,   0.121927,           0.0,      0.0,      0.0,        0.07,        0.21,         0.53,       0.0,       0.0,        0.0
   10,        0.052947,   0.009765,   0.117404,           0.0,      0.0,      0.0,        0.04,        0.11,         0.53,       0.0,       0.0,        0.0
   11,        0.047844,   0.009849,   0.120365,           0.0,      0.0,      0.0,        0.07,        0.16,         0.5 ,       0.0,       0.0,        0.0
   12,        0.044105,   0.009674,   0.108304,           0.0,      0.0,      0.0,        0.02,        0.16,         0.43,       0.0,       0.0,        0.0
   13,        0.040924,   0.009056,   0.091262,           0.0,      0.0,      0.0,        0.03,        0.05,         0.26,       0.0,       0.0,        0.0
   14,        0.03884 ,   0.009616,   0.094277,           0.0,      0.0,      0.0,        0.02,        0.03,         0.26,       0.0,       0.0,        0.0
   15,        0.036294,   0.009752,   0.114323,           0.0,      0.0,      0.0,        0.03,        0.07,         0.32,       0.0,       0.0,        0.0
   16,        0.035468,   0.009676,   0.108997,           0.0,      0.0,      0.0,        0.02,        0.07,         0.26,       0.0,       0.0,        0.0
   17,        0.033412,   0.009562,   0.123111,           0.0,      0.0,      0.0,        0.01,        0.08,         0.29,       0.0,       0.0,        0.0
   18,        0.033088,   0.009688,   0.125531,           0.0,      0.0,      0.0,        0.02,        0.1 ,         0.29,       0.0,       0.0,        0.0
   19,        0.031898,   0.009701,   0.11832 ,           0.0,      0.0,      0.0,        0.0 ,        0.06,         0.25,       0.0,       0.0,        0.0
   20,        0.030475,   0.009432,   0.110727,           0.0,      0.0,      0.0,        0.01,        0.07,         0.29,       0.0,       0.0,        0.0
   21,        0.030326,   0.009953,   0.120995,           0.0,      0.0,      0.0,        0.03,        0.07,         0.3 ,       0.0,       0.0,        0.0
   22,        0.030305,   0.010514,   0.12958 ,           0.0,      0.0,      0.0,        0.01,        0.07,         0.29,       0.0,       0.0,        0.0
   23,        0.0292  ,   0.009939,   0.13335 ,           0.0,      0.0,      0.0,        0.01,        0.1 ,         0.35,       0.0,       0.0,        0.0
   24,        0.030329,   0.006591,   0.063422,           0.0,      0.0,      0.0,        0.0 ,        0.05,         0.21,       0.0,       0.0,        0.0
   25,        0.029811,   0.006437,   0.079058,           0.0,      0.0,      0.0,        0.02,        0.08,         0.29,       0.0,       0.0,        0.0
   26,        0.02999 ,   0.006697,   0.084637,           0.0,      0.0,      0.0,        0.0 ,        0.05,         0.26,       0.0,       0.0,        0.0
   27,        0.029533,   0.006632,   0.088353,           0.0,      0.0,      0.0,        0.01,        0.06,         0.2 ,       0.0,       0.0,        0.0
   28,        0.03155 ,   0.00612 ,   0.07314 ,           0.0,      0.0,      0.0,        0.0 ,        0.04,         0.17,       0.0,       0.0,        0.0
   29,        0.029672,   0.005201,   0.047161,           0.0,      0.0,      0.0,        0.0 ,        0.02,         0.07,       0.0,       0.0,        0.0
   30,        0.029007,   0.005244,   0.051243,           0.0,      0.0,      0.0,        0.0 ,        0.01,         0.13,       0.0,       0.0,        0.0
   31,        0.029304,   0.005411,   0.062543,           0.0,      0.0,      0.0,        0.0 ,        0.04,         0.17,       0.0,       0.0,        0.0
   32,        0.029283,   0.005643,   0.067874,           0.0,      0.0,      0.0,        0.0 ,        0.01,         0.19,       0.0,       0.0,        0.0
   33,        0.029796,   0.006112,   0.076387,           0.0,      0.0,      0.0,        0.0 ,        0.03,         0.28,       0.0,       0.0,        0.0
   34,        0.028733,   0.006346,   0.075575,           0.0,      0.0,      0.0,        0.01,        0.07,         0.25,       0.0,       0.0,        0.0
   35,        0.028523,   0.007158,   0.092164,           0.0,      0.0,      0.0,        0.02,        0.06,         0.25,       0.0,       0.0,        0.0
   36,        0.028882,   0.007994,   0.112837,           0.0,      0.0,      0.0,        0.02,        0.06,         0.28,       0.0,       0.0,        0.0
   37,        0.02816 ,   0.00713 ,   0.107799,           0.0,      0.0,      0.0,        0.01,        0.07,         0.26,       0.0,       0.0,        0.0
   38,        0.027607,   0.007977,   0.123126,           0.0,      0.0,      0.0,        0.01,        0.07,         0.3 ,       0.0,       0.0,        0.0
   39,        0.028138,   0.007607,   0.120892,           0.0,      0.0,      0.0,        0.01,        0.03,         0.27,       0.0,       0.0,        0.0
   40,        0.026949,   0.007659,   0.122375,           0.0,      0.0,      0.0,        0.0 ,        0.02,         0.29,       0.0,       0.0,        0.0
   41,        0.028427,   0.007964,   0.120649,           0.0,      0.0,      0.0,        0.0 ,        0.01,         0.29,       0.0,       0.0,        0.0
   42,        0.028296,   0.009021,   0.128586,           0.0,      0.0,      0.0,        0.0 ,        0.05,         0.35,       0.0,       0.0,        0.0
   43,        0.028131,   0.008252,   0.123702,           0.0,      0.0,      0.0,        0.01,        0.03,         0.34,       0.0,       0.0,        0.0
    0,        1.750088,   0.008734,   0.045402,           0.0,      0.0,      0.0,        0.01,        0.09,         0.2 ,       0.0,       0.0,        0.0
    1,        1.573377,   0.012175,   0.122949,           0.0,      0.0,      0.0,        0.06,        0.12,         0.46,       0.0,       0.0,        0.0
    2,        1.527459,   0.016746,   0.183865,           0.0,      0.0,      0.0,        0.16,        0.39,         0.73,       0.0,       0.0,        0.0
    3,        1.391915,   0.022427,   0.284735,           0.0,      0.0,      0.0,        0.3 ,        0.62,         0.79,       0.0,       0.0,        0.0
    4,        1.274465,   0.029188,   0.380062,           0.0,      0.0,      0.0,        0.48,        0.73,         0.81,       0.0,       0.0,        0.0
    5,        1.203196,   0.036326,   0.511886,           0.0,      0.0,      0.0,        0.71,        0.79,         0.82,       0.0,       0.0,        0.0
    6,        1.144248,   0.048802,   0.646679,           0.0,      0.0,      0.0,        0.79,        0.81,         0.84,       0.0,       0.0,        0.0
    7,        1.093388,   0.058543,   0.68735 ,           0.0,      0.0,      0.0,        0.81,        0.81,         0.88,       0.0,       0.0,        0.0
    8,        1.093271,   0.073752,   0.752767,           0.0,      0.0,      0.0,        0.82,        0.82,         0.88,       0.0,       0.0,        0.0
    9,        1.045777,   0.082791,   0.76638 ,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.84,       0.0,       0.0,        0.0
   10,        1.045948,   0.096289,   0.780845,           0.0,      0.0,      0.0,        0.81,        0.81,         0.97,       0.0,       0.0,        0.0
   11,        1.0299  ,   0.10644 ,   0.803741,           0.0,      0.0,      0.0,        0.82,        0.83,         0.96,       0.0,       0.0,        0.0
   12,        1.024036,   0.117397,   0.799027,           0.0,      0.0,      0.0,        0.82,        0.84,         0.98,       0.0,       0.0,        0.0
   13,        1.065439,   0.12969 ,   0.825567,           0.0,      0.0,      0.0,        0.84,        0.85,         0.96,       0.0,       0.0,        0.0
   14,        1.00392 ,   0.130081,   0.799574,           0.0,      0.0,      0.0,        0.8 ,        0.8 ,         0.95,       0.0,       0.0,        0.0
   15,        1.020202,   0.139426,   0.802789,           0.0,      0.0,      0.0,        0.81,        0.82,         0.98,       0.0,       0.0,        0.0
   16,        1.00408 ,   0.143256,   0.805623,           0.0,      0.0,      0.0,        0.81,        0.83,         0.99,       0.0,       0.0,        0.0
   17,        1.009534,   0.149592,   0.826314,           0.0,      0.0,      0.0,        0.82,        0.84,         1.0 ,       0.0,       0.0,        0.0
